,id,videoId,authorVideoName,totalReplyCount,likeCount,authorDisplayName,textDisplay,publishedAt,isReply
0,Ugw82OQ_DMIGfP91eoZ4AaABAg,sR-fpTsrJBE,Максим Кац,70,246,Максим Кац,"Подписывайтесь на канал, тут интересно у нас :). 
И к рекламному клиенту заходите, если вы владелец бизнеса — аутсорсная бухгалтерия http://buhbro.pro",2020-06-03T15:24:00Z,0
1,UgyFva5dQh2K9kTm9a94AaABAg,sR-fpTsrJBE,Максим Кац,0,0,tplay,"У нас рост влияния иного ВВП на душу населения, чем в мирее",2020-07-02T19:48:55Z,0
2,UgwiQSZfSwgz1sClw8J4AaABAg,sR-fpTsrJBE,Максим Кац,0,0,tplay,Ваши ролики безумно интересно смотреть!,2020-07-02T19:43:23Z,0
3,Ugx2e3E_14HBIqxm1vV4AaABAg,sR-fpTsrJBE,Максим Кац,0,0,Ольга Ефимова,"В общем-то ничего нового. Разделяй и властвуй! Старо как мир, но ведь работает!",2020-07-02T12:50:02Z,0
4,UgygNmVzdwT3IGgO2Rd4AaABAg,sR-fpTsrJBE,Максим Кац,0,0,К V,Truthno1,2020-07-01T08:42:05Z,0
5,Ugx6soLH8A4OFsFtwOh4AaABAg,sR-fpTsrJBE,Максим Кац,0,0,Сергей К,"Господа, скажите, почему в Грузии уже давно прошли реформы на европейский лад, а люди ещё живут хуево?",2020-07-01T05:06:30Z,0
6,UgxmEPq8xpIYen7fWCR4AaABAg,sR-fpTsrJBE,Максим Кац,0,0,Mary Shutova,"С 9:45 по 10:20 - как будто Максим цитирует моих родителей, когда между нами возникает разговор о политике 😱",2020-06-30T04:49:33Z,0
7,UgwdpwGjxUzF94aTPtl4AaABAg,sR-fpTsrJBE,Максим Кац,0,0,Никита Гнеушев,Спасибо за труд!,2020-06-25T05:46:55Z,0
8,Ugyjk8GeApx8sGI1NfR4AaABAg,sR-fpTsrJBE,Максим Кац,0,1,Grip92,рано или поздно мы справимся с этой шушарой у власти!,2020-06-21T20:55:32Z,0
9,Ugzz5Z14FkVGkdwhVnV4AaABAg,sR-fpTsrJBE,Максим Кац,0,0,666Anku,"устами Шульман глаголит) спасибо за ролик, отличная тема!",2020-06-21T19:53:27Z,0
10,Ugw3JkpebEAsXsfnrXJ4AaABAg,sR-fpTsrJBE,Максим Кац,0,0,Moonlight Gator,"Точь в точь описываешь действия американских демократов, не знаю какое к этому отношение имеет Путин, видимо в России последние 30 лет правят Клинтоны.",2020-06-19T22:46:08Z,0
11,Ugz8C57Yw7j1k0jwt0d4AaABAg,sR-fpTsrJBE,Максим Кац,0,0,Natali Mart,"Каким образом данные о скандинавских странах доказывают, что именно доверие является причиной экономического роста? Не перепутана ли тут причина и следствие? Может, когда люди живут в экономически стабильной системе люди больше доверяют друг другу. Зачем кому-то обворовывать ребенка, если в стране все ок? Это выглядит логичнее.",2020-06-19T13:50:59Z,0
12,Ugw4XI4-dj5wwJ73HxZ4AaABAg,sR-fpTsrJBE,Максим Кац,0,0,Serhiy Tselyukh,"Один из лучших роликов, которые смотрел на этом канале. И хотя живу в Украине, многое актуально и для нас, - советское прошлое и недоверие ко всему.",2020-06-16T21:17:03Z,0
