,id,videoId,authorVideoName,totalReplyCount,likeCount,authorDisplayName,textDisplay,publishedAt,isReply
0,UgziycfI_9e3c0o73cR4AaABAg,s__5CfqWSwQ,Навальный LIVE,0,0,Сергей Асташев,На зону в Тагил! Имущество в фонд детеи инвалидов!,2020-06-29T11:00:59Z,0
1,Ugyn4eAy2J1LOZSj43h4AaABAg,s__5CfqWSwQ,Навальный LIVE,0,0,Юрий Герман,"Большинству пофигу на заработки Шапошникова, люди за него ""рады"" и все. Все равно изменить ничего нельзя, говорят.",2020-06-28T22:05:42Z,0
2,UgxKLbId8HXQXoTYudB4AaABAg,s__5CfqWSwQ,Навальный LIVE,0,0,A N,"почему в отставку, а не в тюрьму?",2020-06-28T10:23:59Z,0
3,UgwyVS3DJnHtfB65Hpp4AaABAg,s__5CfqWSwQ,Навальный LIVE,0,1,Венера Родина,"Только расстрел,как в Китае!!!!Китайцы -вам респект-на отлично боритесь с коррупцией!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!",2020-06-26T00:09:04Z,0
4,UgwaahkMI4r41ZosGZF4AaABAg,s__5CfqWSwQ,Навальный LIVE,0,0,Nikolay Paseydon,"Народ, особо не переживайте. Расплата неизбежно наступит, и в этой жизни , и в следующей.
Весело начнётся, когда человеку покажут  что его ждёт.",2020-06-25T07:15:50Z,0
5,Ugy9uWHFCu6j6dz9sQZ4AaABAg,s__5CfqWSwQ,Навальный LIVE,0,0,Андрей Смирнов,О теперь в налоговой будем говорить-приход это не доход .,2020-06-24T23:08:42Z,0
6,Ugx_glp_EPcqJm8oxah4AaABAg,s__5CfqWSwQ,Навальный LIVE,0,0,Виталий.,Опрос пубертатов это стильно!,2020-06-24T21:35:24Z,0
7,UgzF-979bJaRa0l9gK14AaABAg,s__5CfqWSwQ,Навальный LIVE,0,1,David Beck,"Скажу честно! 
Такое ощущение после этого репортажа, что перемены в стране нужны только Навальному, ни кому нет дела!  Так привыкли жить! :(",2020-06-23T23:27:30Z,0
8,UgygTCu9-VonwwuF4el4AaABAg,s__5CfqWSwQ,Навальный LIVE,0,0,ДНЕВНИКИ САДИСТА,По ком звонит колокол,2020-06-23T20:12:24Z,0
9,UgzAI-425XlBboOtF0B4AaABAg,s__5CfqWSwQ,Навальный LIVE,0,0,Sanchello 007,"Я бы за конституцию проголосовал,если бы туда внести поправки о моратории и самосуде",2020-06-23T19:12:49Z,0
10,Ugz4Z1xCqiHrOf4_weJ4AaABAg,s__5CfqWSwQ,Навальный LIVE,0,0,Sanchello 007,"Ну снимут,и что?он свое уже  наворовал",2020-06-23T19:11:19Z,0
11,UgxXNM8bfSDDUeYyzvF4AaABAg,s__5CfqWSwQ,Навальный LIVE,0,0,Сергей Михайлов,На щапошникове и шапка горит...,2020-06-23T12:24:53Z,0
12,Ugy7gsaAVvAghzkcwA94AaABAg,s__5CfqWSwQ,Навальный LIVE,0,1,Марисабель К,Вор должен сидеть в тюрьме,2020-06-23T01:15:44Z,0
13,Ugz4R4J5AJ2vqANWmT54AaABAg,s__5CfqWSwQ,Навальный LIVE,0,0,Never Mind,"Я в шоке, что люди живут в этом и в среднем даже не в курсе или им по барабану.",2020-06-22T12:25:08Z,0
14,Ugwelr979dz-52tPda54AaABAg,s__5CfqWSwQ,Навальный LIVE,0,0,Andretty,"Вот так и получается в сухом остатке: большинство ничего не знает а многим из них да и вообще параллельно, что у них воруют... Вот как бороться за права людей, когда они сами этого не хотят?",2020-06-22T11:12:48Z,0
15,Ugzy3voDnMrsZS1AMhd4AaABAg,s__5CfqWSwQ,Навальный LIVE,0,0,Валентина Ignotum,"Почему интервьюирующий говорит о Шапошникове исключительно как о председателе гордумы? Не стоит ли напомнить москвичам, а особенно избирателям Свиблово и Медведково, что он ИХ депутат? Сомнительность в ""заработках"" их депутата не накладывает ли на них ответственность в том что происходит в городе?",2020-06-22T06:21:04Z,0
16,UgxXCxwCswDW4UDnOKR4AaABAg,s__5CfqWSwQ,Навальный LIVE,0,0,Valery Vladov,Вы бы ещё уточняли гражданам что один миллиард это 1000 блять миллионов поверьте этого очень многие незнают думают что 10 лямов или максимум 100..,2020-06-22T02:31:16Z,0
17,UgzpCsldecZxkG7w88N4AaABAg,s__5CfqWSwQ,Навальный LIVE,0,0,Romi4,Он вам не Шапокляк,2020-06-20T13:26:52Z,0
18,UgzXVwmiM3OcmsscuCp4AaABAg,s__5CfqWSwQ,Навальный LIVE,0,0,aksenov2279,Шапашников Полиграф Полиграфович,2020-06-20T12:34:40Z,0
19,UgyNdQaA73W13NV6ZSh4AaABAg,s__5CfqWSwQ,Навальный LIVE,0,0,Шмидт Виктор,Расстреливать начать за коррупцию,2020-06-20T10:28:37Z,0
20,UgxfiPEj2a0FSC73irh4AaABAg,s__5CfqWSwQ,Навальный LIVE,0,0,Елена Кольчугина,"ШАпошников - слизь. Что он может другое? Что мы можем изменить? Ребята, ненависть уже за гранью, как пары спускать?",2020-06-20T09:04:00Z,0
21,Ugxt34L093f1IvX9JY54AaABAg,s__5CfqWSwQ,Навальный LIVE,0,0,Valeriy Prosvirnin,"И правда чудеса вокруг. Инфляция низкая, а цены растут как на дрожжах, депутаты получают 400к в мес, а живут на 400 млн",2020-06-19T23:35:10Z,0
22,UgxwHHsqvec-nHD6Iqh4AaABAg,s__5CfqWSwQ,Навальный LIVE,0,0,Григорий Котов,Все кто не подписан подписывайтесь и врубайте колокольчик!!!!!,2020-06-19T22:01:56Z,0
23,UgyvORmEiDEC-QMbggh4AaABAg,s__5CfqWSwQ,Навальный LIVE,0,0,Из Москвы,"спасибо журналисты,отличная работа",2020-06-19T11:16:01Z,0
24,UgwNduSOD4D3t4BwBqV4AaABAg,s__5CfqWSwQ,Навальный LIVE,0,0,Сигизмунд Воробьев-Сокольский,"Не заработал,зарабатывают в шахте...",2020-06-19T07:54:54Z,0
25,Ugx4mtplJ4HOfBBQSCd4AaABAg,s__5CfqWSwQ,Навальный LIVE,0,0,Евгения Земляк,Уголовное дело! Вор должен сидеть в тюрьме. А у нас правительство миллиардами ворует и как с гуся вода. Стыдно за страну.,2020-06-19T06:01:25Z,0
26,UgxGwwjC6oMWj4zjutt4AaABAg,s__5CfqWSwQ,Навальный LIVE,0,0,Аз Ор,даёшь расстрельную для чиновников,2020-06-19T04:56:20Z,0
27,Ugx_JIL-P_EhVTiYjo14AaABAg,s__5CfqWSwQ,Навальный LIVE,0,0,Влада Симонова,"Полутрусливый российский народ, вы заслуживаете Путина!",2020-06-19T03:53:58Z,0
28,UgyAq8NnQQS3wM7Ib_Z4AaABAg,s__5CfqWSwQ,Навальный LIVE,0,0,dimitar petrov,Гнать в шею таких!,2020-06-19T02:06:25Z,0
29,Ugx0TYI_Ef8K5gKAH954AaABAg,s__5CfqWSwQ,Навальный LIVE,0,1,Яков Калинин,👍👍🔥👍🔥👍,2020-06-18T19:45:17Z,0
30,Ugzay2CLObF4zlOJVdl4AaABAg,s__5CfqWSwQ,Навальный LIVE,2,2,Alex Воин Света Defender,"Шапошникова с Потаниным надо в одну камеру, поговорят о своих миллиардах на досуге)",2020-06-18T19:24:03Z,0
31,Ugzay2CLObF4zlOJVdl4AaABAg.9A38XBAfehN9AAl1JIjLqY,s__5CfqWSwQ,Навальный LIVE,0,0,Alex Воин Света Defender,@MonzonMr если обобщить жулики государственного уровня,2020-06-21T18:23:54Z,1
32,Ugzay2CLObF4zlOJVdl4AaABAg.9A38XBAfehN9A5pbd5GQl-,s__5CfqWSwQ,Навальный LIVE,0,0,MonzonMr,"Верно, единственное - не заслужили они, чтобы их фамилии писать с большой буквы.",2020-06-19T20:27:45Z,1
33,UgwYBDxVkKmI6W5AUoZ4AaABAg,s__5CfqWSwQ,Навальный LIVE,0,0,Гоша КлопOFF,Кто такой единарос?,2020-06-18T16:54:38Z,0
34,UgwxN1nGciFvXs_Lyj14AaABAg,s__5CfqWSwQ,Навальный LIVE,0,0,A Aaa,Супер,2020-06-18T12:36:28Z,0
35,Ugy4eSYunJ_6ljzX_F54AaABAg,s__5CfqWSwQ,Навальный LIVE,0,1,Лера Антонова,"Вроде все знают, что их грабят, но менять никто ничего не хочет и не собирается 🙈 что за логика",2020-06-18T10:56:08Z,0
36,Ugx412CzKCib0enQ1w14AaABAg,s__5CfqWSwQ,Навальный LIVE,0,1,Владимир Гвоздев,я хочу шапошникову посоветовать : Лёха ! остановись ! в гробу карманов НЕТ !,2020-06-18T10:46:38Z,0
37,UgyTAOkgJeja0RWQoNB4AaABAg,s__5CfqWSwQ,Навальный LIVE,0,0,Рамазан Османов,"Пусть ворует и воркует с ЕДРО, такие нужны Президенту, раз он там до сих пор сидит и издевается над коллегами и не только. Президент гарант, он как раз и гарантирует им неприкосновенность, или есть выбор?! Может делится, поэтому он чихать не хотел на ФБК. Шапошников вроде заслуженный юрист, а как он его заслужил, получается вот так и заслужил имея доходы.....",2020-06-18T10:40:45Z,0
38,UgwA0FecS83GPWRI4HB4AaABAg,s__5CfqWSwQ,Навальный LIVE,0,0,Moneta Mos,Думать-это не для русских,2020-06-18T10:17:20Z,0
39,Ugxwj7jT4pDq19nEykl4AaABAg,s__5CfqWSwQ,Навальный LIVE,0,0,ersteerste,"Пусть господа чиновники на пару с царем нам таки  напомнят: а по какой такой причине мы, граждане России, не хотим, как в Париже?
Нашим властям место в тюрьме.",2020-06-18T10:04:02Z,0
40,Ugxld68qViYLSK7NwaF4AaABAg,s__5CfqWSwQ,Навальный LIVE,0,1,comradeMightess ❌,страна такая как есть. Вот с этим нужно бороться.,2020-06-18T09:55:50Z,0
41,UgxuZ27NbhAPyqGsxPJ4AaABAg,s__5CfqWSwQ,Навальный LIVE,0,0,Алексей Неважно,Что и требовалось показать. Основное население - тупой рабочий скот.,2020-06-18T09:37:01Z,0
42,Ugx5yZqsMUcnplYzm294AaABAg,s__5CfqWSwQ,Навальный LIVE,0,1,Галка Sh,"Ну так снять мало, надо судить и раскулачивать)",2020-06-18T09:26:22Z,0
43,UgwcF80_UlJ5VW3ahDp4AaABAg,s__5CfqWSwQ,Навальный LIVE,0,0,predvital,"Я думаю, ему похую....",2020-06-18T09:09:07Z,0
44,UgwrbZ6ZOyUTpvF75Ft4AaABAg,s__5CfqWSwQ,Навальный LIVE,0,2,TeRGcam,"Вот вроде бы у вас сидят умные люди, расследования делаете, профсоюзы организовываете, ну вы же должна понимать что в современной России закон не для всех одинаковый, что человек сидит на золотой жиле, ничего полезного не делает и просто так никуда не уйдёт.
Когда раньше захватывали территории и крестьяне не хотели платить дань, у них либо силой забирали либо они устраивали бунт и не платили дань. Так же и тут.",2020-06-18T08:49:46Z,0
45,UgyClSVzIWq7BjM7hKx4AaABAg,s__5CfqWSwQ,Навальный LIVE,0,0,Music of the day \ Музыка дня,"видео мусор. Тупейший вопрос к людям, которым до такой информации насрать. Они что пойдут отнимать у него деньги всей толпой?",2020-06-18T08:41:19Z,0
46,UgxxeSYO1YqJJyt9aLh4AaABAg,s__5CfqWSwQ,Навальный LIVE,0,1,Ирина,Вор на воре и вором погоняют.,2020-06-18T08:40:38Z,0
47,UgyfTQRGbatjg5K6E7V4AaABAg,s__5CfqWSwQ,Навальный LIVE,0,0,Аслан Дзасежев,Шапка на воре горит,2020-06-18T08:34:08Z,0
48,Ugx4jQYBJk2UFjrJ86t4AaABAg,s__5CfqWSwQ,Навальный LIVE,0,0,Serjios Kr,Шапошнпиков наглая морда. Интересно как изменится его выражение лица когда он будет сидеть на скамье подсудимых,2020-06-18T08:11:14Z,0
49,Ugy7lgBuQrpgKXr9wCt4AaABAg,s__5CfqWSwQ,Навальный LIVE,0,0,Александр Андрющенко,На каторгу его! В Норильск мазут собирать пожизненно!,2020-06-18T08:09:06Z,0
50,UgxVoQu7sruqo3m6QJh4AaABAg,s__5CfqWSwQ,Навальный LIVE,0,0,Алексей Чесноков,Сила в правде,2020-06-18T07:47:11Z,0
51,UgzGvgnsoF4-W-ZM0wB4AaABAg,s__5CfqWSwQ,Навальный LIVE,0,0,Наталья Хабиева,Позорище!,2020-06-18T07:46:37Z,0
52,UgyEQP9sBIPJY4dDH2t4AaABAg,s__5CfqWSwQ,Навальный LIVE,0,0,Бабаев Исмаил,вор должен сидеть в тюрьме,2020-06-18T07:14:20Z,0
53,UgytBJ3A-gWWjzADmQV4AaABAg,s__5CfqWSwQ,Навальный LIVE,0,0,М ГБ,Руки прочь от коррупции!,2020-06-18T05:19:08Z,0
54,UgwVi1Qihh1Mvx0Du094AaABAg,s__5CfqWSwQ,Навальный LIVE,0,0,апельсин фрукт,Посоветуй успеха лол,2020-06-18T04:46:12Z,0
55,UgyFhwz4rrXR5sunBFt4AaABAg,s__5CfqWSwQ,Навальный LIVE,0,0,Игорь 7459,"Ну получается что всем ПО...
 Как говорил Зеленский в Слуге Народа!!",2020-06-18T04:35:40Z,0
56,UgyzNh4XG72mks-HCuJ4AaABAg,s__5CfqWSwQ,Навальный LIVE,0,1,Надя Салтыкова,Под суд коррупционера Шапошникова.Наворованное конфисковать и купить еды умирающим от нищеты россиянам.Шапошникова по приговору суда повесить.,2020-06-18T03:18:48Z,0
57,UgzHmon8FW4QBhtwKmt4AaABAg,s__5CfqWSwQ,Навальный LIVE,0,0,Elena Rusova,"Собянин, Картавцева, Княжевская, Хуссснннулин, не трогайте мою Москву и мою придомовую территорию. Это- моя приватизированная земля, декабристов 35 а и Мусоргского 1. Вы, что серьёзно решили, что мы простим вам воровство, пустые листы из выписки, порезанные нити в бти архивах???? Я отниму у вашего племени- абсолютно всё! Даже не мечтайте скрыться. Мы не простим. Имейте ввиду, что ваши махинации, мы храним в благонадёжном месте и в облаке. Мы, прекрасно знаем, какие вы ""страшные"" )))) и доступа у нас нет. Как только ваше племя, решит закрыть нам рот- выйдет гидра.  Жаль, что я живу с такими уродами.",2020-06-18T03:18:28Z,0
58,Ugw5MF0HQLOMBogu1TN4AaABAg,s__5CfqWSwQ,Навальный LIVE,0,0,Elena Rusova,"И все эти твари, воруют землю у Москвичей. Просто - воруют. А потом, миллиордерами становятся. И нас бьёт омон и их вонючие, незаконные чопы. Мы припомним. Не покупайте квартиры в Москве.  Реституцию- никто не отменял. Будете нам платить за аренду земли. У нас есть все документы.  Путин- не вечен.",2020-06-18T03:06:55Z,0
59,UgzoJzX9O1uvXiKExvR4AaABAg,s__5CfqWSwQ,Навальный LIVE,0,0,Elena Rusova,"Как всё надоело. Они реально- глупые люди. И вот с этими глупыми людьми, которые не знают УК, пренебрегают законом, думают, что им кто-то поможет (в ответственный момент) я живу рядом. Мне противно, очень противно. А за лосиный остров, лес, бабушкинский район- он ответит всем своим имуществом. Мы- не забудем эту тварь божью. Мы- помним и фиксируем все его преступления. Пьеро-не страшно?  Мы, законно обращались, прошли все ваши ненужные нам инстанции. Потом придут ""другие"", даже спрашивать не будут. Вы реально там все иллиоты?  Вы реально, считаете 5000 рублей штрафов, как вам позавтракать?  Вам реально не страшно???",2020-06-18T03:01:16Z,0
60,UgzY0Mos85_YqzMttp94AaABAg,s__5CfqWSwQ,Навальный LIVE,0,0,Анна Унгурян,Шапошникова по шапке! 🥴🕵️‍♂️,2020-06-18T02:35:59Z,0
61,UgyYgA1A4sM4372lqsN4AaABAg,s__5CfqWSwQ,Навальный LIVE,0,1,Геннадий Кирюхин,Надо дать по шапке!,2020-06-18T01:29:23Z,0
62,UgzVB6-cowS1zv56QaR4AaABAg,s__5CfqWSwQ,Навальный LIVE,0,0,Евгений Зобов,"РОССИЯ фантастическое ГОСУДАРСТВО. Был изумрудный город, там гражданам ОЧКИ вручали на входе. А в РОССИИ маски-шоу и миллиордеры. Изумрудная страна, наполненная быдлом, но просвещенным.",2020-06-17T23:27:52Z,0
63,UgxGuczSxGq8ohoBgKh4AaABAg,s__5CfqWSwQ,Навальный LIVE,0,0,Elcin Memmedov,Молодец,2020-06-17T22:33:48Z,0
64,Ugz1Vj9qyuVYXvMOAWB4AaABAg,s__5CfqWSwQ,Навальный LIVE,0,0,Андрей Гертнер,Слава Путину царю нашему таки да Помолимся рабы божьи наши таки да Помолимся,2020-06-17T20:31:38Z,0
65,UgwEe2nTs81UCiCrJpR4AaABAg,s__5CfqWSwQ,Навальный LIVE,0,0,Niko Viner,"Вас не разбудит чести клич.
К чему стадам дары свободы?
Их должно резать или стричь.
Наследство их из рода в роды
Ярмо с гремушками да бич.
Шапошников это великое стихотворение понимает побольше многих, поэтому и зарабатывает миллиарды. Паситесь, господа.",2020-06-17T20:19:41Z,0
66,UgxVjKu9OnZvmwnYH014AaABAg,s__5CfqWSwQ,Навальный LIVE,0,0,Repeinik floribunda,Позор! И не уходит же..,2020-06-17T19:01:22Z,0
67,UgyJP-bI-m2oYSe16mF4AaABAg,s__5CfqWSwQ,Навальный LIVE,0,0,Алексей Савкин,боже воскреси Сталина,2020-06-17T18:46:44Z,0
68,Ugytc_cNIXIXuKWnrkh4AaABAg,s__5CfqWSwQ,Навальный LIVE,0,0,zet zero,на шапошневике шапка горит!,2020-06-17T18:42:08Z,0
69,UgzY0OL0nShSDf9nlsh4AaABAg,s__5CfqWSwQ,Навальный LIVE,0,1,Анастасия Никифорова,Мужик хорошо сказал! Именно - у нас нет никаких прав.,2020-06-17T17:59:30Z,0
70,UgwGCPcmEiNYcK9co5l4AaABAg,s__5CfqWSwQ,Навальный LIVE,1,1,Андрей Т,единая  россия- сборище злобных клоунов!,2020-06-17T17:55:39Z,0
71,UgwGCPcmEiNYcK9co5l4AaABAg.9A0PboOHVGN9A0UqM_veUD,s__5CfqWSwQ,Навальный LIVE,0,0,zet zero,клоунов--карликов,2020-06-17T18:41:19Z,1
