,id,videoId,authorVideoName,totalReplyCount,likeCount,authorDisplayName,textDisplay,publishedAt,isReply
0,Ugx0YSfr4eAwAixiPWJ4AaABAg,srGq63XTF7Q,Навальный LIVE,0,0,budschastliv,"Всё то, чего коснется человек,
Озарено его душой.....",2020-06-25T23:47:02Z,0
1,Ugzksgo5-qrJIgWwyER4AaABAg,srGq63XTF7Q,Навальный LIVE,0,0,Синрель Ю,А если в речку кинуть спичку?,2020-06-24T05:10:03Z,0
2,UgznXA9wenCBvcn1yid4AaABAg,srGq63XTF7Q,Навальный LIVE,0,0,STENSIS,страну превращают в мусор. Очень печально,2020-06-19T08:28:21Z,0
3,Ugw9_yPV4OP37w16CAJ4AaABAg,srGq63XTF7Q,Навальный LIVE,0,0,Эльвин Ахмедов,"Это одно название, что Норильск это территория России по факту здесь обратное. Если Норильск с комбинатом отделится от страны ничего в принципе не поменяется здесь своя власть.",2020-06-18T04:57:11Z,0
4,Ugym6SzCMEk2iHaIl514AaABAg,srGq63XTF7Q,Навальный LIVE,0,0,Геннадий Тарасенко,"20 лет одна пиздатня, корупция и еще хотят обнулится. Северную Корею догоним не волнуйтесь",2020-06-17T10:48:48Z,0
5,UgzswNTClVrvw3VwwuZ4AaABAg,srGq63XTF7Q,Навальный LIVE,0,0,Вадим Банковский,Проснитесь) в какой стране вы живёте?) вам только крупы горстку предложат!) но вы конечно просите.,2020-06-16T03:38:59Z,0
6,UgxCoL850Fd3nxBQY394AaABAg,srGq63XTF7Q,Навальный LIVE,0,0,Махач Арийский,"Такая богатая Страна, но народу Шыш, когда народ Гибнул не объявили ЧС, а когда богатство «Чинушей» под Угрозой Сразу ЧС... теперь Народ ты знаешь что главно для Власти это их Ресурсы, от которых народ не имеет",2020-06-15T08:46:18Z,0
7,UgyVIpn_dUyBjoR8Op14AaABAg,srGq63XTF7Q,Навальный LIVE,0,0,Григорий Котов,Наш девиз ни одного голоса в пользу Путина!,2020-06-14T21:50:22Z,0
8,Ugwq4WMmbGr6zeWVjwp4AaABAg,srGq63XTF7Q,Навальный LIVE,0,0,Media Markt,"Как у нас ещё АЭС не бахнула, там вроде тоже сильный специалист Кириенко рулит.",2020-06-14T16:57:21Z,0
9,UgyGP8QZPgpVMjq9Yy14AaABAg,srGq63XTF7Q,Навальный LIVE,0,0,Елена Юрьевна,"За деньги родину продают и убивают. Люди, животные, растения страдают из за этих бумажек.",2020-06-14T09:01:12Z,0
10,UgwnUngzqLNT58ycnfx4AaABAg,srGq63XTF7Q,Навальный LIVE,0,0,Евгений Черепанов,Что ж в нарильске люди живут и терпят все это?!!! Почему не выходят ? Почему не бастуют или они там все просто идиоты и не понимают что достанется их детям ?,2020-06-14T06:03:23Z,0
11,Ugz-To5egp6DLCbUxVN4AaABAg,srGq63XTF7Q,Навальный LIVE,0,0,Kira Stimpson,"Если честно, слёзы наворачиваются. Настолько похуй властям на людей, на природу, что аж страшно.
Зато у нас главная угроза - геи, США и подобное. А как загубить чуть ли не целую экосистему, так это и не проблема вовсе для властей.",2020-06-14T05:06:39Z,0
12,UgyOTPVqkHRZLq0pkzN4AaABAg,srGq63XTF7Q,Навальный LIVE,0,0,Елена сава,"Ужас в стране разруха, а приближенные к Путину миллиардеры. Замки, самолеты, яхты . Дальний восток -Китаю. Газ-Китаю. Нам ипотека под охрененнные проценты. Кредиты без которых нам ничего не купить (диван в кредит, сапоги в кредит). И вечно -должен, должен.",2020-06-14T03:53:03Z,0
13,UgxIe8kyFCZKub2tIx94AaABAg,srGq63XTF7Q,Навальный LIVE,0,0,Ira D.,👍,2020-06-13T19:17:36Z,0
14,UgzL8YfBZRUC8b5Z7Cd4AaABAg,srGq63XTF7Q,Навальный LIVE,0,0,Юлия Хакина,Сколько мы будем терпеть этих паразитов?,2020-06-13T18:13:48Z,0
15,UgzR68Krm2Va8kJr-UV4AaABAg,srGq63XTF7Q,Навальный LIVE,0,0,Юлия Риндас,Почему президент нашей великой страны не приехал на место экологической катастрофы???,2020-06-13T16:08:31Z,0
16,Ugzk912eMwq88DqHusZ4AaABAg,srGq63XTF7Q,Навальный LIVE,0,0,Nadi Chudokulinar,"Все правильно сказал эксперт, для Норильска это капля в море по сравнению с тем, что здесь происходит каждый день.",2020-06-13T14:56:08Z,0
17,UgyD9Ezsv8_2oOEANIx4AaABAg,srGq63XTF7Q,Навальный LIVE,0,0,Виктор Артамонов,"Ну, Вы и нашли специалиста...  Вася,  расслабься, оторвись от экрана с текстом и прекрати вещать прописные истины...  Шкаляр...!  Стыдно.же...",2020-06-13T13:14:02Z,0
18,UgxL9mLHx7pZe4HA9794AaABAg,srGq63XTF7Q,Навальный LIVE,0,1,deazy777,пукинизм это сама по себе катастрофа на Земле...,2020-06-13T10:57:55Z,0
19,UgwwinYaq8NpxRCdo_R4AaABAg,srGq63XTF7Q,Навальный LIVE,0,0,Диана Крутских,Здравствуйте могу оставить информацию по Иркутской области тоже нефтяная база протекла в ангар убежит он есть видео если интересует сообщите,2020-06-13T04:48:39Z,0
20,Ugz-mTRgwzJ9m6RzH954AaABAg,srGq63XTF7Q,Навальный LIVE,0,0,Марина Нескреба,Для природы газ в Норильске - ерунда по сравнению с разливом 21000 тонн диз.топлива! Потому и обьявили сейчас ЧС!,2020-06-13T01:46:20Z,0
