,id,videoId,authorVideoName,totalReplyCount,likeCount,authorDisplayName,textDisplay,publishedAt,isReply
0,Ugyh50nTLVGNlplFBs14AaABAg,st2mubCF4DM,Телеканал Дождь,0,0,Телеканал Дождь,"Подпишись на канал ""Женщины сверху"" - https://www.youtube.com/channel/UC1QTdYauIX6amnimFQWBzwA?sub_confirmation=1
Смотри премьеру на канале - https://www.youtube.com/watch?v=hN-L-s4zKBQ",2020-06-27T09:38:33Z,0
1,UgynplnyJ-dHXdyKbox4AaABAg,st2mubCF4DM,Телеканал Дождь,0,0,Ольга Глушакова,Ну что москвичи.....ПОЗДРАВЛЯЮ,2020-06-27T16:28:52Z,0
2,Ugwxoxzl5bNWYozxZH14AaABAg,st2mubCF4DM,Телеканал Дождь,0,0,Александр Радченко,"10:10 - Интересно, а почему мадам Аскер-Заде без маски? Вдруг чихнет на министра...Это ж такая трагедия будет...",2020-06-27T04:18:12Z,0
3,UgzsOdeGN_nqxjt-3F94AaABAg,st2mubCF4DM,Телеканал Дождь,0,1,Liza Brawl stars,Фуууу,2020-06-26T13:38:29Z,0
4,Ugx3OiOuMzTaffC2oWh4AaABAg,st2mubCF4DM,Телеканал Дождь,0,0,Mriya,"Блин. Все ,что говорил Валерий Соловей на протяжении последних месяцев,сбывается вплоть до эмоциональных подробностей. Очень надеюсь,что сбудется и последующее.",2020-06-26T11:20:02Z,0
5,UgwOqNxXEeUAvolAOwh4AaABAg,st2mubCF4DM,Телеканал Дождь,0,0,Зинаида Евсеева,"Ну зачем вы нам портите настроение видеть невозможно
Хочется избавиться но насчет
Забыть20 лет ужаса не получится",2020-06-25T14:28:04Z,0
6,UgxfsPOp4uTUfmazBjp4AaABAg,st2mubCF4DM,Телеканал Дождь,0,0,Mark Duglas,А где был этот вирус 2-3 года назад?,2020-06-25T09:03:50Z,0
7,UgzpvshKzCE2vDrpNp14AaABAg,st2mubCF4DM,Телеканал Дождь,0,0,ТАНЦЫ ДРУЗЕЙ!,Бесит эта москва,2020-06-24T23:11:51Z,0
8,UgyU0bAZN5jM8oa6QZt4AaABAg,st2mubCF4DM,Телеканал Дождь,0,0,Анастасия Воснесен,"Зато,в г.Тюмени замучали,с походом в магазины,проблема с масками,и не пускпют в магазины без масок! В начале,полтора месяца пускали без масок.",2020-06-24T07:17:50Z,0
9,UgxM5p_hf9tRGz87Gwp4AaABAg,st2mubCF4DM,Телеканал Дождь,0,0,Вера Морозова,"Этим Собянин мне напомнил Ельцина, который также в период второй акции войны в Чечне заявил:"" Всё, хватит войны. Её надо закончить."" Так и Собянин- поигрались, положили на место.",2020-06-24T06:56:10Z,0
10,Ugz8CkZlsOQyeuh4I3V4AaABAg,st2mubCF4DM,Телеканал Дождь,0,0,Друг истины и Платона,Мишка фишман башковит у него предвидение. Позвольте этому шифману высказать свое неудовольствие. Слушал его дилетантские высказывания о плоской шкале. Я его понял так я жадный я делиться не хочу.,2020-06-23T23:22:53Z,0
11,UgzaCtTS6p8u9vPru1J4AaABAg,st2mubCF4DM,Телеканал Дождь,0,0,Inna Inna,А почему ходят в намордниках. Это что. Позорище.,2020-06-23T21:28:51Z,0
12,UgzP0aCy1OsaPTmVhAN4AaABAg,st2mubCF4DM,Телеканал Дождь,0,0,Кирилл Гостев,"Голосуй не голосуй, все равно получишь .....",2020-06-23T21:15:33Z,0
13,UgzpBRFkG0XkzKOODI94AaABAg,st2mubCF4DM,Телеканал Дождь,0,0,Behruz Isayev,i,2020-06-23T18:54:18Z,0
14,UgxWfB6PkKFEzj-CogR4AaABAg,st2mubCF4DM,Телеканал Дождь,0,0,Ярик Борисов,"Число заболевших растёт, а открывают всё",2020-06-22T19:25:37Z,0
15,UgybKbEdmGV322GavcB4AaABAg,st2mubCF4DM,Телеканал Дождь,0,0,Рубин Аматыч,по 79 статье (новым поправкам) Росиия будет фильтровать адекватные требования от неадекватрных,2020-06-22T14:09:18Z,0
16,Ugxmg_USP0RGARXF0HJ4AaABAg,st2mubCF4DM,Телеканал Дождь,0,0,Johnny HOLLYWOOD,В масках придут раз по 20ть одни и те же и все,2020-06-22T04:29:57Z,0
17,UgyBmEBi_BDHlu0VGXN4AaABAg,st2mubCF4DM,Телеканал Дождь,0,0,Ainars Dominiks,sabjanin takoj idiot kakovo jes4o poiskat nado. On tupeje 4em moja tuflja. Putin huilo.,2020-06-21T21:23:10Z,0
18,Ugzr_zytexb__j5uwGx4AaABAg,st2mubCF4DM,Телеканал Дождь,0,0,Lasha Lomadze,"Главный вырус России ПУТИН. Вакцины от него нет, и не будет....",2020-06-21T17:06:18Z,0
