,id,videoId,authorVideoName,totalReplyCount,likeCount,authorDisplayName,textDisplay,publishedAt,isReply
0,Ugwy-ubgF2-LAzzZWCh4AaABAg,t1TBQQPEbxE,Максим Кац,68,377,Максим Кац,"Российский центр Холокост, который помог в подготовке ролика: http://holocf.ru/архив-2/. Если у вас есть письма, фотографии по теме времён войны — отсканируйте и отправьте им",2020-06-24T13:19:13Z,0
1,Ugxb1TJqmoSzh1NE7md4AaABAg,t1TBQQPEbxE,Максим Кац,0,0,Тёма Федотов,"А что на счёт ~30м славян, погибших во второй мировой?
А что на счёт действий большевиков по отношению к русским?
Почему об этом никто ничего не говорит?",2020-07-03T10:49:51Z,0
2,Ugy0BDa8yQokVsUfOgZ4AaABAg,t1TBQQPEbxE,Максим Кац,0,0,Botanika PRO,"спасибо. я знал что все было ужасно, но про 2,7 млн советских евреев услышал впервые",2020-07-03T08:16:20Z,0
3,Ugyw4bfCYH1Sqxcc8b94AaABAg,t1TBQQPEbxE,Максим Кац,0,0,Эмиль Рамадан,У вас чича,2020-07-03T06:31:43Z,0
4,Ugy1Ks_6PT66jKBQOtZ4AaABAg,t1TBQQPEbxE,Максим Кац,0,1,SafiZet,"Спасибо Вам большое.
Никогда не любил рассказы о войне, все они казались мне пафосными, приправленными ""деды воевали"" и ""можем повторить"". Всегда казалось, что тем, кто с таким рвением рассказывает о войне в школе (а я живу в Санкт-Петербурге, тут целый период вспоминают Блокаду) хочется заставить меня искренне боготворить и уважать людей, которые воевали и тоже убивали людей, а не показать, что войны между людьми не должно попросту быть... А тут вы спокойно рассказываете историю, без пафоса, без специального давления на эмоции, как это бывает, но... Пробило на слезы, пробило послушать песню ""Непокоренная вера"" Гарика Сукачева, пробило пойти и посмотреть то выступление Евтушенко, пробило написать комментарий со словами благодарности. Спасибо Вам. Вот такими, мне кажется, должны быть воспоминания о тех событиях, взвешенными, объективными, с главной мыслью о том, что подобное не должно повториться никогда",2020-07-03T06:09:53Z,0
5,UgzX8aIvJ5kCpPchbIp4AaABAg,t1TBQQPEbxE,Максим Кац,0,0,David Apfelbaum,"Все мои пожилые родственники на 9 мая грустили, вспоминая павших товарищей, повторяя ""лишь бы никогда не было войны больше"". Люди, никогда войны не видевшие, орут на каждом углу ""можем повторить"". Что повторить? Ведь это убийства миллионов людей, ни в чём не повинных. Молодёжь, воспитанная при Путине, считает, что война - это парад и игра... Вот побольше бы таких видео, чтобы объяснить им до чего доводит милитаризм и что в милитаристском государстве больше шансов стать жертвой, а не ""героем""",2020-07-02T21:11:19Z,0
6,Ugzsqbhw3KaPnFK9CnJ4AaABAg,t1TBQQPEbxE,Максим Кац,0,0,Gennadi Leino,"Это всё документальные факты, или всё же ""свидетельства"" собранные НКВД СССР?) На которых и основывалось всё обвинение в Холокосте, и обвинение в 6 миллионах уничтоженных евреев в СССР? Может стоит всё же исследовать историю самой этой советской организации, и её собственные подвиги, прежде чем верить ей на слово?))",2020-07-02T17:59:47Z,0
7,Ugy1j3mLe_F5YzQoFmN4AaABAg,t1TBQQPEbxE,Максим Кац,0,0,Хурді Гурді Ман,сколько страшилок о нацистах... удобный способ получения проффита в виде компенсаций от немецкого правительства,2020-07-02T17:05:15Z,0
8,Ugw2ykkgpmpfU5b948F4AaABAg,t1TBQQPEbxE,Максим Кац,0,0,You're good,Про голодомор сделай ролик плз,2020-07-02T11:25:34Z,0
9,Ugxack1sDdD617fcHmZ4AaABAg,t1TBQQPEbxE,Максим Кац,0,0,Анна Левиц,Огонь! Ваш канал увлекает в историю понастоящему,2020-07-02T09:05:26Z,0
10,UgzWGCXGquufR64zqpt4AaABAg,t1TBQQPEbxE,Максим Кац,0,0,Любовь Курган,"Максим, спасибо🙏!!!",2020-07-02T05:15:47Z,0
11,UgxD7xzwKjBbFXw6Kst4AaABAg,t1TBQQPEbxE,Максим Кац,0,1,Andrew Dzgoev,"Попав в плен, брат моего деда был отправлен в конц-лагерь.. т.к внешне походил на еврея...он был осетин. Его уже вели уже в газовую камеру. Спасла его департированная из СССР немка ( из немцев проживающих в СОССР) распределив на тяжелые работы(сославшись на физическую силу) в конечном итоге ему удалось сбежать. Ближе к концу войны он оказался в числе освобожденных англичанами военнопленных..Англичане дали право выбора(вернуться на родину, либо попытать счастье в Европе). Выбор был очевиден, Родина...по прибытию в Мурманск советское командование определело его ""предателем""...еще 10 лет он провел в лагерях  Сибири... Можем повторить? Нет уж лучше жить в хрупком, но все же мире...",2020-07-02T02:16:38Z,0
