,id,videoId,authorVideoName,totalReplyCount,likeCount,authorDisplayName,textDisplay,publishedAt,isReply
0,Ugzals7Cl_HwNpUOep94AaABAg,t69wQp80f-w,Максим Кац,77,322,Максим Кац,"Если понравилось видео, возможно вам будет интересно ещё вот это — месяц назад записывал про то, как работают авторитарные режимы в целом https://youtu.be/iepOjWCQfsU",2020-05-09T15:13:03Z,0
1,Ugz83GRcF5RQGUqbf914AaABAg,t69wQp80f-w,Максим Кац,0,0,Konstantin,Так и знал что это Молотов с Риббентропом виноваты,2020-07-02T20:41:44Z,0
2,UgwR1DwHgo3bI6LhzNd4AaABAg,t69wQp80f-w,Максим Кац,0,0,Mitya Sha,"Я думал, что он поменял конституцию, обнулил свои сроки, или что-то подобное",2020-07-02T16:38:13Z,0
3,UgzTEkYnXMJRc9neMJt4AaABAg,t69wQp80f-w,Максим Кац,0,0,Gennadi Leino,"Однако были и золотые 20е, когда и уровень жизни рабочих в Германии вырос значительно. И ещё, как обычно, товарисч забыл германских коммунистов, финансированных Москвою и Коминтерном, которые участвовали в выборах, массовых политических забастовках и в лозунгах своих не стеснялись)) Просто советская пропаганда предпочла об этом забыть, и сконцентрироватся на ""реваншизме"" немцев. Хотя у Германии был реальный внешний враг, и значительная пятая колонна её внутри страны) Так что не стоит валить всё на Гитлера... Без русской революции и большевиков в Европе не было бы фашистов и нацистов, об этом говорил и академик Павлов) Сталин и Коминтерн опосредованно и создали запрос на Муссолини и Гитлера)",2020-07-01T14:30:04Z,0
4,UgwBRVr6XG41vJFC2dJ4AaABAg,t69wQp80f-w,Максим Кац,0,0,Vic 389099,"Забыли очень важный момент - об огромной помощи и участии Сталина в становлении и победе партии Гитлера. Если бы не Сталин, не было бы никакого Гитлера в политической жизни Германии",2020-07-01T05:52:05Z,0
5,UgyApK2zivyMeMqKnZl4AaABAg,t69wQp80f-w,Максим Кац,0,0,Дмитрий Аверкин,Кто профинансировал послевоенный подъем Германии? Откуда у задавленной репарациями Германии деньги на озвученную  индустриализацию появились? И кто финансировал НСДАП? Это случайное умолчание или как?,2020-06-30T21:04:14Z,0
6,Ugwn9p85prxn8_Bj-Px4AaABAg,t69wQp80f-w,Максим Кац,0,0,Anonymous163ful,"Нет, как раз таки Гитлер пришёл мирным и демократическим путём, миф это то чем вы сейчас занимаетесь выдумываете сказку о том что он совершил какой то там переворот и поджог, но понятно почему вы лжёте и занимаетесь фальсификацией и мифотворчеством, ведь вам либеральным демократам очень не приятно осознавать тот факт что нацисты пришли к власти в Германии мирным и демократическим путём и их власть была полностью законна и легитимна. И НСДАП набрала на последних выборах 60 с чем то % это факт. Вы кстати любители либеральной демократии никак с цифрами не определитесь то нацисты у вас на последних выборах получили 32, то 38, то 43. Особенно нелепы сказки про ""запугивание"". Нацисты не лишали немцев базовых прав, к счастью ещё сохранились видео с рассказами очевидцев о том как жилось в Рейхе, хотя вы любители швабодки и либеральной демократии скоро и эти видео удалите с ютуба. Вряд ли от вас можно добиться хотя бы чуть чуть объективности, а не истерики ""ррряяя, ноцызстыыы!!!111,зохватили власть незаконным путём!""!!11"" 12:00 Гитлер тогда ещё не обладал всей полнотой власти что бы устроить ""запугивания и репрессии"", так что именно процедурой. Пропаганда не аргумент она присуща абсолютно всем политическим силам, даже вы товарищ Кац ведёте свою пропаганду со своего канала. 12:18 Вы либералы конечно же не формируете ""народную волю"" преподнося свою точку зрения как нечто естественное.",2020-06-30T20:56:04Z,0
7,Ugw6xwP85uLnUNls0DF4AaABAg,t69wQp80f-w,Максим Кац,0,0,Egor Grigoryev,"Все еще считаю, что безусловно режим Гитлера можно называть фашистским, однако говорить, что победа над третим рейхом означает победу над фашизмом - глупо. Фашизм, это общее понятие, характеризующие крайне правые идеологии. В кой-то веки режим Сталина тоже можно считать фашизмом, только левым. Выходит, если рассматривать ВОВ, одни фашисты, победили других фашистов, разве не так?",2020-06-30T08:37:35Z,0
8,UgxnEDTE6l_pihKBixx4AaABAg,t69wQp80f-w,Максим Кац,0,0,4 WHEELS,Как у тебя получается делать ролик каждый день? Это ж огромная работа.,2020-06-28T08:51:13Z,0
9,Ugzf0td5K8zsj_KjadZ4AaABAg,t69wQp80f-w,Максим Кац,0,0,Erasyl Satpaev,Версальский мир был в июне 1919,2020-06-28T06:24:21Z,0
