,id,videoId,authorVideoName,totalReplyCount,likeCount,authorDisplayName,textDisplay,publishedAt,isReply
0,Ugzo01nAq-f3OrJ0H_d4AaABAg,tp_9uOjSj-c,Навальный LIVE,0,0,Ar Maver,"Ну какая еще поддержка малого бизнеса, не смешите. У нас выручка - минус 99% за эти -2-3 мес. после введения карантина. В программу поддержки не входим.. но при этом никто не отменял уплату фиксированных взносов по УСН, налог за 1 кв., уплату в ПФР 1% и тд.",2020-06-15T15:38:41Z,0
1,UgxKWmIYFlJdJrqIdTF4AaABAg,tp_9uOjSj-c,Навальный LIVE,0,0,Dasha Moss,"Просто жирнющий лайк. Простым языком, ПОНЯТНО, да еще мега приятным голосом, я столько дел переделала, пока слушала ваши выпуски, и столько нового узнала. Спасибо! Позицию по ипотеке полностью поддерживаю",2020-06-04T02:07:01Z,0
2,Ugz-02p8U7MC4zalJ4R4AaABAg,tp_9uOjSj-c,Навальный LIVE,0,0,Виталий Лесин,"Владимир, впрягаясь в эту пропаганду за карантин, Вы портите себе репутацию. У нас в Белоруссии нет никакого карантина, даже парад в Минске был - и ничего. Нет никакой эпидемии, тем более - пандемии.",2020-05-30T15:16:29Z,0
3,Ugy7x_uxlvpmxMIuXA94AaABAg,tp_9uOjSj-c,Навальный LIVE,0,1,Natalya,"Милову,  респект  и  поддержка  !!!",2020-05-29T18:18:30Z,0
4,Ugz62wLCgI0955EBU8V4AaABAg,tp_9uOjSj-c,Навальный LIVE,0,0,АЛЕКСЕЙ БЕЛОВ,"Жулики подзадержались, Пора бы честь знать. Валить куда подальше.",2020-05-28T17:01:04Z,0
5,UgzWJA8gQW_hAd_65Tt4AaABAg,tp_9uOjSj-c,Навальный LIVE,0,0,norman giesbrecht,"чего ты несешь? покажите хоть одно свидетельство существования вируса кроме его муляжей, путин пешка щредера, короче такой же кремлевский болванчик",2020-05-28T11:06:38Z,0
6,UgxPudowHB08XyqKQ9d4AaABAg,tp_9uOjSj-c,Навальный LIVE,0,0,Вадим Гаврилов,Не ну про золото то не правильно.. по нему нет инфляции а по доллару есть,2020-05-28T10:22:04Z,0
7,UgyM-gOMz04gctzal9B4AaABAg,tp_9uOjSj-c,Навальный LIVE,0,0,в н,"Вы  ВВ моньячите все ластью?Вы становитесь похжи на Чикатило,,Гитлера перед поражением,Остано вись,сам и своих псов усмери по доброму, твои мочить в сортире к тебе и вернётся.Быки тебя не спасут, как Каддафи твои же друзья обосут за свою не прикосновенность,за свое бабло.",2020-05-27T19:13:54Z,0
8,Ugy-9BsIV5LKwglDfRt4AaABAg,tp_9uOjSj-c,Навальный LIVE,0,1,laylo raxmonova,Информация достойна обсуждения на всех ТВ каналах (вместо пошлого копания в грязной жизни известных артистов): коррупция в нефтяных цепочках просто зашкаливает.,2020-05-27T18:59:48Z,0
9,UgzfwQOxPFMemCFo3CF4AaABAg,tp_9uOjSj-c,Навальный LIVE,0,0,Submedia30,Может вопрос в антимонопольный коммитет ЕС написать.,2020-05-27T17:47:45Z,0
10,UgyIk1_CkSMIzZZ3G5t4AaABAg,tp_9uOjSj-c,Навальный LIVE,0,0,Ростислав Андреев,комментарии почитал. люди. конечно очень интересные. они смотрят передачу как шоу какое то,2020-05-27T15:41:31Z,0
11,Ugwpfz0EwH13EQPXRex4AaABAg,tp_9uOjSj-c,Навальный LIVE,0,0,Mike Noah,Профицит бюджета за счет курса $,2020-05-27T13:21:07Z,0
12,UgzDmh_ztaYVYWPAN3J4AaABAg,tp_9uOjSj-c,Навальный LIVE,0,0,Петр Селютин,"так. ты не понимаешь что такое глушение скважин. глушение скважины это закачка например соленой воды  . обычно производится перед ремонтом скважины для подъема подъземного оборудования. тк при ремонте необходима разгерметизация.
в других случаях применяется консервация. закрывают скважину и все. управление дебитом осуществляется изменением добычи (колличество часов работы и отдыха скважины)",2020-05-27T06:03:53Z,0
13,UgwjwGxpFUjJikmFdcJ4AaABAg,tp_9uOjSj-c,Навальный LIVE,0,0,Юрий Паников,"Юрий Паников
1 месяц назад
7:40 А что граждане не платили налоги государству? У нас около 65% доходов консолидированного бюджета, налоги в прямом или косвенном виде с физических лиц.

Nikolay Mrochkovskiy
Ответ открыт по ссылке
Nikolay Mrochkovskiy
40 минут назад
в 2019 году доходы консолидированного бюджета 39 трлн 
из них НФДЛ - 3,96 трлн = 10%
Взносы в фонды - 7,89 трлн = 20%
откуда цифра 65%?

Владимир, дайте пожалуйста ссылку на первоисточник данных по госбюджету",2020-05-27T05:05:25Z,0
14,UgybOaYNtKQp1FrU8Td4AaABAg,tp_9uOjSj-c,Навальный LIVE,0,0,LUNAHOD,"КОМАНДЕ НАВАЛЬНОГО,  ЕСТЬ ОДНА БОЛЬШАЯ ПРОБЛЕМА, КОТОРАЯ КАСАЕТСЯ И КОСНЁТСЯ МНОГИХ ЛЮДЕЙ ПОТЕРЯВШИХ РАБОТУ.     ДОЛЖНИКИ ПО КРЕДИТАМ  НЕ МОГУТ УСТРОИТСЯ НА РАБОТУ ИЗ - ЗА ТОГО, ЧТО БАЗА ДАННЫХ СУДЕБНЫХ ПРИСТАВОВ НАХОДИТСЯ В ОТКРЫТОМ ДОСТУПЕ,  РАБОТОДАТЕЛИ НЕ БЕРУТ ДОЛЖНИКОВ,  ОТКАЗЫВАЮТ ПОД РАЗНЫМИ ПРЕДЛОГАМИ.           ПОДАВАЙТЕ  В СУД НА РАБОТОДАТЕЛЯ ,  ГОВОРЯТ СУДЕБНЫЕ ПРИСТАВЫ.      АБСУРД,  СУДИТСЯ С РАБОТОДАТЕЛЕМ.       ПОЛУЧАЕТСЯ ЗАМКНУТЫЙ КРУГ,   ЗАСТАВЛЯЮТ ПЛАТИТЬ,  А НА РАБОТУ НЕ БЕРУТ.
БОЛЬШАЯ ПРОСЬБА ПОДНЯТЬ ЭТУ ТЕМУ",2020-05-27T03:48:40Z,0
15,UgyklVjVvDLUXdVpmoh4AaABAg,tp_9uOjSj-c,Навальный LIVE,0,0,Борис Лазарев,"Как тот такой же, так и этот, понимаешь. Борьба нанайских мальчиков. За утрату доверия!",2020-05-27T02:07:18Z,0
16,Ugw0QqugYq2Uon9RywR4AaABAg,tp_9uOjSj-c,Навальный LIVE,0,0,U96,Кому ты тут Заливаешь ? В каком месте Роснефть принадлежит государству  посмотри сколько русских в совете директоров ???,2020-05-26T18:09:18Z,0
17,Ugxm8k8PauDueTaOYz54AaABAg,tp_9uOjSj-c,Навальный LIVE,0,0,Andy F,"Владимир, так давайте менять власть, будете министром экономики, согласны? )",2020-05-26T17:29:11Z,0
18,Ugywghuz5bmwwPLsTAd4AaABAg,tp_9uOjSj-c,Навальный LIVE,0,1,Мастер Бластер,"Чувак реально хорошо себя рекламит, реальными знаниями. Такого министра можно и нужно поддержать. Навального в премьеры.",2020-05-26T17:15:17Z,0
19,Ugz-D53RpetGmLLTfv94AaABAg,tp_9uOjSj-c,Навальный LIVE,0,0,Игорь К,Милов ты нудный(  Повторяешь одно и то же по 10 раз. Натягиваешь время? Диз.,2020-05-26T16:19:08Z,0
20,Ugx4CvXsRf5GUhzbLK14AaABAg,tp_9uOjSj-c,Навальный LIVE,0,0,Вадим Брагин,ты несёшь краснословную дичь -смени темы лучше обсирать получается,2020-05-26T15:26:50Z,0
21,Ugzd4C5NCm1X_43IFu14AaABAg,tp_9uOjSj-c,Навальный LIVE,0,0,Игорь Гаврилов,самое интересное что после этого все переболевшие заболеют раком крови,2020-05-26T14:58:23Z,0
