,id,videoId,authorVideoName,totalReplyCount,likeCount,authorDisplayName,textDisplay,publishedAt,isReply
0,UgzVZO3z0xBwlc_KAvd4AaABAg,u7rbyvhNbdQ,Телеканал Дождь,0,0,Kama&Lin: Stories,Кто желает ему скорейшего выздоравления  лично я ненавижу правительство испортили такую хорошую страну и я не желаю ему выздоравливать,2020-06-30T02:30:51Z,0
1,Ugwnart6qrmtE5jyNxd4AaABAg,u7rbyvhNbdQ,Телеканал Дождь,1,0,Fanit Vagizov,Законен ли карантин без ввода чрезвычайного положения по Конституции?,2020-06-17T16:17:39Z,0
2,Ugwnart6qrmtE5jyNxd4AaABAg.9A0EP5Myl_U9A0F-7m5bWW,u7rbyvhNbdQ,Телеканал Дождь,0,0,Fanit Vagizov,"30лет власть копит нацфонд на черный день,коему 30 лет.",2020-06-17T16:22:50Z,1
3,UgwW9H7iCYDs0XX6VSx4AaABAg,u7rbyvhNbdQ,Телеканал Дождь,0,0,Владислав Чилаев,Он на много не способен.,2020-06-01T10:57:47Z,0
4,UgwMuGXG9i9CqEQytJh4AaABAg,u7rbyvhNbdQ,Телеканал Дождь,0,0,Слава В,"Канал для алкашей, которым все должны и западных хозяев))",2020-05-25T19:55:29Z,0
5,UgzLE4Hi0Ex9Ku8yqgB4AaABAg,u7rbyvhNbdQ,Телеканал Дождь,0,0,Слава В,"А чё за сраный канал такой, что ни одного дизлайка... а, так их просто поставить нельзя)))) сильный ход))) для даунов с iq 70 - ваша аудитория. 
P.S. ведущий ну уж очень отвратительный",2020-05-25T19:54:05Z,0
6,UgwROTF4HKVdkGjeKTd4AaABAg,u7rbyvhNbdQ,Телеканал Дождь,0,0,000 010,В таких условиях нехрен бизнесом заниматься.,2020-05-18T12:47:24Z,0
7,UgxKTf_SR7q42ZITzB14AaABAg,u7rbyvhNbdQ,Телеканал Дождь,0,0,CTAC,"~ ""торжества и похороны решили совместить""...",2020-05-18T09:15:22Z,0
8,UgxX_R4o4Jt3epXEWQx4AaABAg,u7rbyvhNbdQ,Телеканал Дождь,0,0,Andrey B.,С миллионом подписчиков вас!!!,2020-05-17T17:34:30Z,0
9,UgzqQ-DuwJkUaQ0Fj8F4AaABAg,u7rbyvhNbdQ,Телеканал Дождь,0,0,Светлана Никулица,Закон об усыновлении гоев Израилем-этим все сказано о Мишустине,2020-05-17T17:21:34Z,0
10,UgyMrndKKuOiNedAGBl4AaABAg,u7rbyvhNbdQ,Телеканал Дождь,0,0,FarmLand,зачем вы желаете здоровья Мишустину? вы идиоты?,2020-05-17T14:14:06Z,0
11,UgzLCq2E8b0bgbaHsTh4AaABAg,u7rbyvhNbdQ,Телеканал Дождь,0,0,Влад Гребцов,"Хоть бы мишустик сдох , хоть одной мразотаю меньше будет.",2020-05-17T13:59:09Z,0
12,Ugw6dM31umomduM1Tch4AaABAg,u7rbyvhNbdQ,Телеканал Дождь,0,0,Радмила Фокс,Оштрафовать!!!!!,2020-05-17T13:44:14Z,0
13,Ugx7SB0SIHQZCRfMsi14AaABAg,u7rbyvhNbdQ,Телеканал Дождь,0,0,Fedialion,Путин убивает нас..,2020-05-17T12:48:05Z,0
14,UgzsEa8Sriv9-Pj_ekh4AaABAg,u7rbyvhNbdQ,Телеканал Дождь,0,0,ЧесТный обзор,Собянина любят так же как и Путина... если это можно назвать любовью,2020-05-17T12:09:21Z,0
15,UgwbIUTiLiWcr6HjQet4AaABAg,u7rbyvhNbdQ,Телеканал Дождь,0,0,Илья Петровский,кто там новые то в правительстве ? те же бездарные люди,2020-05-17T11:49:40Z,0
16,UgxY5BFudlk-KYySVpB4AaABAg,u7rbyvhNbdQ,Телеканал Дождь,0,0,Svetoslava Greedneva,Они там все нездоровы 😷,2020-05-16T15:33:39Z,0
17,Ugxa6BQ8ggVu4zSTuY54AaABAg,u7rbyvhNbdQ,Телеканал Дождь,0,0,Viktor Bauer,"Опять Фиш.....Манн, а где же Иванов, Петров, Сидоров?",2020-05-13T14:19:46Z,0
18,Ugx-qpWm2rtPSihGWmt4AaABAg,u7rbyvhNbdQ,Телеканал Дождь,0,0,Олег Гаджиев,Журналисты  хватит  за 30  серебрянников продавать дьяволу честь и совесть.,2020-05-12T17:27:21Z,0
19,UgyB3XP7ox60mGUpKqt4AaABAg,u7rbyvhNbdQ,Телеканал Дождь,0,0,Леонид Луцков,"Дождь с прошедшим днем рождения! А вот что за ""специалисты"" о которых вы говорите которые всё время что-то называют? Вы покажите хоть кого-нибудь из них, а то все прячите)",2020-05-12T12:36:29Z,0
20,UgwkNxXaqOKCCn1saDx4AaABAg,u7rbyvhNbdQ,Телеканал Дождь,0,0,Car Crash Compilation,надеюсь сдохнет,2020-05-12T04:27:42Z,0
21,UgwaCiYnXCw2AfZnmS94AaABAg,u7rbyvhNbdQ,Телеканал Дождь,0,0,Истребитель Вампиров,"Мишуштину здоровья, тебе автор паникер хренов язык оторвать.",2020-05-11T05:49:40Z,0
22,UgzNntSf5S1l07OXorh4AaABAg,u7rbyvhNbdQ,Телеканал Дождь,0,1,Нина Свиридова,Уверен б,2020-05-10T22:06:57Z,0
23,Ugy2Lq_mWif6541-LFB4AaABAg,u7rbyvhNbdQ,Телеканал Дождь,0,0,Vladimir,"эти демоны отмерили себе по ходу пару веков пожить ) ну пить за их здоровье не стоит , им не долго осталось )",2020-05-10T19:27:42Z,0
24,Ugx_Yb3_3TV5J_0FCr94AaABAg,u7rbyvhNbdQ,Телеканал Дождь,0,0,Андрей Ивлеев,Вы не канал дождь! Вы золотой дождь! Провокаторы ебучии,2020-05-10T19:20:18Z,0
25,UgxnJI84atJHwk6YdWt4AaABAg,u7rbyvhNbdQ,Телеканал Дождь,0,0,John Chernykl,путина  и  его  банду    НА  КОЛ    вместе  с  их  детьми  и  внуками .,2020-05-10T17:24:06Z,0
26,UgzAo1jd94QB9XP5P4h4AaABAg,u7rbyvhNbdQ,Телеканал Дождь,0,0,Евгений Клеин,😂 клоунада дешевых актёров в правительстве)))) я худею))),2020-05-10T12:02:03Z,0
27,UgxaPesw8pDL38u5EaV4AaABAg,u7rbyvhNbdQ,Телеканал Дождь,0,0,Мария Дерябина,"Совсем людей за тупых считают и не стесняются, заболел он видите ли, так и поверили ну, сдох бы лучше!",2020-05-10T09:38:29Z,0
28,UgzNVgNOiflq-qGXluF4AaABAg,u7rbyvhNbdQ,Телеканал Дождь,0,1,Алексей Викторович,ОДНО ТОЛЬКО ТО ЧТО ТАКАЯ БЛЕВОТИНА КАК ДОЖДЬ ВЫГОРАЖИВАЕТ УБЛЮДКА И ВРАГА НАРОДА МИШУСТИНА УЖЕ  КОСВЕННО ДОКАЗЫВАЕТ ЧЕМ ЭТА МРАЗОТИНА ЗАНИМАЛАСЬ В ПРАВИТЕЛЬСТВЕ И ЗА ЧТО БЫЛА ВЫШВЫРНУТА ИЗ НЕГО !!!!!,2020-05-09T19:20:57Z,0
29,UgzqeigHMd8vup_GCw54AaABAg,u7rbyvhNbdQ,Телеканал Дождь,0,0,Funny Cat,"Мишцстин до ""болезни"" выглядел хуже, чем в момент, когда говорил путе что заболел и едет а больничку. Похоже что кто-то звиздит...",2020-05-09T18:45:20Z,0
30,UgyWLbSx16US6Vnes954AaABAg,u7rbyvhNbdQ,Телеканал Дождь,0,0,Kirill Tkachenko,Мишустин болен??? Это фэйк игра...,2020-05-09T11:01:29Z,0
31,UgxyuZ0b-Iost9_N2Lt4AaABAg,u7rbyvhNbdQ,Телеканал Дождь,0,0,Ромашка,цирк,2020-05-09T10:11:34Z,0
32,UgzciR1LihIMshTRbvN4AaABAg,u7rbyvhNbdQ,Телеканал Дождь,0,0,Александр Соколов,Почему на Дожде - все такие ущебрные? и почему у вас подписчити - одни сплошные деб.лы?,2020-05-09T09:22:54Z,0
33,UgzRMe6eqgHviKp6Hh54AaABAg,u7rbyvhNbdQ,Телеканал Дождь,0,0,kasemha,"Дайте Путину корону, он ее заслужил!",2020-05-09T07:58:54Z,0
34,UgwZMKCOcLDnqAgVHgR4AaABAg,u7rbyvhNbdQ,Телеканал Дождь,0,0,Jenna Gais,"Сейчас я уже не думаю, что он сделал ошибку.",2020-05-09T05:51:43Z,0
35,UgzkupbZ094BO-4CyhB4AaABAg,u7rbyvhNbdQ,Телеканал Дождь,0,1,Галина Алёхина,Ведущего специально подбирали? Петрушка.,2020-05-09T05:10:49Z,0
36,UgzVZmvT6sdq5v4qn6B4AaABAg,u7rbyvhNbdQ,Телеканал Дождь,0,0,Марий Мэй,Надеюсь он успел заразить вирусом все правительство.....,2020-05-09T04:45:39Z,0
37,UgyyKtaJtkUp5Dn-an14AaABAg,u7rbyvhNbdQ,Телеканал Дождь,0,0,Фарида Антонова,✋,2020-05-09T04:12:27Z,0
38,UgzZy3U5giKZThK4omt4AaABAg,u7rbyvhNbdQ,Телеканал Дождь,0,0,dodoha,"Я когда не хотел идти в школу,тоже говорил что я болен.",2020-05-09T02:34:20Z,0
39,UgwRVo85Z8Sj2FdUWpp4AaABAg,u7rbyvhNbdQ,Телеканал Дождь,0,1,Саша Мухин,"Как увидел этово питерсково окурка, так сразу ушол с канала....",2020-05-08T23:02:13Z,0
40,UgwUKDyAjD-2c4MJUzh4AaABAg,u7rbyvhNbdQ,Телеканал Дождь,0,0,Михаил Поташев,Хорошая шутка. Для того чтобы потерять дееспособное правительство оно должно быть=),2020-05-08T21:12:56Z,0
41,Ugy56Za3iqBT_ViNlz54AaABAg,u7rbyvhNbdQ,Телеканал Дождь,0,5,Елена Провоторова,"Я не верю, что он заболел, здоровым выглядит.",2020-05-08T20:10:25Z,0
42,Ugxt0WBy4WSQPf7pGpp4AaABAg,u7rbyvhNbdQ,Телеканал Дождь,0,0,Елена Галяутдинова,"Нстохерело слушать чушь.
У всего народа есть одно только желание.....",2020-05-08T18:53:52Z,0
43,Ugw7KDTPaTcLpuWCHBR4AaABAg,u7rbyvhNbdQ,Телеканал Дождь,0,0,Ekaterina Zaboronok,"577 млн пожилым? в смысле? они же и так пенсию получают. Какого черта, бизнесу помогут в микрозаймах, а не деньгами? Нафиг нам ваши микрозаймы, кредиты. Помогите трудоспособным налогоплательщикам, предпринимателям, создающим за вас, чиновников, рабочие места, а не посылайте их за очередным кредитом, микрозаймам и реструктуризацией долгов. Мы свои долги сами в состоянии посчитать, не волнуйтесь. ДАЙТЕ ДЕНЕГ БИЗНЕСУ!",2020-05-08T18:29:14Z,0
44,UgzclXUAa9Isab8yFrJ4AaABAg,u7rbyvhNbdQ,Телеканал Дождь,0,0,Людмила Лопуха,"А вы не забыли для чего был придуман Коронааирус??
Это главный шаг глубинного правительства дл внедрения через вакцинацию чипирование и затем "" зачистку населения!!!
По их плану через 45 дней самоизоляции никто из граждан -физлицне выйдет  из этого! Все будут признаны больными,недееспособными,умершими ,либо военнопленными!!!
А таковой статус даст возможность лишить население недвижимости,выгнаит из жилья и депортировать в пустыню Гоби,где ждут отстроенные города китайцами для россиян!!!
 На сайте""Правосудия нет: есть Гос.акт номер один!!! Вся информация о правде по СССР И РОССИИ!!!",2020-05-08T17:18:07Z,0
45,UgyU83oqWh4Fo61TF4x4AaABAg,u7rbyvhNbdQ,Телеканал Дождь,0,0,Людмила Лопуха,Вообще-то Мишустин не бедный! Он самый богатый чел.в правительстве!! Он является Римским Консулом в РФ!!!,2020-05-08T17:07:30Z,0
46,UgzNy2sc_SF6tLM9A2h4AaABAg,u7rbyvhNbdQ,Телеканал Дождь,0,10,Людмила Лопуха,"БОЛЕЗНЬ МИШУСТИНА- СИМУЛЯЦИЯ!!!
СИМУЛЯНТОВ БЪЮТ ПО ПЯТКАМ ПАЛКАМИ!!!",2020-05-08T16:59:03Z,0
47,UgxBzSYT12WtOJ0ybId4AaABAg,u7rbyvhNbdQ,Телеканал Дождь,0,0,O Ali Dr,Не в больницу а в семи звездочный отель. Он отправился,2020-05-08T15:31:11Z,0
48,Ugy6VGHOLo_t61JP-_l4AaABAg,u7rbyvhNbdQ,Телеканал Дождь,0,0,Ирина Ермилова,"Комедийные артисты, Мишустин просто жжёт. Интересно просто, господин Мишустин, при вашей полной изоляции, как вам удалось заболеть!? Видимо маски с перчатками не одевали, Берегите себя господин Мишустин....",2020-05-08T14:51:17Z,0
49,UgyUsSCrt03cozJH-SJ4AaABAg,u7rbyvhNbdQ,Телеканал Дождь,0,0,Анатолий Федоскин,ЛОХОТРОН НИЯ  !!!   А ДЕНЬГИ ЗА ГРАНИЦУ УЖЕ ВСЕ ПЕРЕВЁЛ ???,2020-05-08T14:43:29Z,0
50,UgzlA26YV3l2WDXcTMd4AaABAg,u7rbyvhNbdQ,Телеканал Дождь,0,0,Maxim Bonmarche,"Дурик, они заражаются в полетах на выходных на свои дачи в Италии и Франции и тд",2020-05-08T14:29:56Z,0
