,id,videoId,authorVideoName,totalReplyCount,likeCount,authorDisplayName,textDisplay,publishedAt,isReply
0,Ugw2IuaTn9XoRANmT1V4AaABAg,uQuDzdvXXsU,Максим Кац,31,234,Максим Кац,"Мы с Варламовым 8 лет делаем НКО Городские Проекты. Организация создаёт общественный запрос на правильные города, участвует в выборах и сохраняет независимость, так как существует только на пожертвования. Если подпишитесь на ежемесячные платежи — будет круто :) http://donate.city4people.ru",2020-05-20T14:04:47Z,0
1,UgwC9yXNCCrM4GaIQx14AaABAg,uQuDzdvXXsU,Максим Кац,0,0,Александра Козлова,"Было бы круто, если бы в общественном транспорте были отдельные места для перевозки великов и самокатов. А то неудобно ездить с великом на дальние расстояния. Неудобно заходить в метро и автобус и толкаться с людьми. А доехать от дома до работы на велосипеде - нереально далеко для многих москвичей.",2020-06-30T00:12:19Z,0
2,UgzQvVz9ImyhXO8Eual4AaABAg,uQuDzdvXXsU,Максим Кац,0,0,Gaspard the flame cloude,"А что делать в Сибири? В летний период ещё норм,но вот в остальное время....",2020-06-28T07:27:18Z,0
3,Ugw4wDvl5u7pp-JdsrF4AaABAg,uQuDzdvXXsU,Максим Кац,0,0,Тимур Сыдыков,+,2020-06-21T09:35:23Z,0
4,Ugy2WPhxtTeBXpUu8pd4AaABAg,uQuDzdvXXsU,Максим Кац,0,0,Dmitry Egorov,"Думаю, будущее за электросамокатами с зарядными станциями по всему городу и в каждом троллейбусе, трамвае и поезде метро.",2020-06-19T21:59:07Z,0
5,UgxNGZaROLGioJPToLR4AaABAg,uQuDzdvXXsU,Максим Кац,0,0,Angry Mum,"Мне кажется, что для Москвы это плохая идея. У половины из тех, кто готов приезжать на работу потным и грязным, наверняка не места, где хранить велосипед. Да и такое впечатление, что сами ""Городские проекты"" рассчитаны на тех, кто побогаче.",2020-06-14T20:09:11Z,0
6,Ugwt7egiHILM-BufTUd4AaABAg,uQuDzdvXXsU,Максим Кац,0,0,Жыдкий Клоун,"Больную маму в больницу ты тоже на велосипеде покатишь? А на встречи с бизнес партнёрами на противоположном краю Москвы будешь уже не по полтора а по три часа тошнить 30 км/ч и потом столько же обратно, забирая это время у сна, потому что 25-й час не завезли? Люди и так живут на бегу, не замечая болезней и смертей, а ты ещё проблемы создаёшь ради того чтобы самому пожить в уютном мире. Да людям давно насрать на любой уют и даже на безопасность, пока живой все мысли об одной работе.",2020-06-08T09:12:20Z,0
7,UgyHqhSWadkagySQVQ54AaABAg,uQuDzdvXXsU,Максим Кац,0,0,Unnamed Unnamed,Для трендов,2020-06-05T06:52:42Z,0
8,UgwPftxCCze-Yee_FRt4AaABAg,uQuDzdvXXsU,Максим Кац,0,0,Unnamed Unnamed,"Надеюсь, этот канал будет в трендах...",2020-06-05T06:51:58Z,0
9,Ugyq2TLWWYpJaySznel4AaABAg,uQuDzdvXXsU,Максим Кац,0,0,Tanya Neumann,"тем временем в СПб сократили количество трамваев, увеличив тем самым интервал движения.",2020-06-04T17:07:42Z,0
10,Ugxy4YqAb7ygCn_Xvwp4AaABAg,uQuDzdvXXsU,Максим Кац,0,0,Daroslav Skiba,Поддерживаю,2020-06-03T23:02:53Z,0
11,UgxSEO95nXJS-TwwOCR4AaABAg,uQuDzdvXXsU,Максим Кац,0,0,igor0699,"10:33, а в GTA 5 наоборот очень удобно на них приземляться :3.",2020-06-03T17:38:13Z,0
12,UgxKXDK1DjbpWWgMHmF4AaABAg,uQuDzdvXXsU,Максим Кац,0,0,postoronny,Это лобби велопроизводителей.,2020-06-03T17:07:33Z,0
13,UgwWG9RDseXorCCoQAp4AaABAg,uQuDzdvXXsU,Максим Кац,0,0,Андрей Светлаков,Зимой ты тоже на вылосыпеде на работу ездить будешь.,2020-06-03T10:30:36Z,0
14,UgxYUhI5QwlOzKFwaoV4AaABAg,uQuDzdvXXsU,Максим Кац,0,0,Easy Frag,"Как всегда, в комментах к ролику о урбанистике набежала толпа автомобилистов со всеми забытого колхоза с пазиками. Поймите, в вашей дыре НИКОГДА этого не произойдет, успокойтесь-выдохните. У вас и через 300 лет ничего не измениться. Речь идет о более развитых городах России: Москва, Екатеринбург, Казань, Питер.",2020-05-30T04:31:10Z,0
15,Ugye9WakqFQelwkofSN4AaABAg,uQuDzdvXXsU,Максим Кац,0,0,Виталий Ситников,"Сравнили хрен с пальцем. У них зимой температура почти всегда выше нуля и дороги в большинстве случаев чистятся.
Посмотрю я на велосипедистов в -20, или как они будут тащить своего железного коня через сугробы.
Или вы предлагаете пересесть на общественный транспорт зимой? Если так, то идите в известном направлении с такими инициативами.
Пусть лучше наши ничего не трогают, а то, как обычно, сотворят херню.",2020-05-29T23:34:51Z,0
16,UgyKdktgWUzVHPxJPhp4AaABAg,uQuDzdvXXsU,Максим Кац,0,0,sergey 7,В совке тротуары были никчёмные.,2020-05-29T17:14:50Z,0
17,UgyT5-Xe6oh0CvWiN7V4AaABAg,uQuDzdvXXsU,Максим Кац,0,0,Vladimir Petrov,Позитивный   молодой  человек.   Надо  срочно  подписаться.,2020-05-27T13:54:59Z,0
18,UgyRxlu2djZ2xnqD-1x4AaABAg,uQuDzdvXXsU,Максим Кац,0,0,Alex Foxter,"Часто путаетесь в названиях латины-американских городов 
БоготА, на последний слог ударение
и еще смешно у Вас звучит Гуякиль, там тоже на последний слог удар",2020-05-27T12:38:04Z,0
19,Ugw_XgS2F4-EeP0JODl4AaABAg,uQuDzdvXXsU,Максим Кац,0,0,Григорий Загузов,"Тот случай, когда с ограничением в 30 км/ч будешь и на велике чувствовать себя злостным нарушителем скоростного режима😼",2020-05-27T08:38:00Z,0
20,Ugzzmay0ocKuQj-IRqZ4AaABAg,uQuDzdvXXsU,Максим Кац,0,0,Valen0063499,"обожаю урбанистов, которые хотят запретить автомобили. ну катайтесь в пазиках, набитых по 80 человек, ибо перевозчик не купит новый маршрут никогда, а государство его не поставит само, ибо не выгодно. катайтесь на велосипедах и гуляйте по закрытым улицам рабочего центра города в -35 в сибири, где такая погода с ноября по март. Есть города, в которых невозможно сделать такое. расширять улицы. зачем ? нужно решать вопросы не как проехать или пройти, а зачем человеку туда нужно ? и как можно сделать объезд, как можно сократить путь. В красноярске очень хорошо разгрузили коммунальный мост, построив четвертый. считаю - отличная идея. можно построить еще 2 штуки и разгрузить большое количество дорог только потому, что людям не нужно ездить петлями, создавая заторы из-за этого на и без того узких улицах. какие дороги сокращать ? 2 автомобильные полосы, где еще есть 1 автобусная ? не замечаю я снижения пробок, когда на одной полосе происходит авария.",2020-05-27T07:40:48Z,0
21,UgztZKOcAKtRQz5hnU54AaABAg,uQuDzdvXXsU,Максим Кац,0,0,Mikk Nikls,"Так Илон Маск ведь уже придумал идеальное решение - подземные тоннели в городах и системы гиперлупа между городами. И перебирая всевозможные варианты, что бы сделать лучше - всё тщетно, это действительно идеальная стратегия передвижения людей. Хотя можно и еще аналог придумать - дороги для автопилотируемых такси, которые могут ездить несравненно быстро, безаварийно, без светофоров, знаков и прочего хлама.",2020-05-26T21:02:05Z,0
22,UgxI5vXAjlAFeP8Ubrl4AaABAg,uQuDzdvXXsU,Максим Кац,0,1,PartiallyGeorge,"FYI: ""Богота"" имеет ударение на последнем слоге.",2020-05-26T19:25:56Z,0
23,UgzuDWbqqL8cd0x2Y5t4AaABAg,uQuDzdvXXsU,Максим Кац,0,0,aloneshadow87,Канал в топы!,2020-05-26T16:19:47Z,0
24,UgzsTJQgphOM39xR7s14AaABAg,uQuDzdvXXsU,Максим Кац,0,0,rainbow aw,в некоторых частях России такой метод передвижения по городу невозможен из-за климата.,2020-05-26T08:49:49Z,0
25,Ugwp4g1-gOnzWPgAszN4AaABAg,uQuDzdvXXsU,Максим Кац,0,0,Виталя болгов,Дорогу велосипедам .,2020-05-26T08:46:07Z,0
26,UgzUZggDmZEjvsFqevV4AaABAg,uQuDzdvXXsU,Максим Кац,0,0,Мадияр Алдибеков,"живу в одном из самых холодных городов в мире Астане велодорожки есть, активно строились в этом году почему то всё заглохло",2020-05-26T07:50:14Z,0
27,Ugxr6zqhV3UQ3fG_Z454AaABAg,uQuDzdvXXsU,Максим Кац,1,1,Vasiliy Grachev,https://youtu.be/LJYXy5-noVA,2020-05-25T20:13:48Z,0
28,Ugxr6zqhV3UQ3fG_Z454AaABAg.995R8Y8z3iG995REWc4TmL,uQuDzdvXXsU,Максим Кац,0,0,Vasiliy Grachev,вот где вело-дорожки бы...,2020-05-25T20:14:37Z,1
29,UgzIup48XJE3bUhFWMl4AaABAg,uQuDzdvXXsU,Максим Кац,0,0,Вадим клим,"30 км/час канеш загнули
на веле по прямой можно и быстрее топить)",2020-05-25T19:27:00Z,0
30,Ugw7eGQsgQBFbGwgbTd4AaABAg,uQuDzdvXXsU,Максим Кац,0,0,Victorem Winbringer,Больше удаленной работы там где это возможно вот что нужно. Большинство куда ездят это с работы и на работу.,2020-05-25T19:14:45Z,0
31,UgwN637-l_A-Hep3Xih4AaABAg,uQuDzdvXXsU,Максим Кац,0,1,Игорь Торопов,велодорожки не тренд уже это прошлое. Электросамокаты тренд,2020-05-25T12:55:28Z,0
32,UgwJHPTrpPdvBlCUo_d4AaABAg,uQuDzdvXXsU,Максим Кац,0,0,Eugene Chebotarev,"Где-то 2 года назад в Сантьяго-де-Чили улицу Bandera (флаг, а не про Степана) переделали в пешеходку. ИМХО сделали из не самых лучших материалов, но получилось круто. Также делали Cyclovia для велосипедов с маршрутом по очень крупным улицам.",2020-05-25T01:54:46Z,0
33,Ugxn7TWw4kqwoh0zsXN4AaABAg,uQuDzdvXXsU,Максим Кац,0,0,AuroraSt,"Велодорожки и тротуары? Юго-восточная хорда в Москве! Строится вовсю без остановок, несмотря ни на какие пандемии... Мостовой переход пойдет прямо по радиоактивному могильнику возле Московского завода полиметаллов на Каширке! На противоположном берегу Москвы-реки раскурочили прекрасный зеленый район Курьяново, выдрали там ВСЕ деревья подчистую, порушили детские площадки, в нескольких метрах от домов и детских садов! Смотрите фильм Пивоварова ""Московский Шиес"", репортаж СотаВижн ПРОТЕСТ В МОСКВЕ против строительства ЮВХ. Радиоактивные и химически чрезвычайно опасные отходы находятся как на территории самого завода полиметаллов, на глубинах от 1 до 15 метров, так и вокруг него, на склонах к Москва-реке, на дне Москва-реки и на склоне к железной дороге и микрорайону Сабурово, в котором, на расстоянии от 150 метров от опасного места, проживает более 10 тысяч жителей. 
Строительство на этом месте представляет прямую угрозу здоровью и благополучию жителей всей Москвы. Но ни Вы, Максим, ни Илья Варламов, как создатели Городских проектов, так и не высказали своего отношения к этой чудовищной стройке...",2020-05-24T20:42:31Z,0
34,Ugx7YNrdYPz7fvWcsGJ4AaABAg,uQuDzdvXXsU,Максим Кац,0,0,Kostja G,"Всё норм, только котана  заднем  плане  было плохо видно...",2020-05-24T19:22:44Z,0
35,UgzY3Q1RhyCKC3GnqNF4AaABAg,uQuDzdvXXsU,Максим Кац,0,0,HimSide,"У меня есть электросамокат и если бы сделали велодорожки, я был бы рад, а пока езжу убивая свой транспорт.",2020-05-24T17:30:20Z,0
36,UgxBYC4nP24wB-aev3J4AaABAg,uQuDzdvXXsU,Максим Кац,0,0,George Neformal,"У меня город на гористой местности, поэтому велосипедом пользоваться не удобно :(",2020-05-24T10:09:25Z,0
37,UgwVL_quLgI1kZwuVrV4AaABAg,uQuDzdvXXsU,Максим Кац,0,0,Meegoo Love,"Очень круто когда ты молод ходить пешком и на велосипеде, а пожилым людям как, инвалидам(не колясочникам)",2020-05-24T08:08:44Z,0
38,UgwdRP2tVr32c1386dR4AaABAg,uQuDzdvXXsU,Максим Кац,0,0,Алексей Че,"Всё здорово, в нормальных странах всё для людей, а у нас людоеды построят новые заборы.",2020-05-23T22:36:28Z,0
39,UgzGg1MV06FJSyGKwJl4AaABAg,uQuDzdvXXsU,Максим Кац,0,0,andriyt23,"Ага, щас. Велодорожки им. А может вам ещё выборы конкурентные сделать, реальный федерализм, права человека, суды независимые, защиту прав собственности? Не злите нацлидера, а то так и до набутылизации можно договориться на ютубах этих госдеповских.",2020-05-23T19:30:58Z,0
40,UgyfmPyVC7p0Jmfre1h4AaABAg,uQuDzdvXXsU,Максим Кац,0,0,Evgeniy nyaknyak,"насмотрятся максима и взьебут налоги на машины, цены на бенз, страховки и поотбирают тазики у народа. и придется либо с бичами в трамвае, либо в -5 по снегодождю хуярить на педалях.",2020-05-23T03:46:54Z,0
41,UgxvU8FEt7FYBgVf1H54AaABAg,uQuDzdvXXsU,Максим Кац,0,1,Vyacheslav Bezfamilnih,"Представляю, встаю утром зимой - 20, сажусь на велосипед и еду 17 км до работы :) в метель и думаю ""все ж для людей""",2020-05-23T03:45:38Z,0
42,Ugwc2KC3V5D3q4MQrz54AaABAg,uQuDzdvXXsU,Максим Кац,0,0,Андрей Др,"Это было последнее видео, которое я посмотрел на твоем канале. Хипстер сраный. Чтобы ездить 30 км/ч автомобиль не нужен. Электроскутера хватит. Хотешь ""доступной среды"", топай в лес. Ни один порш между елок быстрее пешехода не поедет",2020-05-23T02:25:37Z,0
43,UgxiupgEaVzt4pfaxJd4AaABAg,uQuDzdvXXsU,Максим Кац,0,0,DartAlexus X,"Отгораживали бы тротуары от автомобильных дорог зелеными насаждениями , я бы с удовольствием дошел до дома с работы 13 км если бы не пыль и выхлопные газы машин.",2020-05-22T21:51:21Z,0
44,Ugy9A59NBi9Z4jMLtHN4AaABAg,uQuDzdvXXsU,Максим Кац,0,0,Machiko Sakurano,"состояние дорог- это хоть и печальный момент, но он вносит свой вклад",2020-05-22T19:51:54Z,0
45,UgwntveuA9uLTxM2MJV4AaABAg,uQuDzdvXXsU,Максим Кац,0,0,Alexey Knyazev,"Подстригись, не в обиду",2020-05-22T19:22:12Z,0
46,Ugy2p2X5zBNBBVZNilF4AaABAg,uQuDzdvXXsU,Максим Кац,0,0,Marina Gerya,"Я очень надеюсь, что супружеская жизнь Максима будет включать в себя и родительство. Все же даже для людей с высоко организованным логическим мышлением решает личный опыт. Мне кажется, этот опыт должен будет много привнести в картину урбанистических решений.",2020-05-22T16:09:37Z,0
47,UgyDd0L6PUda679MyPF4AaABAg,uQuDzdvXXsU,Максим Кац,0,0,Фигвам Фигвам,Когда ты программист и тема с 1 или 2 условиями становится очевидной),2020-05-22T15:54:55Z,0
48,UgyjZMfm9eWuMbj-mjd4AaABAg,uQuDzdvXXsU,Максим Кац,0,0,Andrew Krasichkov,Велосипед это хорошо. Не Вы не учитываете климатические особенности. Ближайший климатический сосед - Канада. И там с ведодорогами не все так прекрасно как в теплых городах,2020-05-22T14:44:55Z,0
49,Ugy1C4NT2orSME0A3kh4AaABAg,uQuDzdvXXsU,Максим Кац,0,0,Zlata Chernis,"Разрешённая скорость очевидно находится в связи с расстояниями, которые надо покрывать.
Брюссельский столичный регион, площадь 161 км2. СПб -- площадь 1439 км2, Мск, сейчас -- 2561 км2. 
Я за ограничение скорости в центре, за максимальные выдавливание автомобилей оттуда. Но не надо распространять на всю площадь действительно крупных городов нормы страны, которая по площади целиком всего в 20 раз больше одного только Петербурга, и в 3 раза меньше ЛенОбласти.
И, да, на велосипеде по городу я перемещаюсь уже 10 лет, по дорогам.",2020-05-22T13:25:14Z,0
50,UgzHrFqnVE5MrcMt1B54AaABAg,uQuDzdvXXsU,Максим Кац,0,0,Данила Усков,"Глаза бы чуть менее серьёзнее и поживее, и было бы круто.",2020-05-22T12:57:06Z,0
51,UgwpYvsyT1yhw1VsmtF4AaABAg,uQuDzdvXXsU,Максим Кац,0,0,Elina Borodina,"Пару дней не заходила, а тут количество подписчиков удвоилось)))",2020-05-22T11:55:19Z,0
52,UgyxhPbWTjwNkesmrgN4AaABAg,uQuDzdvXXsU,Максим Кац,0,0,Антон Дихтярук,Коронавирус разработали производители велосипедов! Я раскрыл заговор!,2020-05-22T10:53:46Z,0
53,UgzbC9cEkCJyetJVwWF4AaABAg,uQuDzdvXXsU,Максим Кац,0,0,Иван Самойлов,"Оформил ежемесячный донат Городским Проектам. Надюсь, что наберем людей и филиал появится в нашем городке. Максим, спасибо за урбанистические новости!",2020-05-22T10:18:51Z,0
54,UgwC07KVoFaxYI_QDTJ4AaABAg,uQuDzdvXXsU,Максим Кац,0,0,android mMm,"чего никогда не поймут урбанисты(которые видимо не ездят на работу каждый день на другой конец города), что москва - гигантский сверхмегаполис, не сравнимый с европейскими, а также где ещё и половина работающих из подмосковья. Никто не ездит на машине для того чтобы проехать 2 километра. Так что на велосипеды никто не пересядет. И пересесть на общественный транспорт не получится. Нужно метро а оно также перегружено как и дороги. А сами дороги в москве отнюдь не достаточны. Город разделён рекой, железными дорогами, гигантскими парками(где можно только тоннель) и промзонами. Всё это порождает гигантские перепробеги, которые автобус не преодолеет потому что также ездит по тем же дорогам. И на велосипеде я сомневаюсь что вы будете ездить по грязи. Это нужно горный велосипед на котором измажешься в грязи. Так что как бы я ни ненавидел собяку, хорды - это главное что он сделает полезного для моей жизни.",2020-05-22T09:41:02Z,0
55,UgyGZBxRiAP-4MvZqIp4AaABAg,uQuDzdvXXsU,Максим Кац,0,0,VeryBoredGamer,"У нас к сожалению города меняются спилом деревьев и уничтожением ""городских цветов"".",2020-05-22T09:31:49Z,0
56,UgzLcPxnmCq3pvsqwSd4AaABAg,uQuDzdvXXsU,Максим Кац,0,0,Ярослав Бальченко,"Молодец, Макс",2020-05-22T09:19:48Z,0
57,Ugwl-FRBu5KTL7RoUNJ4AaABAg,uQuDzdvXXsU,Максим Кац,0,0,Оксана Гаджираджабова,"Максим,  очень здравые мысли! ПОДДЕРЖИВАЮ!!!!",2020-05-22T09:12:10Z,0
