,id,videoId,authorVideoName,totalReplyCount,likeCount,authorDisplayName,textDisplay,publishedAt,isReply
0,Ugw98OnhDKJUL3pXurV4AaABAg,un9SgZ5RsQ4,Навальный LIVE,18,166,Навальный LIVE,"Таймкоды: 
0:25 «ГдеДеньги?» снова в прямом эфире из студии 
5:11 Опрос: Поможет ли план Мишустина восстановлению экономики? 
5:43 Авария в Норильске: Россия в плену у олигархов 
18:18 О Светлане Радионовой, главе РосПриродНадзора и расследовании Навального 
28:03 План Мишустина: спасет ли он экономику? 
52:12 Милов отвечает на вопросы зрителей 
1:00:20 О безработице в России
1:02:04 Об экономических прогнозах Центра макроэкономического анализа Белоусова: нас ждут 90₽ за 1$
1:30:26 Что делать на голосовании по поправкам в Конституцию?",2020-06-11T15:35:13Z,0
1,UgxavT1xycjT3Ui7QQx4AaABAg,un9SgZ5RsQ4,Навальный LIVE,0,0,Pyotr Ryazan1956g,Ь,2020-07-02T16:54:39Z,0
2,Ugy75VoIVtnx5bbkbjN4AaABAg,un9SgZ5RsQ4,Навальный LIVE,0,0,Бин0м Ньют0на,"менты и судьи созданы охранять богатых, они не гос органы смотрите ЕГРЮЛ если ОГРН начинается с 2 - гос 1 - юр",2020-07-02T07:34:29Z,0
3,Ugy8FO7rMaS0B2cFfKN4AaABAg,un9SgZ5RsQ4,Навальный LIVE,0,1,Tatyana Cake Cream Norilsk,Красное это пульпа отходы от производства а не солярка и это годами сливалось в окружающую среду,2020-07-01T17:48:04Z,0
4,UgwNQtOL2kiIsvVl97d4AaABAg,un9SgZ5RsQ4,Навальный LIVE,0,0,Vladimir Platonenko,Два часа пездежа.,2020-07-01T09:39:55Z,0
5,UgyD5WO5zbGj70joIux4AaABAg,un9SgZ5RsQ4,Навальный LIVE,0,0,Alexx J,"""Есть ли у вас план, Мистер Фикс?"" 
""У меня мешок плана"".",2020-06-29T19:16:00Z,0
6,Ugzal5wWmOrBl6N2RTl4AaABAg,un9SgZ5RsQ4,Навальный LIVE,0,0,Дмитрий М,"Да нет никакого плана, будут ронять рубь и пугать аппозицию.",2020-06-29T12:56:18Z,0
7,UgyVe_sGk_hj5qHHqsZ4AaABAg,un9SgZ5RsQ4,Навальный LIVE,0,0,Василий Катцин,"Есть, люди новая нефть.",2020-06-28T22:29:29Z,0
8,UgwHSoD3HTVu0e1fed94AaABAg,un9SgZ5RsQ4,Навальный LIVE,0,0,Techniquesaur,"А нет Варианта подать на владельца комбината групповой иск? Тысяч так в 100 человек? Мол, пусть из кармана возмещает сам.",2020-06-28T14:38:21Z,0
9,UgxfqrlNn85vyfPI4VF4AaABAg,un9SgZ5RsQ4,Навальный LIVE,0,0,мега стар,"У нас сокращение добычи, остановлены месторождения уже о работавший не один десяток лет! Потом их не реанимируют! Сокращают бурение! И это недалеко от самотлора!",2020-06-28T10:33:00Z,0
10,UgxW9_tRUWXEJGf3b3V4AaABAg,un9SgZ5RsQ4,Навальный LIVE,0,0,000000000 11:11.000000,лол варламов без кудряшек,2020-06-27T19:57:02Z,0
11,UgzMVH_uYnztevuypgZ4AaABAg,un9SgZ5RsQ4,Навальный LIVE,0,0,Александр Еременко,да как эта курица Родионова вообще могла стать главой росприроднадзора ?,2020-06-27T18:09:01Z,0
12,UgwAvWgkA0D0mT8fy3V4AaABAg,un9SgZ5RsQ4,Навальный LIVE,0,0,Funtoochi,"Кто полицию заказывает, тот ее и танцует!",2020-06-27T14:18:37Z,0
13,Ugz3yj5o16EJij5GdDN4AaABAg,un9SgZ5RsQ4,Навальный LIVE,0,0,Полина Морозова,+,2020-06-27T12:38:13Z,0
14,UgzyTwexvCImQ_3c9fF4AaABAg,un9SgZ5RsQ4,Навальный LIVE,0,0,Olga Mir,Закрыты ВСЕ НОСОЧНО-ЧУЛОЧНЫЕ КОМБИНАТЫ???!!!!!!!Если  Китаай (завтра) не предоставит нам трикотажную промышленность....МЫ  ЧТО????  БЕЗ ТРУСОВ БУДЕМ ХОДИТЬ???....путина НА МЫЛО....он НАМ НЕ НУЖЕН!!!,2020-06-27T11:29:46Z,0
15,UgxQrYTcRJRtrE6C-1x4AaABAg,un9SgZ5RsQ4,Навальный LIVE,0,0,Самсон Геннадьев,Молодцы!,2020-06-27T11:21:46Z,0
16,UgxizyqyBb1aPjQwvIl4AaABAg,un9SgZ5RsQ4,Навальный LIVE,0,0,Vasya Good,Вероятно есть.Но он предпочитает кокс,2020-06-27T10:25:48Z,0
