,id,videoId,authorVideoName,totalReplyCount,likeCount,authorDisplayName,textDisplay,publishedAt,isReply
0,UgzuLkzEA0zBaW1Nw_p4AaABAg,v4uyQOIl_n8,Навальный LIVE,77,808,Навальный LIVE,"Подпись за то, чтобы людям оказали прямую денежную помощь прямо сейчас.
Просим подписаться.
Петиция во «ВКонтакте»: https://vk.com/app6890792#p=49738
Петиция на Сhange.org: https://change.org/5stepsvote

Станьте нашим спонсором: https://youtube.com/channel/UCgxTPTFbIbCWfTR9I2-5SeQ/join

Смотрите полный выпуск программы Алексея Навального #РоссияБудущего от 30 апреля: https://youtu.be/PAY56ovT4Qc",2020-05-01T22:34:46Z,0
1,UgyT4zlPUXOAzPfPjk14AaABAg,v4uyQOIl_n8,Навальный LIVE,0,0,Запутий Ватников,"Чушь несут все они там,но ЗАХАРОВА куда лезть с такой пропитой рожей ?.... сколько десятилетий надо квасить чтоб иметь такую физиономию ???????? Какого года ??????? —75 ?????? Она выглядит реально на 54 года плюс минус....",2020-06-30T19:06:17Z,0
2,UgyRAB06qAzRrhrhLkN4AaABAg,v4uyQOIl_n8,Навальный LIVE,0,0,Юлия Карабинцева,Прям очень рисковое предприятие. Это только для боХатых.,2020-06-26T20:16:34Z,0
3,UgwdxGCmxWZ5f5dNo7d4AaABAg,v4uyQOIl_n8,Навальный LIVE,0,0,Юлия Карабинцева,"Старая тётка решила рассказать нам как жить, как и где отдыхать, летать или не летать, куда можно нам летать, а куда нельзя.",2020-06-26T20:13:55Z,0
4,Ugy7yMcpPPvvDfJ21Y54AaABAg,v4uyQOIl_n8,Навальный LIVE,0,0,Алексей Нигматов,Я бы сказал что ей положено..,2020-06-25T11:41:49Z,0
5,Ugygqm2ZOt1_5l_93f54AaABAg,v4uyQOIl_n8,Навальный LIVE,0,0,Лидия Максимова,Этот человечек хотел стать президентом?,2020-06-24T19:09:05Z,0
6,UgzSaMV3TyEwVLxPoyh4AaABAg,v4uyQOIl_n8,Навальный LIVE,0,0,Alberts Andrejs,"Pozor nashej strani - eto ti, chmo...",2020-06-19T11:57:19Z,0
7,UgwmR1muJcFV5BE1ak14AaABAg,v4uyQOIl_n8,Навальный LIVE,0,1,Евгения Евгения,А чего она сама тогда соответствующим образом не выглядит? И спала судя по помятому лицу где попало.,2020-06-17T12:12:53Z,0
8,Ugyym03aBkijZYbDoYx4AaABAg,v4uyQOIl_n8,Навальный LIVE,0,0,admin42453,"Кошмар, я в шоке, как так можно о народе, большенство граждан России. И оно сидит у власти.",2020-06-17T07:53:20Z,0
9,UgzSCrZYio96-WprUh14AaABAg,v4uyQOIl_n8,Навальный LIVE,0,0,Natali Benefit,"Надо было развалить деревни и запихать всех в человейники, загадить недра и почвы, что здесь жить то с трудом можно приучить народ к низкопробному туризму в ТурСию и ЕБИПет , а потом сокрушаться: « бля, а почему нахуй все куда-то летают?» это потеха , право😂💩🤣😂💩🤣😢💩🤣",2020-05-30T11:13:28Z,0
10,UgzKE1ck5_Mj672KEjJ4AaABAg,v4uyQOIl_n8,Навальный LIVE,0,0,Алексей Курский,"Над Дженнифер Псаки когда-то улыбались, в России выросла смена.",2020-05-27T14:47:41Z,0
11,Ugxs6qHzr6Q37-TGDk54AaABAg,v4uyQOIl_n8,Навальный LIVE,0,0,You tube You tube,👍👍👍👍👍👍👍👍 прав,2020-05-26T05:50:25Z,0
12,UgxulkwlojhVDh5gqgZ4AaABAg,v4uyQOIl_n8,Навальный LIVE,0,0,A E,"Ты то что несёшь, ""праведник"" ты наш.",2020-05-25T17:00:18Z,0
13,UgzvDS7QR1ZyfS3ir7x4AaABAg,v4uyQOIl_n8,Навальный LIVE,0,1,Skarlett BlakLayut,"А чё вы на Захарика гоните? Бабулька просто с бадуна хрень вскую несет, ну с кем не бывает. Особенно после алкашки на деньги налогоплательщиков.",2020-05-25T14:42:22Z,0
14,UgxKKm1wDOwc7Emi3lJ4AaABAg,v4uyQOIl_n8,Навальный LIVE,0,0,Anton Shumakov,~~гнилая душонка~~,2020-05-25T10:35:27Z,0
15,UgzxN4hFBv_NJvpKyB54AaABAg,v4uyQOIl_n8,Навальный LIVE,0,0,Anton Shumakov,_ха ха_,2020-05-25T10:32:27Z,0
16,UgxqB9XESQqJkG5tXDN4AaABAg,v4uyQOIl_n8,Навальный LIVE,0,0,Noname Noname,Вот ей за это еще и орден дали,2020-05-25T09:44:02Z,0
17,UgzGFdfZf4w8oW-yaqB4AaABAg,v4uyQOIl_n8,Навальный LIVE,0,0,Алексей Косарев,"всё !!! баста !!! походу зажрался представитель МИД !!!   действительно чем дольше у кормушки, тем .......!",2020-05-24T12:14:48Z,0
18,UgwzU8vVrJZ_-E0Q8zN4AaABAg,v4uyQOIl_n8,Навальный LIVE,0,2,Елена Нечипоренко,Твари.,2020-05-23T06:14:16Z,0
19,UgzGNawiLa6OA2jvCJB4AaABAg,v4uyQOIl_n8,Навальный LIVE,0,1,Гаджимурад Гитиновасов,"Жаль что такие паразиты как захарова находятся у власти,они как вымпиры пьют кровь народа",2020-05-22T20:54:22Z,0
20,UgwWw9MYVzKJvmBfPDh4AaABAg,v4uyQOIl_n8,Навальный LIVE,0,2,Гаджимурад Гитиновасов,Если бы не мама то такая идиотка как маша не попала бы туда куда попала!! Жизненно,2020-05-22T20:51:02Z,0
21,UgwQ9WTpl-Qv0z4ja_F4AaABAg,v4uyQOIl_n8,Навальный LIVE,0,1,Игорь Серпухов,"Захарова какая то не промытая бабенка....вечно с грязной не уложенной головой , мятым лицом и речами маргинала от власти очень хорошо подходит как лицо МИДа.",2020-05-21T15:44:58Z,0
22,UgyIYG07W9XI9pal-ER4AaABAg,v4uyQOIl_n8,Навальный LIVE,0,2,Гагик Газпромонян,Вчера Пу наградил марусю орденом почёта. Ахуэть,2020-05-21T06:28:55Z,0
23,UgwqG0MLY68ITGlWRoF4AaABAg,v4uyQOIl_n8,Навальный LIVE,0,0,Anastasia Sun,"Конечно, выехать это опасное предприятие, когда твоя страна Россия и она хер поможет, если что случится. Как жаль, что я не училась на снайпера, не ту профессию выбрала((",2020-05-19T20:37:33Z,0
24,UgwPkTJeY5yX6J87_r14AaABAg,v4uyQOIl_n8,Навальный LIVE,0,0,Юрий Серов,"Как чиновница озвучила государственное мнение, что крепостным нечего дергаться.",2020-05-19T09:34:54Z,0
25,UgwIP5dRJID8hfSSzjR4AaABAg,v4uyQOIl_n8,Навальный LIVE,0,0,Michail,Захарова это сестра Охлобыстина,2020-05-15T11:24:43Z,0
26,Ugz14SUN4kO-t5lc4iJ4AaABAg,v4uyQOIl_n8,Навальный LIVE,0,0,Довран Бердиева,Навальный вы предатель народа,2020-05-15T10:17:31Z,0
27,UgysS0Slob6iebu2hMx4AaABAg,v4uyQOIl_n8,Навальный LIVE,0,0,светлана Робертовна,А мама в мире уборщица работала? Судя по ее виду------,2020-05-15T00:40:12Z,0
28,UgxfGDTCsHh1B0tNLxx4AaABAg,v4uyQOIl_n8,Навальный LIVE,0,0,Gachi6758,у меня нит диняг,2020-05-14T17:01:55Z,0
29,UgzHwd0Mpb4k2WOn8YR4AaABAg,v4uyQOIl_n8,Навальный LIVE,0,0,Ilya Kolganov,Какой же она наглый и высокомерный человек. И она представляет нашу страну на международной арене... жесть.,2020-05-14T07:58:12Z,0
