,id,videoId,authorVideoName,totalReplyCount,likeCount,authorDisplayName,textDisplay,publishedAt,isReply
0,UgxyVLBjAk08SRVKMYp4AaABAg,vNSDPfeMcB0,Максим Кац,43,707,varlamov,Подписывайтесь на ежемесячные пожертвования в Городские Проекты! Мы тогда сможем оставаться независимым и продолжать деятельность https://donate.city4people.ru,2020-06-01T14:41:25Z,0
1,UgwUYmdymlAZ__P8Fp14AaABAg,vNSDPfeMcB0,Максим Кац,0,0,Goldmember yuk,Это вопрос к Навальному. Воровство бюджетных денег - его специализация.,2020-07-03T10:13:43Z,0
2,UgwyknpsEIj5M7aZtfl4AaABAg,vNSDPfeMcB0,Максим Кац,0,0,Tom Wolfson,"Кстати, насчёт удобства посадки в трамвай. В Берлине обычно машинист во время остановки выходит в салон и помогает зайти тому, кому требуется помощь. Загнивающая Европа, хули",2020-07-03T08:30:19Z,0
3,UgxwPc8EkSeOGjFF9O14AaABAg,vNSDPfeMcB0,Максим Кац,0,0,IRA F,"Давно уже рулят во власти троечники, какой им там google смотреть... О, как грустна участь трамвая в Калининграде - городе с  самой старой трамвайной системой на территории современной России (действует с 1895 года), а мог бы стать достопримечательностью в паре с сохранившейся брусчаткой, по которой так матерно ездят автоводители.",2020-07-02T18:28:55Z,0
4,UgwyWdqUL3KCXV_xy8p4AaABAg,vNSDPfeMcB0,Максим Кац,0,0,Zhenya Nikolaev,Вывод? в Иерусалиме бабки тоже куда-то едут в час пик.,2020-07-02T11:14:56Z,0
5,UgzjZLOSPDEicCInMXt4AaABAg,vNSDPfeMcB0,Максим Кац,0,0,Лёха Лёхин,"У нас большинство трамваев не очень, но его маршрут не мешает дорогам и его дороги не тормозят",2020-07-02T06:18:11Z,0
6,UgzU0chnV0ThUcQYkdB4AaABAg,vNSDPfeMcB0,Максим Кац,0,0,Павел Бездорнов,"Я в прошлом году ездил в Краснодар. В городе достаточно неплохо развита трамвайная сеть. Это действительно классный транспорт, и один из самых больших плюсов Краснодара, но трамвайная сеть не поспевает за ростом города, поэтому народ жалуется на бробки.",2020-07-02T06:01:30Z,0
7,UgwHHOiBIWjEaq5dB694AaABAg,vNSDPfeMcB0,Максим Кац,0,0,Eks Hunter,"Думаю, что Максим малехо перегнул палку в плане ""трамвай решит проблему пробок"". Трамвай из наземного транспорта самый дорогой в содержании. Тяговые подстанции, рельсы, столбы-провода, недешевый подвижный состав. У меня в городе трамвая нет, но есть троллейбус. Было два парка, сейчас остался один. Дорогое в содержании удовольствие. Новый троллейбус с завода идет по цене 3-4 автобусов, надо содержать в рабочем состоянии просто тысячи опор и сотни километров линий, стрелок, развязок и т.д. У электротранспорта один только плюс - нет выбросов. Но основные выбросы не от общественного транспорта, а от частного. Если сделать так, что личный транспорт в городе будет невыгоден, тогда вопрос с общественным транспортом и пробками решится естественным образом. Для примера: приехал я в Питер с семьей на несколько дней по музеям походить. Метро, троллейбус и прочее на 1 день на семью обошлись в 1 тыс. руб. На следующий день поехал на машине - себестоимость в день - 300 руб. Вопрос об общественном транспорте отпал сам собой.",2020-07-01T18:11:57Z,0
8,UgxoLw6_kownISgp7YN4AaABAg,vNSDPfeMcB0,Максим Кац,0,0,Салим Алеулов,"Максим, а почему в списке городов с успешно рабочим трамваем нет Волгограда?",2020-07-01T16:54:16Z,0
9,UgzDRfpTNx_GT-2kSBF4AaABAg,vNSDPfeMcB0,Максим Кац,0,0,Александр Комаров,"После коронакризиса часть людей чтобы не пользоваться общественным транспортом (где риск заразиться из-за его устройства выше) и купит личное авто, а другие пересядут на велосипеды и мопеды (правда на мопед уже права водительские нужны)",2020-07-01T16:32:54Z,0
