,id,videoId,authorVideoName,totalReplyCount,likeCount,authorDisplayName,textDisplay,publishedAt,isReply
0,UgyM4G6M-WueLKowkIV4AaABAg,vRZ0U66_2GI,Максим Кац,50,575,Максим Кац,"Если расшерить этот видос — больше людей узнают, как всё устроено!",2020-05-13T15:23:50Z,0
1,UgyoAC79HR91GP-fs7B4AaABAg,vRZ0U66_2GI,Максим Кац,0,0,GeorgeaYT,"Простенько, но со вкусом. Умеет Максим убедительно излагать.",2020-07-03T08:40:37Z,0
2,UgzTJjZlHbdlF3ZcJrJ4AaABAg,vRZ0U66_2GI,Максим Кац,0,0,Хуршед Абдурахмонов,"Пишу этот комментарий, потому что не всёравно!",2020-07-02T18:02:35Z,0
3,Ugw4dHK_vE9y28Ki3h14AaABAg,vRZ0U66_2GI,Максим Кац,0,0,Meg Lashko,Почему так грустно :с,2020-07-01T07:46:56Z,0
4,Ugzg9jWuHa5Nlf_v4SB4AaABAg,vRZ0U66_2GI,Максим Кац,0,0,אלכסנדר ירמולונקו,"Россия федерация лишь формально, на самом деле является государством унитарным.  При Орде налогообложение было много проще, отдал десятину и строй что хочешь. Тот же подъём Москвы при Иване Калите и 40 лет тишины.",2020-06-30T12:09:21Z,0
5,UgwNp1FPGj9t8EvUQn14AaABAg,vRZ0U66_2GI,Максим Кац,0,0,Healthy Skin,Отличный ролик,2020-06-29T09:28:42Z,0
6,UgzTazu092-t3rTbZi14AaABAg,vRZ0U66_2GI,Максим Кац,0,0,Алексей Бобров,Итого получается замкнутый круг 🔵,2020-06-28T13:32:06Z,0
7,UgwPskS0NvXdxpLci9x4AaABAg,vRZ0U66_2GI,Максим Кац,0,0,Roman Maltsev,"БК РФ Статья 56. Налоговые доходы бюджетов субъектов Российской Федерации:
налога на имущество организаций - по нормативу 100 процентов;
налога на игорный бизнес - по нормативу 100 процентов;
транспортного налога - по нормативу 100 процентов.
налога на прибыль организаций по ставке, установленной для зачисления указанного налога в бюджеты субъектов Российской Федерации, - по нормативу 100 процентов;
налога на доходы физических лиц - по нормативу 85 процентов;
налога на доходы физических лиц, уплачиваемого иностранными гражданами в виде фиксированного авансового платежа при осуществлении ими на территории Российской Федерации трудовой деятельности на основании патента, - по нормативу 100 процентов;
акцизов на спирт этиловый из пищевого или непищевого сырья - по нормативу 100 процентов;
акцизов на спиртосодержащую продукцию - по нормативу 100 процентов;
акцизов на автомобильный бензин, прямогонный бензин, дизельное топливо, моторные масла для дизельных и (или) карбюраторных (инжекторных) двигателей, производимые на акцизов на средние дистилляты, производимые на территории Российской Федерации, - по нормативу 50 процентов;
акцизов на алкогольную продукцию с объемной долей этилового спирта свыше 9 процентов, за исключением пива, вин, фруктовых вин, игристых вин (шампанских), винных напитков, изготавливаемых без добавления ректификованного этилового спирта, произведенного из пищевого сырья, и (или) спиртованных виноградного или иного фруктового сусла, и (или) винного дистиллята, и (или) фруктового дистиллята, - по нормативу 80 процентов;
акцизов на алкогольную продукцию с объемной долей этилового спирта свыше 9 процентов, включающую пиво, вина, фруктовые вина, игристые вина (шампанские), винные напитки, изготавливаемые без добавления ректификованного этилового спирта, произведенного из пищевого сырья, и (или) спиртованных виноградного или иного фруктового сусла, и (или) винного дистиллята, и (или) фруктового дистиллята, - по нормативу 100 процентов;
акцизов на алкогольную продукцию с объемной долей этилового спирта до 9 процентов включительно - по нормативу 100 процентов;
налога на добычу общераспространенных полезных ископаемых - по нормативу 100 процентов;
налога на добычу полезных ископаемых (за исключением полезных ископаемых в виде углеводородного сырья, природных алмазов и общераспространенных полезных ископаемых) - по нормативу 60 процентов;
налога на добычу полезных ископаемых в виде природных алмазов - по нормативу 100 процентов;
регулярных платежей за добычу полезных ископаемых (роялти) при выполнении соглашений о разделе продукции в виде углеводородного сырья (за исключением газа горючего природного) - по нормативу 5 процентов;
сбора за пользование объектами водных биологических ресурсов (исключая внутренние водные объекты) - по нормативу 80 процентов;
сбора за пользование объектами водных биологических ресурсов (по внутренним водным объектам) - по нормативу 80 процентов;
сбора за пользование объектами животного мира - по нормативу 100 процентов;
налога, взимаемого в связи с применением упрощенной системы налогообложения, в том числе минимального налога, - по нормативу 100 процентов;
государственной пошлины (подлежащей зачислению по месту государственной регистрации, совершения юридически значимых действий или выдачи документов), за исключением государственной пошлины, предусмотренной абзацами сорок восьмым и пятидесятым настоящего пункта, - по нормативу 100 процентов:
государственной пошлины (подлежащей зачислению по месту государственной регистрации, совершения юридически значимых действий или выдачи документов) за совершение федеральными органами исполнительной власти юридически значимых действий в случае подачи заявления и (или) документов, необходимых для их совершения, в многофункциональный центр предоставления государственных и муниципальных услуг - по нормативу 50 процентов;
(абзац введен Федеральным законом от 21.07.2014 N 249-ФЗ)
государственной пошлины (подлежащей зачислению по месту государственной регистрации, совершения юридически значимых действий или выдачи документов) за совершение федеральными органами исполнительной власти юридически значимых действий в случае подачи заявления и (или) документов, необходимых для их совершения, в электронной форме и выдачи документов через многофункциональный центр предоставления государственных и муниципальных услуг - по нормативу 25 процентов;
государственной пошлины (подлежащей зачислению по месту государственной регистрации, совершения юридически значимых действий или выдачи документов) за совершение уполномоченными органами исполнительной власти субъектов Российской Федерации юридически значимых действий, связанных с государственной регистрацией аттракционов, - по нормативу 100 процентов.",2020-06-28T06:36:39Z,0
8,UgyiPQDu9Sw0pXu2Rkl4AaABAg,vRZ0U66_2GI,Максим Кац,0,0,Viacheslav Pikus,"Максим, ты лучший, не останавливайся!",2020-06-26T18:39:18Z,0
9,UgxSDJ78-VyIxu_ujSF4AaABAg,vRZ0U66_2GI,Максим Кац,0,0,CinemaGameS,Коммент в поддержку ролика.,2020-06-26T04:26:23Z,0
10,Ugy6v5zNRRy58_iTLgF4AaABAg,vRZ0U66_2GI,Максим Кац,0,0,олег кузин,Толковое заявление ! Чистая правда !,2020-06-21T16:09:52Z,0
11,Ugwx_UoZU3yXKGqB_9V4AaABAg,vRZ0U66_2GI,Максим Кац,0,0,Monte Summa,Как могут работать демоны из ада?,2020-06-21T10:15:36Z,0
12,UgxGcx0PzfMt-pXVFS14AaABAg,vRZ0U66_2GI,Максим Кац,0,0,Jurij Kovalov,Спасибо Максим. Желаю тебе полит. роста и веса.,2020-06-21T07:36:29Z,0
13,UgxnMpZ3L9xNA5KWgyZ4AaABAg,vRZ0U66_2GI,Максим Кац,0,0,Gregi Aizen,"С одной стороны поражаешься цинизму, а с другой - прагматизму и гениальности. Даже не знаешь, то ли восхищаться, то ли презирать.",2020-06-20T16:48:58Z,0
14,UgwoUlvS2ckrYnfiOxJ4AaABAg,vRZ0U66_2GI,Максим Кац,0,0,New Age,"Так объяснил что вообще ничего не понятно,у того же Челябинска общие доходы которые он отсылает в федеральный и региональный бюджет плюс свой муниципальный,больше расходов его бюджета или он дотационный?",2020-06-20T08:54:41Z,0
15,Ugyh1HvgBXlHXnI-Szl4AaABAg,vRZ0U66_2GI,Максим Кац,0,0,Nightwolf,"Благодарю, информативно.",2020-06-17T12:14:43Z,0
16,Ugz1GdlakXid1QwgmXh4AaABAg,vRZ0U66_2GI,Максим Кац,0,0,Jacob Feldman,Полезная серия,2020-06-16T10:52:18Z,0
17,UgwcwVP6HAX9S1AFehF4AaABAg,vRZ0U66_2GI,Максим Кац,0,0,Александра Фёдорова,"А ещё деньги, которые возвращаются в бюджет, они расписаны под конкретные цели. И если деньги выделили на 10 стадион, который на фиг некому не сдался, то потратить деньги на сады, школы, поликлиники нет возможности🤦‍♀️",2020-06-16T07:03:58Z,0
18,UgwAXGB0HCktPVpze454AaABAg,vRZ0U66_2GI,Максим Кац,0,0,Алихан Динаев,"Ноль харизмы, смотреть невозможно.",2020-06-14T13:16:04Z,0
19,Ugxa1Gkxuj4YvNu164t4AaABAg,vRZ0U66_2GI,Максим Кац,0,0,boring name,"Отличный канал. Годный, интересный контент. Максим все очень подробно объясняет",2020-06-13T20:52:14Z,0
20,UgxlUAn47-O1hOdfRLV4AaABAg,vRZ0U66_2GI,Максим Кац,0,0,Timofey Sibirskiy,"Максим, пожалуйста, поставьте речь. Все логично, но слушать невозможно. Слишком неуверенная и непродуманная речь. Из-за этого получается воспринимать Ваши слова серьезно.",2020-06-13T18:10:55Z,0
21,Ugyfo43Us-sORTvd4854AaABAg,vRZ0U66_2GI,Максим Кац,0,0,Ramon Morsisj,Загадочные органы.  Конституционная двусмысленность. Выдуманные поправки в выдуманной стране)),2020-06-13T13:29:46Z,0
22,UgzcpHagTFjlCKJvTlh4AaABAg,vRZ0U66_2GI,Максим Кац,0,0,Борис Борис,"Не проще. Чем сложнее система, тем проще украсть🤷‍♂️",2020-06-13T08:43:34Z,0
23,Ugwst8Uk1AbAQazWzFh4AaABAg,vRZ0U66_2GI,Максим Кац,0,0,ZTE,во такая схема! чтоб в Мск жирнее дети были,2020-06-12T20:15:59Z,0
24,UgzZPto-FR8mXDycChl4AaABAg,vRZ0U66_2GI,Максим Кац,0,0,Артем Дзюбак,"можете делать ссылки на видео, о которое упоминаете по ходу повествования?",2020-06-12T19:52:02Z,0
25,UgykAgm9xyBzTQkS89h4AaABAg,vRZ0U66_2GI,Максим Кац,0,1,Алексей Иванов,"Безусловно подлежит распространению. Но! Есть 2 вопроса:
1. MyGap ранее запилил ролик с описанием налоговых систем РФ и США, почему оппозиция, включая вас, не распространила тот просветительский труд? 
2. На дворе 2020г, какого черта? Какого черта так поздно? Людям эту инфу надо было растолковывать, сплотившись всем адекватным сообществом, лет 20 назад, тогда сейчас лодка уже бы перевернулась! Наша налоговая система и система подачек является иголкой кащея, но крайне мала доля просвещенных. Для охвата широкой аудитории необходим обезличенный канал (чтоб лавры никому не достались) и реклама этой инфы от каждого ютубера/ оппозиционера/ патриота. А сейчас 2020 и стабильность до 34г. Поздно. Слишком поздно.",2020-06-12T16:27:53Z,0
26,UgwlK0hQivhFGTUQ3C54AaABAg,vRZ0U66_2GI,Максим Кац,0,0,Васильев Иван,"Именно воровство - главное. Чем больше чиновников, через которые проходят деньги, тем больше они воруют. А чем больше армия воров - тем устойчивее власть. Очень просто и никакого заговора! Это ещё тов. Ленин придумал лет 120 назад.",2020-06-12T09:12:03Z,0
27,UgxE9MfWOBnQXcflJvR4AaABAg,vRZ0U66_2GI,Максим Кац,0,0,Vlad Murza,"Спасибо, Максим, очень крутые ролики, я много чего не знал! Почему такому не учетна обществознании?",2020-06-12T06:43:54Z,0
28,Ugy1pCWqcAh0AstN5ql4AaABAg,vRZ0U66_2GI,Максим Кац,0,0,Andrei Artamonov,"Хочу, чтобы это видео стало популярным!",2020-06-12T05:00:21Z,0
29,UgyB-qAg7hK6jP9Q_e14AaABAg,vRZ0U66_2GI,Максим Кац,0,0,Михаил Николаев,Шалом Макс! Вызови Навального на дебаты :голосовать или ...  пож. Спасибо !,2020-06-11T10:50:38Z,0
30,Ugwph3qFs-guu56xEC14AaABAg,vRZ0U66_2GI,Максим Кац,0,0,nmore1900,Прекрасно,2020-06-10T16:32:23Z,0
31,UgxqfFx_Nm_MHBhNTmJ4AaABAg,vRZ0U66_2GI,Максим Кац,0,0,Максим Волков,Спасибо!),2020-06-10T07:58:35Z,0
32,Ugzz9eUTa313sYX-t6t4AaABAg,vRZ0U66_2GI,Максим Кац,0,0,AXS,"Естественно администрация города это не органов государственной власти, а орган местного самоуправления.",2020-06-08T11:19:04Z,0
33,UgxoeYRvgOVdHfZBFn54AaABAg,vRZ0U66_2GI,Максим Кац,0,0,AXS,так по названию видно администрация города и правительство области.,2020-06-08T11:09:08Z,0
