,id,videoId,authorVideoName,totalReplyCount,likeCount,authorDisplayName,textDisplay,publishedAt,isReply
0,UgwcM0hEGpSiZM5H2CB4AaABAg,vTZ-8ltj7aM,Телеканал Дождь,0,0,Hill Farm,армия сразу за  малолеток всех загонят  на голосовалку,2020-06-24T17:54:58Z,0
1,Ugw5QqdBjC5JhEStozl4AaABAg,vTZ-8ltj7aM,Телеканал Дождь,0,0,mobail legends,Хватит пиздеть заебали уже,2020-06-20T01:37:01Z,0
2,Ugx1oQlYGQXPGabRSmx4AaABAg,vTZ-8ltj7aM,Телеканал Дождь,0,0,Влад Иванов,люди не допустите повторной изоляции!,2020-06-19T02:27:00Z,0
3,Ugyq1sT7BZ3OvXY9Bgh4AaABAg,vTZ-8ltj7aM,Телеканал Дождь,0,0,Альбина,"А 16 июня пришел ""Штраф за выезд без «цифрового пропуска»
или невыполнение другого требования повышенной готовности в Москве""- 5000 руб! при этом нет возможности отследить , на какой счет уйдет оплата. Те. нет квитанции!!!!",2020-06-18T12:51:02Z,0
4,Ugwh5087sFSHATUMBoB4AaABAg,vTZ-8ltj7aM,Телеканал Дождь,0,0,господин,9 июня хожу по квартире без маски. трахнул жену без маски как свежак.  ну а  внукам какая радость.....,2020-06-16T13:22:16Z,0
5,UgyvDeIC99I1asUbzWN4AaABAg,vTZ-8ltj7aM,Телеканал Дождь,0,0,Maza FackaFo,Сказочная страна ;)),2020-06-16T11:32:47Z,0
6,Ugwl42FQIYDvFqnEOjd4AaABAg,vTZ-8ltj7aM,Телеканал Дождь,0,0,Sotovik Sotovik,Пока необьявили вторую волну уничтожайте и мочите корановирус прямо в сартире.,2020-06-15T08:43:54Z,0
7,UgyHBPk1A0_wkOH4Hpt4AaABAg,vTZ-8ltj7aM,Телеканал Дождь,5,0,Валюшкин крестик.,"Позор,организаторам псевдокороновируса. Позор тупоголовым бараном, тем которые поддерживают  массочный резим",2020-06-15T05:04:37Z,0
8,UgyHBPk1A0_wkOH4Hpt4AaABAg.99usmvxjCVc9A-ghpeNUME,vTZ-8ltj7aM,Телеканал Дождь,0,0,анальный карнавал,"@Валюшкин крестик. валюш, иди ты сама туда со своими чипами.",2020-06-17T11:14:31Z,1
9,UgyHBPk1A0_wkOH4Hpt4AaABAg.99usmvxjCVc9A-fvfi51TR,vTZ-8ltj7aM,Телеканал Дождь,0,0,Валюшкин крестик.,"@анальный карнавал сам или сама ты большой дефект, который думает не головой а жопай.",2020-06-17T11:07:40Z,1
10,UgyHBPk1A0_wkOH4Hpt4AaABAg.99usmvxjCVc9A-ekPFDRNH,vTZ-8ltj7aM,Телеканал Дождь,0,0,анальный карнавал,"@Валюшкин крестик. ясно, еще один дефект говорящий про чипирование...",2020-06-17T10:57:23Z,1
11,UgyHBPk1A0_wkOH4Hpt4AaABAg.99usmvxjCVc9A-eFB_3j5n,vTZ-8ltj7aM,Телеканал Дождь,0,0,Валюшкин крестик.,"@анальный карнавал Тупица  слушай профессоров  и выдающихся  врачей ,учёных  а не проплаченные  гос каналы. ,КАТОРЫЕ НЕСУТ ДИЗИНФОМАЦИЮ для токих ,как ты.Скоре будет  вторая псевдо волна  коронавируса  ,вот там вам всем и сделают  прививки вместе с микрочипом. Прививка идёт на уничтожение, поэтому всё  делается так быстро.",2020-06-17T10:52:59Z,1
12,UgyHBPk1A0_wkOH4Hpt4AaABAg.99usmvxjCVc9A-bkHNV4pN,vTZ-8ltj7aM,Телеканал Дождь,0,0,анальный карнавал,"ПОЗОР ТЕМ, КТО НЕ ВЕРИТ В КОРОНАВИРУС ТЕМ САМЫМ РАСПРОСТРАНЯЯ ДЕЗИНФОРМАЦИЮ!",2020-06-17T10:31:09Z,1
13,Ugxj-QBF3HaOXmxDJnx4AaABAg,vTZ-8ltj7aM,Телеканал Дождь,0,0,E. S.,"А я спокойно сижу на самоизоляции, потому что Путин мне много заплатил. Онлайн проголосую за Поправки  и буду снова сидеть дома, если придёт ""вторая волна"". 

P.S. Как же мне нравится скулёж ""оппозиции"", даже ругать вас не хочется, без вас жизнь станет пресной и скучной.",2020-06-15T04:31:58Z,0
14,UgxWwU3HzljZOvMYvFJ4AaABAg,vTZ-8ltj7aM,Телеканал Дождь,0,0,биго ливе,На что и как людям жить им по фигу! 😠😠😠,2020-06-14T21:39:39Z,0
15,UgyfZfC1FidlxOsrMfF4AaABAg,vTZ-8ltj7aM,Телеканал Дождь,0,1,Алексей Терешков,"*Ребят, в комментарии можете не заходить. Там помойка. Там не люди, а животные, которые дважды два сложить не могут.* 
*Я предупредил*",2020-06-14T19:40:36Z,0
16,UgyFIQalz8lUn02IOGN4AaABAg,vTZ-8ltj7aM,Телеканал Дождь,0,1,виталик кк,Настоящий цирк.,2020-06-14T08:30:02Z,0
17,Ugz61gzXfzs5D-Et6P94AaABAg,vTZ-8ltj7aM,Телеканал Дождь,0,0,Ольга Паравоз,Сколько можно терроризировать народ??,2020-06-14T01:20:31Z,0
18,UgwonzxV-ojv6aeaYq94AaABAg,vTZ-8ltj7aM,Телеканал Дождь,0,0,Ольга Паравоз,Какие зараженные и чем??? Когда эту дурь перестанут говорить!!!,2020-06-14T01:19:34Z,0
19,UgwTyroKLrpcXEnEnLF4AaABAg,vTZ-8ltj7aM,Телеканал Дождь,0,0,CortezDomino,"Ну хорошо что отменят, работать начнем",2020-06-13T23:42:18Z,0
20,UgzVWvwMGgtWvJISWfV4AaABAg,vTZ-8ltj7aM,Телеканал Дождь,0,0,Jessi Grin55,"Слушай, что ты нам рассказываешь люди всегда умирали.Конечно если уксус выпил и умер от этого, а пишут умер от короновируса. Вот вам и рост вот вам и статистика. А начнут под поезда люди от такой жизни кидаться, ещё рост повысился смертность то короновируса. Афера века.",2020-06-13T23:03:32Z,0
21,UgwGFevWc_iVF1c0K_V4AaABAg,vTZ-8ltj7aM,Телеканал Дождь,0,0,Жылдыз Мусаева,Маски не нужно не кому жарко,2020-06-13T16:32:33Z,0
22,UgxcG19hs5wbdxp8QfV4AaABAg,vTZ-8ltj7aM,Телеканал Дождь,0,0,Павел,Когда москвичи уже избавятся от слабоумного мэра?,2020-06-13T13:53:33Z,0
23,Ugwy9oMqChz6yVYs5cB4AaABAg,vTZ-8ltj7aM,Телеканал Дождь,0,0,Иван Кулебякин OFFICIAL,По просьбе людей по просьбе народа Хочу обратиться с просьбой друзья д видите до сведения Собянина или того кто уполномочен отменить маски и перчатки в транспорте и хождение по улице это Это просто невозможно в них ходить Отмените срочно потому что вируса никакого нет,2020-06-13T09:30:39Z,0
24,UgwxZvrB6S7MHBi3Krx4AaABAg,vTZ-8ltj7aM,Телеканал Дождь,0,0,Игорь Масько,"Я в россиянен в Казахстане сижу 4 месяц, нет не одного больного где я нахожусь один пиздешь и запугивание. В других городах якобы есть но никто не знает кто это.",2020-06-13T07:53:59Z,0
25,Ugz452c0IGe5BXWFOT54AaABAg,vTZ-8ltj7aM,Телеканал Дождь,0,0,Alex Korobitsyn,"Остановитесь, либералы. Вам надоела самоизоляция или нет? Я уже, честно говоря, запутался.",2020-06-13T07:46:59Z,0
26,UgykI7O6KgFFlwIc5wV4AaABAg,vTZ-8ltj7aM,Телеканал Дождь,0,0,Гуля Ниязова,Моя сестра  живет с сыном  снахой и двумя внучками  в Москве   сестру  недавно штрафовали в метро  в 5000 тысяч рублей  за неношение перчатки  нелзя была передупреждат нет сразу давай  денги      сын сестри неделю назад вышел на работу откуда денег  ты  Собянин надоел со своими правильами  ты один но не даеш  дышат миллонами человекам  то  ето правильа то другое  и люди  все как  калдование ето все тве чуш  мольча исполняет ето у тебя миллиарды рублей а у простого мигранта ето 5000 тысяч большое денги тем более давно без работы без денег  сидит дома и ваши менти в человеческом облики  такие шустрие  несмотря на право  на лево сразу  отнемает денги  ани же привыкли  ето для них обычное дело  так типер сын сестры работает на 25 тысяч рублей зарплату  а комнату они снимут за 28 тысяч так откуда на штраф  денги тепер у них а может Собянин заплатит за них для него ето 5000 тысяч   пят копеек  будит,2020-06-13T03:53:54Z,0
27,Ugz2D-wCkHvMnqkD93h4AaABAg,vTZ-8ltj7aM,Телеканал Дождь,0,0,Archangel,"Собянин любит рекомендательные указы выдавать, так давайте всем народом рекомендуем собянину, закрыть рот и помолчать.",2020-06-13T00:55:03Z,0
28,Ugx0A2UUboZZIeEky3t4AaABAg,vTZ-8ltj7aM,Телеканал Дождь,0,0,Алексей Попов,Ой да че уж тут говорить щас поправки примут и все потом вторая волна ну а потом мы будем рабами официально прям по конституции уже и так всем понятно что когда да и чего,2020-06-12T21:02:42Z,0
29,UgwKcPwLIZ01nrDJHrF4AaABAg,vTZ-8ltj7aM,Телеканал Дождь,0,0,Dmitry-tv,"Странно, как врачи успевают столько людей проверить за один день.",2020-06-12T20:20:44Z,0
30,UgwFfARb5gXihAL8cdB4AaABAg,vTZ-8ltj7aM,Телеканал Дождь,0,0,Елена Провоторова,"Собянин, я не пойму, кто президент? Почему ты что то решаешь даже не на только Москву? Ты кто  для других регионов. Я помню, что только по Москве! Что это за произвол? У нас мэры города не управляют страной или что то поменялось??",2020-06-12T20:07:35Z,0
31,UgyD1KsWyck6C2-2u7d4AaABAg,vTZ-8ltj7aM,Телеканал Дождь,0,0,Надежда Унгурян,Отменили для парада и все..,2020-06-12T19:53:20Z,0
32,UgyD5OY5i1rha4ybZjV4AaABAg,vTZ-8ltj7aM,Телеканал Дождь,0,0,Irina Karovich,"Какое счастье. )). .     Но что нам еще подготовят наши царьки? Голосовать  не пойду понимаю что конституция не для народа.  Что считает Собяним. Это его дело ,пусть спросит народ. .   .",2020-06-12T18:38:36Z,0
33,Ugz45md5mlkKIBz84VJ4AaABAg,vTZ-8ltj7aM,Телеканал Дождь,0,0,Андрей Смирнов,Родственница работает в госслужбе.Надо ей было зафиксировать 5 человек на мос.ру.на голосование.Не наберёшь увольняйся.Вот так.А сколько приписок будет?Вова охренел от власти.Был бы толк для народа.,2020-06-12T18:15:18Z,0
34,UgyaNGiUqCzGHAbCub54AaABAg,vTZ-8ltj7aM,Телеканал Дождь,0,0,Фред Илим,👎👎👎👎👎👎👎👎👎👎👎,2020-06-12T18:14:18Z,0
35,UgwN5MeHXZr2QZ7kbat4AaABAg,vTZ-8ltj7aM,Телеканал Дождь,0,0,Наталия Игнатенко,"Да все уже охренели без воздуха. Устроили геноцид народа. Пенсионеры итак все больные у нас, а тут ещё ходи в намордниках. Жесть!",2020-06-12T17:32:39Z,0
36,UgzCWpCf6HQHmwbP49d4AaABAg,vTZ-8ltj7aM,Телеканал Дождь,0,0,А О,Птфу мля Толи наивные !? Давайте поговорим после порада и поправок вот где будет дискотека !,2020-06-12T17:03:46Z,0
37,UgxrFEeVNzDo5OiCR_14AaABAg,vTZ-8ltj7aM,Телеканал Дождь,0,0,Магомед Атов,Нас просто дурят с этим вирусом!!,2020-06-12T17:00:11Z,0
