,id,videoId,authorVideoName,totalReplyCount,likeCount,authorDisplayName,textDisplay,publishedAt,isReply
0,UgxdqgR8RH63LNtd6b54AaABAg,ve3VEZy7uc4,Навальный LIVE,27,270,Навальный LIVE,"Станьте нашим спонсором: https://youtube.com/channel/UCgxTPTFbIbCWfTR9I2-5SeQ/join

Смотрите полный выпуск программы Алексея Навального #РоссияБудущего от 4 июня: https://youtu.be/_-ttObArW5s",2020-06-05T21:44:08Z,0
1,UgybWzyKzF_RWDwwocB4AaABAg,ve3VEZy7uc4,Навальный LIVE,0,0,Май Месяц,"При всем при том - хочу напомнить, что Миронов ходил к Путину просить за Серебреникова. Не будем однобокими. Мир не прост. Времена не выбирают, в них живут и умирают. Хотя времена всегда одинаковые. Каждый пытается найти баланс так, как у него получается. У любого действия есть обратная сторона. Не всегда просто и, вообще, не всегда можно решить, что важнее.",2020-06-30T14:11:39Z,0
2,UgwRzbLc22zzOFxC2JF4AaABAg,ve3VEZy7uc4,Навальный LIVE,0,0,Orgelmixtur,"Вот потому и Мышкин Евгения Миронова жалкий идиотишко, а совсем не князь, ведь у актера душа-то насквозь продажная.",2020-06-29T08:20:08Z,0
3,UgzMMl1u1u1R-Ll0AFB4AaABAg,ve3VEZy7uc4,Навальный LIVE,0,1,Агент Малдер,"Галкин красавчик оказывается, первый раз я он чётко высказал на счёт Ержан Максима голосе дети..",2020-06-28T20:25:57Z,0
4,UgwxDVZs-mebty4_67l4AaABAg,ve3VEZy7uc4,Навальный LIVE,0,0,Антон Гуменников,"Пародировал Путина и Жиринутина , случайность? Не думаю",2020-06-28T14:03:25Z,0
5,UgwLaDk2BMJQd0Yowz14AaABAg,ve3VEZy7uc4,Навальный LIVE,0,0,Лидия Морозова,"Алексей, пропадает звук.",2020-06-27T15:08:43Z,0
6,Ugw8rEJlRuC4RPOzyKx4AaABAg,ve3VEZy7uc4,Навальный LIVE,0,0,Коллекционные КУклы,Уважаю Галкина. Всем разослал я это видео💪🏻🤣🤣🤣👍❤️❤️❤️❤️,2020-06-27T00:59:43Z,0
7,UgwPYugwyHfk3xxU_vR4AaABAg,ve3VEZy7uc4,Навальный LIVE,0,2,DEEF MINIGAMES,Галкин молодца. Хоть кто-то им жопу не лижет.,2020-06-26T17:51:24Z,0
8,UgzdD-AbTSs6Uznmnah4AaABAg,ve3VEZy7uc4,Навальный LIVE,0,0,Рустам Гараев,"Бедные сложно им решать эти вопросы😂во многих развитых странах решают и норм.Просто воровали,воровали,а тут надо отвлекаться и думать о народе,у них другие планы на всю эту ситуацию",2020-06-26T06:16:04Z,0
9,Ugxm-83FDJvD2oEzyhF4AaABAg,ve3VEZy7uc4,Навальный LIVE,0,0,Алена Бариновп,"Максим,спасибо!Ты настоящий гражданин РОССИИ!А Миронов-жалок,прими снотворное и спи спокойно дальше!Я думала,что наш идеал герой фильма ""В августе 44"",теперь даже не знаю!Репутацию заработать трудно,а потерять-легко.",2020-06-25T12:04:42Z,0
10,Ugw6NPYALFN9ARCAMxF4AaABAg,ve3VEZy7uc4,Навальный LIVE,0,0,Сильва Соколова,"МАКИМ ОТЛИЧНО ПОКАЗАЛ НА ВЕСЬ МИР,   В СВОЕЙ ПАРОДИИ, МАРАЗМ ВЛАСТИ !",2020-06-25T07:09:24Z,0
11,Ugxa4zllLffCelTwd4J4AaABAg,ve3VEZy7uc4,Навальный LIVE,0,0,Сильва Соколова,МАКСИМ НЕПРЕВЗОЙДЕННЫЙ ПАРОДИСТ,2020-06-25T07:00:56Z,0
12,Ugx2HyljRrcPRn-03cZ4AaABAg,ve3VEZy7uc4,Навальный LIVE,0,0,MarkushaX,"Меня, просто колбасит, от актёрского мастерства Миронова. Не верю!!!",2020-06-25T04:29:23Z,0
13,Ugya9Gv09yG52auAimB4AaABAg,ve3VEZy7uc4,Навальный LIVE,0,0,prosps78,"Главное, чтобы П. утин не спародировал Боруха-Ельцина.",2020-06-23T20:15:25Z,0
14,Ugy5E_wyzoUHeuPT03R4AaABAg,ve3VEZy7uc4,Навальный LIVE,0,0,HGE HREH,Леха звук перезалей,2020-06-23T19:16:32Z,0
15,UgzRMdk_6K9b1nLyq_x4AaABAg,ve3VEZy7uc4,Навальный LIVE,0,0,Дмитрий Бгатов,"Даже смотреть фильмы не буду с этими артистами. Противно .и ни на концерты никогда не пойду этих певцов .что происходит в стране это маразм .голосование ,обнуление ,парад .если разбиратся глубже даже страны такой нету россия .это фирма .я в ах.....е что творится тут .просто бред ,ужас!!!!!!",2020-06-23T15:22:05Z,0
16,UgzJrMXLJwGkq3fiEoF4AaABAg,ve3VEZy7uc4,Навальный LIVE,0,0,Irina Sokolova,Максим классный!,2020-06-23T10:50:36Z,0
17,UgwGBhIfbFpysqjNrBB4AaABAg,ve3VEZy7uc4,Навальный LIVE,0,1,Tetyana Otto-Gorkuschyna,++++++,2020-06-22T18:38:13Z,0
18,Ugz6mlyn3h9JB5N533V4AaABAg,ve3VEZy7uc4,Навальный LIVE,0,0,Нина Великодная,"Нет больше артиста Е.Миронова.Он уже зажравшийся и так боится  отлучения от... Не ожидала от него почему то.Я думала,что он настоящий,думающий.Его действительно колбасит,он понимает наверное,что идет против своей совести.Но она у него уснула эта совесть и похоже навсегда.",2020-06-22T14:47:34Z,0
19,Ugx8Ml8vkIIfVRLzeP54AaABAg,ve3VEZy7uc4,Навальный LIVE,0,0,Евгений Орехов,Во как,2020-06-22T13:18:15Z,0
20,Ugw5Vf1vEqL4i3S-S8l4AaABAg,ve3VEZy7uc4,Навальный LIVE,0,0,Андрей Карабелкин,"Какая-то хрень с дорожками, звук прерывается, но судя по тексту без потери слов",2020-06-22T11:32:04Z,0
21,UgyWrAF6gLFpZJlOr8t4AaABAg,ve3VEZy7uc4,Навальный LIVE,0,0,Kei Lam,Уважения галкину 👍👍👍👍👍👍👍👍👍👍👍,2020-06-22T11:14:02Z,0
22,UgwocVOq6b8vzTJBV3F4AaABAg,ve3VEZy7uc4,Навальный LIVE,0,0,Vadim Valerivich,Полностью согласен оленеводы должны жить на чукотке и там стилить плитку,2020-06-21T15:36:45Z,0
