,id,videoId,authorVideoName,totalReplyCount,likeCount,authorDisplayName,textDisplay,publishedAt,isReply
0,UgwXxiziboNYbtwtwdZ4AaABAg,vy7Wi0Ts7PQ,Максим Кац,218,820,Максим Кац,"Длинный коммент сегодня :). У нас подписалось очень много людей на спонсорство, большое спасибо :). В общей сложности сейчас собрано 598$ (подписываться тут https://www.youtube.com/channel/UCUGfDbfRIx51kJGGHIFo8Rw/join). Я вот думаю, может быть направить эти деньги на раскрутку видоса с объяснением причин, почему обязательно нужно идти и голосовать «против», а бойкот фигня? Тут есть плюсы и минусы.

Плюсы: 
+ можно поставить целевую аудиторию Навального, Сталингулага, Яблока (ну, там человек 500, но всё же), в общем тех, кто топит за бойкот,
+ можно донести аргументы, которые до многих не доходят: про то, что власти выгодна явка тех, кто «за», а не всех подряд, ну и т.д.,
+ вообще видос оч хорошо зашёл, кажется он многих переубеждает.

Но есть и минус
— 100% будут «разоблачения» что мне проплатили из Кремля чтобы я агитировал за явку, реклама такого рода будет прям «доказательством», то, что это на деньги от вашего спонсорства разоблачителям интересно не будет,

По стоимости — примерно в 40 копеек обходится просмотр (то есть человек перешёл и отсмотрел существенное время) через внутреютубную рекламу. То есть на 598$ мы получим 100,000 просмотров. Не особо много, но и не вот прям ничего. Ну и может ещё спонсорство прийти.

Что думаете?",2020-06-11T13:24:52Z,0
1,UgxCR4zi-cljyXTt7lJ4AaABAg,vy7Wi0Ts7PQ,Максим Кац,0,0,Elmaz Mrkvičková,"Привет из Чехии! Вы молодец. Большинство граждан здесь очень гордятся тем, что у них был такой президент. К сожалению, и здесь, несмотря на огромный скачок и изменения к лучшему, находятся люди, вспоминающие на былые прекрасные времена. Типичная проблема всех «раньше было лучше», которые не понимают, что так говорят только из-за того, что это было время их молодости, на которое большинство людей вспоминает с теплом, не смотря на все ужасы. Во время 40-летнего коммунизма тут так же, как и в остальных коммунистических странах, все стояли в очередях, был вечный дефицит и иногда даже не было туалетной бумаги. Благо под боком был магазин «Тузекс». Сажали и убивали людей за другие взгляды (недавно здесь вспоминали на убитую коммунистами Миладу Горакову). В общем, все прелести тоталитарного государства. Но в Чехии, по сравнению с Россией, уже был опыт с демократией, да и культура совсем другая: они скорее как австрийцы, чем славяне. Культура Европы тут обозрима на каждом шагу. Это проявляется не только в архитектуре, но также и в отношении к людям и к природе. Очень жаль, что коммунизм здесь хорошенько сдеформировал мозги некоторых людей, да и в целом разладил всю культуру. До сих пор страна пожинает плоды пережитков прошлого режима. Но чехи с этим справляются. Очень надеюсь, что и в странах постсоветского пространства воцарит справедливость и свобода слова.",2020-07-02T17:57:58Z,0
2,Ugy3F_U49BCMWxqVY-d4AaABAg,vy7Wi0Ts7PQ,Максим Кац,0,0,Владимир Родионов,"Революционеры хреновы, идите работать!Сколько можно словоблудить?На работу, всем Кебуцом !Мы уже сыты вашими призывами!Работать!",2020-06-29T09:40:16Z,0
3,Ugx3PVogdrYlr6aBLFl4AaABAg,vy7Wi0Ts7PQ,Максим Кац,0,0,Илья Родин,"Не хватает нам такого Вацлава Гавела, к сожалению.",2020-06-28T09:20:10Z,0
4,UgxBkpl6Agij6qkw6vx4AaABAg,vy7Wi0Ts7PQ,Максим Кац,0,0,Дмитрий Владимирович,"Последние слова о равнодушие аж вызвали боль в груди от осознания того, что большинству действительно плевать.",2020-06-27T22:20:26Z,0
5,UgwKfj7kInTuYxiBU954AaABAg,vy7Wi0Ts7PQ,Максим Кац,0,0,Александр Штокман,"Про бескровные революции это он конечно ""годно"" загнул, учитвая что чехословакия развалилась на чехию и словакию. Правда бескровно, но развал это всегда плохо не важно в каком он виде.

Но наиболее веселые его доводы касаются самого президента ""демократический"" чехословакии - Вацлава Гавела, про которого и выпущен ролик.
Для справки Гавел избирался в президенты чехословакии, сначала, а потом Чехии ЧЕТЫРЕ, сука, раза. 
Четыре. При том что законодательство допускало лишь два раза быть на этом посту для этого человека.
Демократ, которого нахваливает Кац, сам на самом деле клал хуй на всякую демократию и на всякие демократические институты. Это по сути чешский Путин.
Вот и получается, что достопочтимый господин Кац, который вроде как против текущей власти - на самом деле ее тайный поклонник. Ряженый оппозиционер. 
Мне просто, чисто для справки, интересно узнать - а он вообще понимает кого хвалит? Как сторонник демократии может нахваливать человека, который, подобно путину, эту демократию попирал своими ногами, причем за счет страданий собственного народа. 
Потому что так всегда бывает с диктаторами. Путин, чтобы избраться еще раз, переписывает конституцию. А Вацлав Гавел совершил гораздо более тяжкое преступление. Он, чтобы избраться на третий и четвертый сроки - развалил единую чехословакию. Развалил! Вы подумайте только. Зато все по закону, государство то другое значит можно снова продожать сидеть у кормушки... 
Как вам? Нравится такая демократия, нравятся такие ""демократы""?",2020-06-27T09:04:02Z,0
6,UgzbiXLjopLdjrrKZYV4AaABAg,vy7Wi0Ts7PQ,Максим Кац,0,0,Tiger 777,"Почему далеко уходить, приведите пример из СНГ, мирная революция 2018го года в Армении",2020-06-26T12:35:58Z,0
7,UgzwuUmk9f9E-647tZF4AaABAg,vy7Wi0Ts7PQ,Максим Кац,0,0,Voolfia Dream,Один из самых трогательных роликов,2020-06-25T13:13:51Z,0
8,Ugyim1bl0zDPxU7W8wt4AaABAg,vy7Wi0Ts7PQ,Максим Кац,0,0,Alexander Fedorov,очень интересное видео.,2020-06-24T22:05:14Z,0
9,UgzX11oCp-0-gvkQ39l4AaABAg,vy7Wi0Ts7PQ,Максим Кац,0,1,Андрей Поздняков,"У нас апатия и равнодушие вообще повсюду, хотя я лично не равнодушный и не апатичный",2020-06-24T06:40:46Z,0
