,id,videoId,authorVideoName,totalReplyCount,likeCount,authorDisplayName,textDisplay,publishedAt,isReply
0,UgzxnTJ8Vs465N-yvTV4AaABAg,vzvpnme2fY0,Максим Кац,13,101,Максим Кац,"Кампании этого года тут: http://go.city4people.ru
Ещё, если вам интересно почитать как я работал в мэрском штабе Навального 2013 года то вот тут что-то типа мемуаров: https://maxkatz.livejournal.com/196365.html",2020-06-25T09:26:38Z,0
1,Ugyi6ttL95FfynSoOd54AaABAg,vzvpnme2fY0,Максим Кац,0,0,Anna Antonova,Классно! Прямо хочется быть частью команды,2020-07-01T19:10:34Z,0
2,UgwcKmJ37UT6-qzoswN4AaABAg,vzvpnme2fY0,Максим Кац,0,0,Игорь Тол,"Спасибо вам, ребята! У этой страны еще есть шанс, если такие молодые люди существуют и готовы самоотвержено действовать!",2020-07-01T14:25:14Z,0
3,UgyGkrZjV9Q2UUIA9iF4AaABAg,vzvpnme2fY0,Максим Кац,0,0,R K,Like,2020-07-01T10:52:20Z,0
4,UgwvXvlmbnWxefOqsyl4AaABAg,vzvpnme2fY0,Максим Кац,0,0,Черный Мерсианин,БЕСЕДИНА 2020!!!,2020-06-29T09:31:18Z,0
5,UgwXcH0WwJWjSiZuN-B4AaABAg,vzvpnme2fY0,Максим Кац,0,0,Денис Свистоплясов,"Я надеюсь, к осени будет возможность узнать, где и за кого я могу проголосовать или дать подписи в Самаре (либертарианцы, Кацевцы, Навальновцы)",2020-06-28T12:36:27Z,0
6,UgxXUoJO8wnpJULWa_l4AaABAg,vzvpnme2fY0,Максим Кац,0,0,Анатолий Гладкий,+1 за кота)),2020-06-28T12:01:39Z,0
7,UgweWNJ1aV_sG8LX-3Z4AaABAg,vzvpnme2fY0,Максим Кац,0,0,Rocanten Rocanten,"кумин? не смешите...
защитник трудового народа",2020-06-28T10:01:19Z,0
8,UgyG5yCJeWEYwYQyiLh4AaABAg,vzvpnme2fY0,Максим Кац,0,0,Аlex Owl,"Ему некогда спать ! Ему надо людей на голосование агитировать. Кто был на голосовании задайте себе вопрос 2 июля :""  Не на*бал ли меня Кац?""",2020-06-28T09:02:12Z,0
9,Ugy165gRF6CXMfo8ivB4AaABAg,vzvpnme2fY0,Максим Кац,0,1,Котлетка с пюрешкой,"Болею за вас, растрясите этих коррупционеров-старпёров",2020-06-28T04:37:57Z,0
10,UgxZVdVIurui4MfxM5h4AaABAg,vzvpnme2fY0,Максим Кац,0,0,Валерка Трешкин,путина на вилы,2020-06-27T09:46:43Z,0
11,UgxOw84UT1z4aSZWEnx4AaABAg,vzvpnme2fY0,Максим Кац,0,0,Сергей Филиппов,Ещё в один ролик Макса попал на фотке),2020-06-26T18:53:23Z,0
12,UgwvSjunUFv4APu2KzJ4AaABAg,vzvpnme2fY0,Максим Кац,0,0,Art None,а какие выборы в самаре?,2020-06-26T15:40:41Z,0
13,Ugy_naWLFxoINy8oDhR4AaABAg,vzvpnme2fY0,Максим Кац,0,0,sharamzamzam,"Спасибо, избираюсь от муниципального округа в Самаре",2020-06-26T15:27:05Z,0
14,UgzyD2xrFk4NO2fP--N4AaABAg,vzvpnme2fY0,Максим Кац,0,0,Unbroken Fish,"Может, для кота тоже заведём канал?)",2020-06-26T12:42:19Z,0
15,Ugw6b-TmjvWNjOlO0_V4AaABAg,vzvpnme2fY0,Максим Кац,0,0,Мария Солдатова,"Брюханова и Беседина большие умницы,классные!",2020-06-26T11:38:37Z,0
16,UgxOTAZsdvKhBsBnFhV4AaABAg,vzvpnme2fY0,Максим Кац,0,0,Кирилл Афанасьев,"Слишком хорошо звучит, чтобы было...",2020-06-26T11:20:21Z,0
17,UgzWXVZ1XEbAAoNh5iB4AaABAg,vzvpnme2fY0,Максим Кац,0,0,Победитель вирусных печенегов,"Спасибо за выпуск 😎
Как всегда Лайк!",2020-06-26T10:53:22Z,0
