,id,videoId,authorVideoName,totalReplyCount,likeCount,authorDisplayName,textDisplay,publishedAt,isReply
0,UgzsBO2Cbc3Fp1VNlYB4AaABAg,wL5Exq2s8fM,Навальный LIVE,185,1158,Навальный LIVE,"Таймкоды: 

0:29 В эфире Алексей Навальный или «человек, который должен ответить за свои подлости», по словам единоросса Эрнеста Макаренко.
1:22 «Государственный портал — это формальная штука, на которую правительству придется ответить»: https://www.roi.ru/66369
5:40 «Я считаю Воронцова политическим заключенным, который пострадал за то, что защищает полицейских и добивается соблюдения их трудовых прав», — Навальный о деле «Омбудсмена полиции».
8:06❗️Их давят, но они говорят правду.
11:19 🎥Быков против Путина, НТВ и «Россия 1» против Быкова.
19:15 «Так противно наблюдать, что вы его там просто облизывали все, а сейчас, когда он начал выступать против этой власти, и вы понимаете, что на лозунгах против власти он победит, вы тащите кучу заказных журналистов и ведете на все страну против него кампанию».
26:01❓Что думаете по поводу объединения НАО и Архангельской области?
29:07❓Что случится, когда петиция «5 шагов для России» наберет 100 тысяч голосов на РОИ? 
31:25❗️Путин, Сечин и геном.
39:59 «Серьезно, „Роснефть“ — технологический партнер генетики? Вся эта братия вокруг потирает руки, потому что там будет бесконтрольное, но очень безопасное разворовывание средств: там, где путинская дочка, никого не посадят».
41:21❗️Скоро снег станет «плохим».
41:37 «Руслана Шаведдинова вывезли на ядерный полигон буквально в никуда: там есть вертолетная площадка и больше ничего, где Руслан и несколько таких же несчастных расчищают снег». 
43:05 🎥Юрист ФБК Владлен Лось о судах по делу Руслана Шаведдинова.
46:45❗️Все хотят дебатов.
47:23 «Все видят, насколько влияет на власть политическая дискуссия и внимание к ней. Один из пунктов программы Путин-то почти выполнил в том числе потому, что были эти дебаты».
48:52 🎥Фрагмент дебатов Любови Соболь и Ксении Собчак на тему «20 тысяч каждому: популизм или необходимость?»: https://youtu.be/Fq3TyA68j60
51:51 «Ни от 20 тысяч, ни от 10 тысяч на каждого человека никакая инфляция не вырастет».
59:21 🎥Московский единоросс Андрей Метельский и Екатерина Винокурова вызывают друг друга на дебаты.
1:05:42❗️Путин выполнил первый шаг.
1:07:07 🎥Путин о выплате по 10 тысяч рублей на ребенка.
1:13:14 «В России, чтобы получить обещанное, ты должен биться за него». 
1:15:22 «Весь интернет забит квитанциями про то, что 500 рублей, 60 рублей, 200 рублей начислили, хотя сказали, что всем работающим с COVID врачам будут выплачивать по 80 тысяч».
1:21:53 🎥Обращение женщины из Ангарска: «Меня заставили уволиться с работы, кушать нечего».
1:25:36❓Расскажите о сестрах Хачатурян.
1:33:10 ❗️Гражданин, пройдемте на досмотр.
1:33:10 «В этой странной неопределенности власть пропихнула две важные инициативы, которые определят нашу жизнь на долгое время вперед, если мы не будем этому активно сопротивляться — это новый закон о выборах и новые поправки в закон о полиции. Принятие этих поправок окончательно превращает Россию в полицейское государство».
1:35:21 🎥Полицейские в Зеленодольске силой выводят из автобуса человека без маски. 
1:49:39 Навальный о якутском шамане: «Это абсолютный беспредел: его задержали и отвезли в психушку. Можно этим людям давать новые полномочия? Конечно, нет».
1:56:59❗️Остались ли в России выборы?
1:58:20 «Это выводит выборы из-под возможности любого контроля. Это их ответ на „Умное голосование“: они боятся, что мы их переголосуем».
2:00:05 🎥Роман Юнеман об электронном голосовании: «Это полный ужас». 
2:07:07❗️Битва за смертность.
2:11:20 «Сейчас этот мухлеж чудовищно опасен: они врут про смертность, а мы должны знать про смертность, чтобы понять, что делать с системой здравоохранения».
2:15:54 🎥Петербургский губернатор Беглов о заболеваемости «внебольничной пневмонией».
2:18:50 «Во время голосования по Конституции они будут врать, какая у нас классная система здравоохранения и что у нас смертность в 10 раз ниже, чем у всех остальных». 
2:21:17 🎥Доктор Мясников просит 88 тысяч рублей за интервью.
2:22:19❓К чему приведет досрочное снятие карантина?
2:24:08❗️Масочный режим.
2:30:19 «В любом регионе России, где введен масочный режим, администрация губернатора тратит на свой ежегодный пиар сумму большую, чем нужна для обеспечения масками вообще всех жителей. И нет ни одного региона в нашей богатой стране, где дают маски бесплатно».
2:31:42 🎥Башкирия: депутат от «Единой России» против штрафов за отсутствие масок.
2:35:59 🎥Беглов: не надо давать маски приезжим.
2:40:40❗️Это уникальный для нас проект.
1:40:43 Навальный о подсветке оперного театра в Новосибирске за 400 миллионов рублей: «Снесите администрацию, которая это все организовала. Это же реальная насмешка».
2:42:17❗️Внимание, это хештег.
2:46:25 «Вся эта „Единая Россия“ — это сборище воров и олухов, которые врут и говорят абсурдные вещи. Долго ли все это устоит на основании вранья? И будет ли нам в этом комфортно жить? Очевидно, нет. Поэтому не надо молчать, не надо бояться, нужно что-то делать: хотя бы где-то подписаться, распространить информацию, зарегистрироваться в „Умном голосовании“».",2020-05-15T09:37:46Z,0
1,UgzifLwtCo2ecmaj07h4AaABAg,wL5Exq2s8fM,Навальный LIVE,0,0,viktor planeta,"15:30  его переехали, так  орал бы наверно.",2020-07-01T13:59:32Z,0
2,UgwJsB0rkHAqR_FybXV4AaABAg,wL5Exq2s8fM,Навальный LIVE,0,0,Александр Мурутц,"Как двухнедельное нахождение на аппарате ивл может стоить 72000 долларов, если сам аппарат стоит от 30 000 до 40 000 долларов ?",2020-06-30T14:37:40Z,0
3,UgxO3_AxA8e6CNND0L14AaABAg,wL5Exq2s8fM,Навальный LIVE,0,1,Natalya,"Алексею   Анатольевичу,  уважение  и   поддержка  !!!",2020-06-29T23:09:30Z,0
4,UgwZSOLMoCpIaqsaUSp4AaABAg,wL5Exq2s8fM,Навальный LIVE,0,0,Александр Шнырь,"Алексей, выдвигайте инициативу против полицейского произвола!! Здравомыслящие люди подпишут!",2020-06-27T15:08:46Z,0
5,Ugx6GimDn6eo4rJJvS94AaABAg,wL5Exq2s8fM,Навальный LIVE,0,0,Хочу на пенсию,"Я уже даже не сомневаюсь, что во власти  враги сидят",2020-06-26T15:02:00Z,0
6,UgzM54O-NzuNghppsAB4AaABAg,wL5Exq2s8fM,Навальный LIVE,0,0,Пельмень с лопатой,стошнило ....,2020-06-25T05:21:23Z,0
7,Ugxu8vEkh2b2ENiarcN4AaABAg,wL5Exq2s8fM,Навальный LIVE,0,0,Пельмень с лопатой,Лёха 75 90  маскастоит епта,2020-06-25T05:20:15Z,0
8,Ugwlxl5UdMXZLBPJOmp4AaABAg,wL5Exq2s8fM,Навальный LIVE,0,0,Пельмень с лопатой,пиздежа..)))),2020-06-25T05:02:59Z,0
9,UgwYjJRD5REiiFAcFp14AaABAg,wL5Exq2s8fM,Навальный LIVE,0,1,Анита Г,Навальный!  плюс   Бондаренко!  - Это сила!!!,2020-06-24T19:46:35Z,0
