,id,videoId,authorVideoName,totalReplyCount,likeCount,authorDisplayName,textDisplay,publishedAt,isReply
0,UgzoVlI3H9yk7-6nFvl4AaABAg,wfCdyiNyyu0,Телеканал Дождь,0,0,рита васильева,Пу:уважение к людям! Что??? Что????,2020-06-29T10:00:41Z,0
1,Ugzm1BxuPYkKfJLh9Kl4AaABAg,wfCdyiNyyu0,Телеканал Дождь,0,0,Ринат Горелов,Досудился,2020-06-28T19:56:38Z,0
2,UgxSaDKlWrthq2z8Kn94AaABAg,wfCdyiNyyu0,Телеканал Дождь,0,0,зорик зориков,Единственный мужик где остальные мужикиии щетки путлера,2020-06-28T10:17:08Z,0
3,Ugx_X9h1ieQtsNIWCuV4AaABAg,wfCdyiNyyu0,Телеканал Дождь,0,0,Александр Егоров,"И Николаева любить не будут, это путинский",2020-06-27T22:27:32Z,0
4,UgyHUB_GsfnCDrYCeKl4AaABAg,wfCdyiNyyu0,Телеканал Дождь,0,0,Жан Есимгалиев,Как говорится помер максим ну и хрен с ним. Одного вора меньше стала,2020-06-27T17:33:09Z,0
5,UgxSgrfBrCvnNomV_lh4AaABAg,wfCdyiNyyu0,Телеканал Дождь,0,0,Евна Иванова,Но с ключами он перегнул...,2020-06-26T08:19:29Z,0
6,Ugwc3X24CfGoOKjPpM54AaABAg,wfCdyiNyyu0,Телеканал Дождь,0,0,Евгений Ан,"Посмел на Обнулентия в суды
Сердечко ёкнуло сразу не туды!!!",2020-06-26T05:05:28Z,0
7,UgxA7Uz5wtz18XuXp2t4AaABAg,wfCdyiNyyu0,Телеканал Дождь,0,0,Мария Егорова,"Первый раз слышу про вешания будучи чувашкой !Откуда все это? Если он ставленник Путина,значит он служил ему,как верный пёс!Кадыров об этом публично заявляет!Надо было ему быть с народом,а не смотреть в рот Путину! Даже самый плохой хозяин  со своим преданным псом так не поступит! Что сподвигло Путину так рассердился на него?Вот парадокс?",2020-06-25T02:41:10Z,0
8,UgxuBvGJjTmWpScYNQF4AaABAg,wfCdyiNyyu0,Телеканал Дождь,0,0,Альмира Закирова,Путин молодец зачем нужны такие люди которые не уважают людей тем более военных,2020-06-24T10:38:06Z,0
9,Ugy-Jkn-f6ZUU68vRCx4AaABAg,wfCdyiNyyu0,Телеканал Дождь,0,0,Марус_ Ка,Уже умер (((,2020-06-24T07:40:12Z,0
10,UgzYI1DgO_GoL3eyWmJ4AaABAg,wfCdyiNyyu0,Телеканал Дождь,0,0,Олесия Машенова,"Дело не в самодурстве губернатоа, а в том что ОФИЦЕР-ТО ПРЫГНУЛ!!! вот ПОКАЗАТЕЛЬ ПРОДАЖНОСТИ И ПОЛХАЛИМСТВА! ВО КОГО НАДО БВЛО УВОЛИТТ! ВОТ КТО ОПОЗОРИЛ ЧЕСТЬ И ДОСТОИНСТВО АРМИИ В ЦЕЛОМ!!! ПРЫГАЮЩИЙ КАК СОБАЧКА ОФИЦЕР... .  ПОЗОРНАЯ АРМИЯ",2020-06-24T04:39:18Z,0
11,UgxJZZQIzBfKhPrNhiR4AaABAg,wfCdyiNyyu0,Телеканал Дождь,0,0,Ruslan Mavludov,"С одной стороны правильно,хоть один пошёл против системы за это уважение",2020-06-23T19:39:34Z,0
12,UgxJoiJkXTB2yoY89K14AaABAg,wfCdyiNyyu0,Телеканал Дождь,0,0,Максим Бачо,Типшар однако....,2020-06-22T22:40:57Z,0
13,UgzhiNgfUqNtOwlJOlR4AaABAg,wfCdyiNyyu0,Телеканал Дождь,0,0,Марина Осипова,Господь видит всех насквозь.И каждый получит по делам своим.,2020-06-22T20:41:00Z,0
14,Ugw9dujC8D7HUnZUkqN4AaABAg,wfCdyiNyyu0,Телеканал Дождь,0,3,セブリング,"А затем умер внезапно от ""коронавируса""))
Совпадение? Не думаю",2020-06-22T17:50:49Z,0
15,Ugy78zHADxxi5g1Y-394AaABAg,wfCdyiNyyu0,Телеканал Дождь,0,0,Marina Oveyan,"Странно, ролик от 28 мая, а все интервью участников ролика дают понять о какой то жертве... Что уже на тот момент , точно все знают что Игнатьев 18 июня двинет кони?!?🤔🧐🙄",2020-06-22T03:52:02Z,0
16,UgyiTLVu9Ep0Z_L96EZ4AaABAg,wfCdyiNyyu0,Телеканал Дождь,0,0,Руслан Жоробаев,Пока есть коронавирус убрать человека легко чиновникам.,2020-06-21T23:37:52Z,0
