,id,videoId,authorVideoName,totalReplyCount,likeCount,authorDisplayName,textDisplay,publishedAt,isReply
0,UgyVd5uf3C7bcgoT5GB4AaABAg,x8eC4MkQnU8,Телеканал Дождь,0,3,Телеканал Дождь,"Поддержите нашу работу: https://tvrain.ru/donate/
Подписывайся на канал: https://www.youtube.com/user/tvrainru?sub_confirmation=1",2020-06-27T09:36:54Z,0
1,Ugyw0FVEkFMAUR-q7J14AaABAg,x8eC4MkQnU8,Телеканал Дождь,0,0,людмила иванова,стыдно за наш шоу-биз!,2020-07-02T15:10:33Z,0
2,UgxQPeppi4eVqKDtDrR4AaABAg,x8eC4MkQnU8,Телеканал Дождь,0,0,CNC,Михайлов вообще....,2020-07-02T11:35:48Z,0
3,UgwpVOg5Rx6UQhuk3Xx4AaABAg,x8eC4MkQnU8,Телеканал Дождь,0,0,Artem Davydov,"Проблема не в бузовой, а в 20 миллионах что на нее подписаны",2020-07-02T11:05:02Z,0
4,UgxDMnT7GbMzqfRkFid4AaABAg,x8eC4MkQnU8,Телеканал Дождь,0,0,Ярик Жуковский,"путин спустил штаны,готовьте попки",2020-07-02T07:56:54Z,0
5,UgyBiWLoSVjhCeCpRxR4AaABAg,x8eC4MkQnU8,Телеканал Дождь,0,0,Дарья Полякова,боню так то купили)),2020-07-02T07:28:37Z,0
6,Ugw_GpFCSYWokk5QKkh4AaABAg,x8eC4MkQnU8,Телеканал Дождь,0,0,BILLREU BRO,"Лол,я бы их звёздами не назвал.Эти ""звёзды"" пришли к нам из телека,соотвественно и реклама такожего уровня.",2020-07-02T05:29:08Z,0
7,UgyBL47Rlc7gplM-v7x4AaABAg,x8eC4MkQnU8,Телеканал Дождь,0,0,Coup Fx,Биологические мусорки продавшие свою жопу за возможность мелькать лицом на экране гаджетов учат людей как жить 🤦🏻‍♂️,2020-07-02T04:26:36Z,0
8,Ugy6LPM26CiGd6tr_Z54AaABAg,x8eC4MkQnU8,Телеканал Дождь,0,0,Elmira эля,Выключи мозга и делай как я,2020-07-01T22:10:36Z,0
9,UgwVDGNKxsrsGYT2oWt4AaABAg,x8eC4MkQnU8,Телеканал Дождь,0,0,иосиф джугашвили,Гном гномыч это что обнуленный во медицина дает  какой клон удачный,2020-07-01T08:18:42Z,0
10,UgzQm4cbkVdECxa4Exd4AaABAg,x8eC4MkQnU8,Телеканал Дождь,0,0,Денис Полуянцевич,Продажных т... Сразу видно,2020-07-01T05:51:35Z,0
11,Ugw2iTg7wkEwvgWRrIx4AaABAg,x8eC4MkQnU8,Телеканал Дождь,0,0,Serega Nikulin,Проституция их обьеденила,2020-07-01T01:19:46Z,0
12,UgwQoBnxa5iOIG3PS4t4AaABAg,x8eC4MkQnU8,Телеканал Дождь,0,0,Golden Knight,"Чего вы на них накинулись, они малеха поиздержались на изоляции, теперь просто бабки зарабатывают любым способом",2020-06-30T19:42:28Z,0
13,Ugw7OMpfEj70EKur-WJ4AaABAg,x8eC4MkQnU8,Телеканал Дождь,0,0,Nicholas Eastman,"Что значит, не хочет, чтобы разведёночкой стала Россия? Они только и делают, что разводят как лохов.",2020-06-30T17:59:11Z,0
14,UgwG8XKLRTd54d8yHUB4AaABAg,x8eC4MkQnU8,Телеканал Дождь,0,0,Алёна Медведева,"""Не трогайте артистов, проституток и кучеров. Они служат любой власти” .А.В. Колчак",2020-06-30T16:06:38Z,0
15,Ugz3DBfoWc5uPLrVhdN4AaABAg,x8eC4MkQnU8,Телеканал Дождь,0,1,Сакинат А,"Это в гнилой Америке,а у нас безголосые певцы и проститутки диктуют нам,что делать и как жить! Позор нашей фашистской власти! Вы что совсем охр нели? Я в шоке от происходящего.А что будет дальше.......,что теперь уже  внукам скажем????? Мы что все ДЕБИЛЫ?",2020-06-30T11:03:37Z,0
16,UgyqEIs4p6U-M7YkQVN4AaABAg,x8eC4MkQnU8,Телеканал Дождь,0,1,Елена Корнилова,Я ПРОТИВ ОБНУЛЕНИЯ ПРЕЗИДЕНТСКИХ СРОКОВ ❌❌❌,2020-06-29T19:07:23Z,0
17,UgzPsWMdN9tbZOOFKKp4AaABAg,x8eC4MkQnU8,Телеканал Дождь,0,1,Елена Корнилова,Я ПРОТИВ УЗУРПАЦИИ ВЛАСТИ ❌❌❌,2020-06-29T19:07:06Z,0
18,UgzhGIDUpywgSMJFJHR4AaABAg,x8eC4MkQnU8,Телеканал Дождь,0,0,Евгений Пирогов,Безмозглые шуты,2020-06-29T13:49:11Z,0
19,UgymhFvwe86DEY8A6ap4AaABAg,x8eC4MkQnU8,Телеканал Дождь,0,0,Anna Vladimirovna,"Господи, да что с этой страной?? Почему в политику лезут и агитируют за это не понять кто? Не имеющие даже образования, не то, что опыта, а так же банальных знаний того, чьи уже есть в Конституции? Ответ ясен - да считают, что не коснется их отдача, свалят отсюда, подзаработав.
 Дорогие мои, если третье лицо (певичка, моделька, блогер) может повлиять на ваше мнение и действия, которые повлияют на конкретно ваше будущее, то, блин, это страшно! А ещё страшно то, что для, вроде как не бедных в принципе людей, деньги не пахнут - пипл схавает, так ведь?",2020-06-29T07:18:06Z,0
