,id,videoId,authorVideoName,totalReplyCount,likeCount,authorDisplayName,textDisplay,publishedAt,isReply
0,UgwIe9AMoCKrVcPjMQB4AaABAg,x8xisJY4KrE,Телеканал Дождь,14,130,Телеканал Дождь,"0:00 – Алексей Пивоваров – гость передачи «Еще не вечер»
0:58 – О самоизоляции
4:10 – Как шли переговоры с Марией Захаровой о дебатах?
6:32 – О дебатах Собчак и Соболь
8:54 – О переходе на Youtube и ощущениях от работы с площадкой
13:20 – Возможна ли в «Редакции» цензура?
19:15 – Об интервью с Рамзаном Кадыровым
22:34 – Почему закрыли въезд в Украину?
26:44 – Возникнут ли в рамках «Редакции» новые форматы?
29:04 – Об отношении к работе на НТВ: тогда и сейчас
31:05 – Есть ли желание снять фильм про НТВ?
36:19 – Почему «Редакция» проигнорировала Шиес? 
39:16 – Насколько принципиально, кому принадлежит медиа?
42:34 – Какой выпуск «Редакции» нравится больше всего?
45:46 – Проект «Срок» возможен сегодня?
49:35 – Предлагали ли купить «Редакцию»?",2020-05-18T16:41:01Z,0
1,UgxKl7Bt2Dv6Fxo_v7Z4AaABAg,x8xisJY4KrE,Телеканал Дождь,0,1,Dmitry Valentinov,А он то куда? В либерду перекрасился что-ли?,2020-07-01T20:56:38Z,0
2,UgwPnS_u-0WGyYS-vNd4AaABAg,x8xisJY4KrE,Телеканал Дождь,0,0,Inessa Rubin,"Тихон и Алексей- оба умные, благородные люди. ещё когда RTVI начал леветь видно было что Алексей Пивоваров более благородный и независимо думающий чем другие, «оголтелые» пропагандисты как например Катерина Катрикадзе. Сейчас RTVI,  к сожалению, слушать почти невозможно. Рада узнать,  что Алексей имеет свой YouTube канал- нашла, подписалась, послушаю. Тихон нравился ещё на RTVI, рада что он перешёл на дождь- ему доверяю, слушаю. Кстати, я не троль, а живой человек из Канады, 30 лет назад уехали ещё из СССР. Спасибо,  Тихон и Алексей.",2020-06-22T23:08:20Z,0
3,UgzXah514YlbneBg4LB4AaABAg,x8xisJY4KrE,Телеканал Дождь,0,0,Отец русской Демократии,В редакции есть цензура. И выпуск с норникелем тому подтверждение,2020-06-17T18:58:33Z,0
4,Ugw6k3C-uVtB2_qQr6t4AaABAg,x8xisJY4KrE,Телеканал Дождь,0,0,mario1ua,"Тихон красавчик, настолько грамотньій ведущий.",2020-06-16T22:18:10Z,0
5,Ugyj-MfRY2RV1jeb0iV4AaABAg,x8xisJY4KrE,Телеканал Дождь,0,0,ACM Region,Типо помолился и все прошло.(нтв) Скользкий тип и нашим и вашим.,2020-06-15T18:18:53Z,0
6,UgxjbCPEUc8JC9GyTqV4AaABAg,x8xisJY4KrE,Телеканал Дождь,0,0,Alxesp Esp,неоднократно доказал свою продажность - посмотрите хотя бы его фильм про Курск!,2020-06-14T05:59:22Z,0
7,UgxjqmljNMaaHtSzX-B4AaABAg,x8xisJY4KrE,Телеканал Дождь,0,0,андрей козлов,"Питоваров и ""редакция"" прогондоны пукина....больше вам не верю и не смотрю....шлюшки",2020-06-13T22:02:07Z,0
8,UgzaMvK9Xg8T0ajjAVN4AaABAg,x8xisJY4KrE,Телеканал Дождь,0,0,Валерий Валерьев,Тихон взадкоф? ),2020-06-12T17:42:29Z,0
9,UgxTKgN212KbPxbvHEh4AaABAg,x8xisJY4KrE,Телеканал Дождь,0,0,Vitaly Vasilyev,Дизлайк за Пивоварова,2020-06-12T15:03:55Z,0
