,id,videoId,authorVideoName,totalReplyCount,likeCount,authorDisplayName,textDisplay,publishedAt,isReply
0,Ugw-S_Sd8HzhfzgxvJx4AaABAg,xFOu97tzxiA,Навальный LIVE,57,203,Навальный LIVE,"Кампания «Пять шагов для России»: https://5steps.vote
Петиция во «ВКонтакте»: https://vk.com/app6890792#p=49738
Петиция на Сhange.org: https://change.org/5stepsvote

Станьте нашим спонсором: https://youtube.com/channel/UCgxTPTFbIbCWfTR9I2-5SeQ/join

Смотрите полный выпуск программы Алексея Навального #РоссияБудущего от 11 июня: https://youtu.be/A9mny08uI8s",2020-06-12T00:52:37Z,0
1,UgyJjLnlPZYh21CuiMF4AaABAg,xFOu97tzxiA,Навальный LIVE,0,0,Анна Александрова,АЛЬЕША!!!!! )),2020-07-01T18:29:29Z,0
2,UgzLFPkWX-izx9gVbqJ4AaABAg,xFOu97tzxiA,Навальный LIVE,0,0,Владимир Инкогнито,НУЖНО ВВЕСТИ ЗАКОН -ДЛЯ ЛИЦ ПУБЛИКИ- ВЛАСТИ -ДЕТЕЙ МАЖОРОВ и т. д.-и т. п.-ПЕРЕДВИЖЕНИЕ ТОЛЬКО СТРОГО С ЛИЧНЫМ ВОДИТЕЛЕМ пишу так как профи на виделся,2020-06-30T12:36:21Z,0
3,UgzuOOBZsULeKIYnEr94AaABAg,xFOu97tzxiA,Навальный LIVE,0,0,Sergi O,"Меня удивляет , Но Ефремов быдло , в понимании богемы быдло мы , это упоротое чудовище разве не было ...",2020-06-29T07:58:09Z,0
4,UgzaelTAHnirjLrrxet4AaABAg,xFOu97tzxiA,Навальный LIVE,0,0,Анастасия Хижняк,"Какой Соловьев неприятный, гадкий, зачем его вобще показывают если он вызывает только отвращение",2020-06-28T10:32:45Z,0
5,Ugw9qI4EFM2Trr5b_914AaABAg,xFOu97tzxiA,Навальный LIVE,0,0,Žanete Šēriña,"Дакажите, что Ефремов сидел за рулём !",2020-06-27T21:00:40Z,0
6,UgxLq00SacLPzB782Ox4AaABAg,xFOu97tzxiA,Навальный LIVE,0,0,Kira K,От вас я такого точно не ожидала. Вы же юрист. А где презумпция невиновности? Вы видели как он выходит из машины??,2020-06-27T15:53:34Z,0
7,Ugx0qXgCEf6Cz9p5B_J4AaABAg,xFOu97tzxiA,Навальный LIVE,0,0,Елена Елена,"Единственная цель потомственного алкаша Ефремова и его дружков-собутыльников ,это КРАСИВО отмазаться от срока. В дело пойдет все: плохое здоровье, сломанная машина, многодетность алкаша, его заслуги перед Родиной, подставы властей , необходимость сесть за руль в наркотическом опьянении для срочного спасения младенца из пылающего дома. ""Дружки"" убийцы стараются пришить к делу происки властей, в связи с опозицыонной направленностью бывшего артиста Ефремова, но стоит ли убивать существо, ползущее на фамильный некрополь с бутылкой в одной руке и понюшкой кокаина в другой? Посмотрите на эту наглую, лживую и циничную рожу, прикрывающуюся маской ""доброго малого"". Сплошное лицемерие и ложь.",2020-06-26T14:30:50Z,0
8,UgwwpFtxtjqxI-4mhpd4AaABAg,xFOu97tzxiA,Навальный LIVE,0,0,Алла Федорова,То то,2020-06-26T12:47:27Z,0
9,Ugy8hhPC2kHLhORD8954AaABAg,xFOu97tzxiA,Навальный LIVE,0,0,андрей лошкарев,"Да он действительно  как будто проснулся ,не ссадин ,где подушки ,,при таком ударе вылетилбы а на ремнях застрял бы,сам    бы не вышлем ,видео нет ,как вылазел хорошая подстава .Читал про Путина ,вот ему эти крысы и устроили а Навальный как и все прежде чем тёрки устраивать надо обстоятельства учитывать",2020-06-26T03:51:06Z,0
10,UgzAd33UBePlmPDFrgl4AaABAg,xFOu97tzxiA,Навальный LIVE,0,0,Ирина Михайловна,"Не устану повторять : ""Рыба тухнет с головы! "" А Голова настолько продажна,что на местах каждый чиновник думает : "" А я-то чем хуже их ? "" И хапает, хапает, хапает ! Продажно и прогнило все : юриспруденция,образование, медицина,ЖКХ - катастрофа, РЖД - катастрофа( по России не попутешествуешь,цены на билеты опять же только для них,миллионеров).На эту тему,кстати у Ефремова есть очень острый номер.Смысл,примерно, такой: ""Мне-то зачем гордиться такой громадиной, как Россия,если я не могу поехать посмотреть ее ни на Север, ни на Дальний Восток, ни на Байкал и т.д. и т.п.""  Далее: школы - нищие,с бедных родителей поборы,детсадики - нищие,с родителей поборы(при этом все директора - воры).МФЦ - Ужас Ужасов:такая дикая бюрократия! Простой семье ничего не возможно добиться.Очень больным детям ничем не в состоянии помочь: опять с протянутой рукой к народу  - надо 2 000 О00 рублей .ПОЗОР такому Правительству !!! Гнать поганой метлой ! ! ! Ох,расстроилась .....",2020-06-26T02:28:10Z,0
11,Ugy6kn9ZZ3X_kRLXvFR4AaABAg,xFOu97tzxiA,Навальный LIVE,0,0,Сергей Трофимов,Хороший либерал это мёртвый либерал!,2020-06-26T00:59:58Z,0
12,UgzpD9DAuwG_sS-mWRV4AaABAg,xFOu97tzxiA,Навальный LIVE,0,0,Мила Линская,"Навальный не бреши, кто его ненавидит? Нормальные люди его просто не слушают,   что может толкового сказать смрадный мужик, чтобы стоило его слушать, сплошной срач по образу и подобию своему.",2020-06-25T12:25:26Z,0
