,id,videoId,authorVideoName,totalReplyCount,likeCount,authorDisplayName,textDisplay,publishedAt,isReply
0,UgxD4oFLC9wiSALkYJB4AaABAg,xU35_3a-91k,Максим Кац,0,0,railwaysband raylwaysband,"В 95м был проход техники по кутузону, пролёт авиации над поклонной горой. Я лично на вылетах в кубинке был.",2020-07-03T09:51:15Z,0
1,UgwHG80nzspejZpSZ7F4AaABAg,xU35_3a-91k,Максим Кац,0,0,Zhenya Nikolaev,Ролики в которых автор говорит без своего субъективного мнения отличные. А когда начинается это- смотеть противно.,2020-07-03T08:35:08Z,0
2,UgwE-CZ7w3VA-GTfqE14AaABAg,xU35_3a-91k,Максим Кац,0,0,Николай Овчинников,Спасибо!,2020-06-29T10:08:24Z,0
3,Ugzs72BlMcfPkGizdJR4AaABAg,xU35_3a-91k,Максим Кац,0,1,z d,"Каждый раз, когда кто-то говорит о Великой отечественной войне и о 9 мая, вспоминаю потрясающую книгу Николая Никулина 'Воспоминания о войне'. Искусствовед из Эрмитажа, прошедший всю войну, но, кстати, считающий, что это скорее случайность, чем закономерность, написал уже в 70-х свои воспоминания. И одной из причин называл как раз тот факт, что именно при Брежневе начали усиленно раздавать медали за всякие 'победы', чествовать тех, кто к войне не имел никакого отношения (сидел в тылу, в загранотряде, был политработником, давал приказы, стрелял себе в ногу, чтобы отлежаться в госпитале) и также началась вся эта героизация и пляски с бубном. Хотя в самом начале, после окончания войны, люди наоборот пытались забыть эти жуткие воспоминания и научиться жить заново. Там же он рассказывает, как отправляли на бессмысленную бойню миллионы людей, многих из которых до сих числятся пропавшими без вести. О том, что всех погибших до сих пор не посчитали. Об отношении к инвалидам - ветеранам войны, которых собрали и вывезли куда-то за Урал, чтобы не портили своим видом города и не попрошайничали. И о том, что когда наконец рассекретят архивы, мы узнаем много интересного о командирах, победах и тех, кто действительно внёс вклад в победу. Но Путин через 75 лет подписал снова указ о сохранении грифа секретности...правда невыгодна власти до сих пор",2020-06-24T11:04:04Z,0
4,UgwVzYrniBecYLYUhLB4AaABAg,xU35_3a-91k,Максим Кац,0,1,RussiAndrey,Отменить надо 9 мая,2020-06-24T09:45:38Z,0
5,UgyXYePv88KvsqQQZWZ4AaABAg,xU35_3a-91k,Максим Кац,0,3,Setra,"В комментариях, как обычно, лютая падаль, всё про Гитлера своего любимого, Украину, даже в двадцатом году всё равно жить без неё не могут, фашистов (какая разница, с кем воевали-то? Фашисты, нацисты, монархисты, коммунисты, онанисты - всё ведь одно и то же, да?)0)... 
Мне иногда кажется, что у таких людей предки с генералом Власовым на одной стороне воевали.",2020-06-23T08:53:24Z,0
6,Ugz5H0g-uG_7auiRUw94AaABAg,xU35_3a-91k,Максим Кац,1,0,Вадим Кирсанов,"На Украине ведь, вроде, отменили парад?",2020-06-20T07:39:54Z,0
7,Ugz5H0g-uG_7auiRUw94AaABAg.9A71XZRPMZx9A8EuBTWcMM,xU35_3a-91k,Максим Кац,0,1,S Gal,Зачем им парад? Им парад не нужен. Они солидаризировались с нациками.,2020-06-20T18:55:57Z,1
8,UgxG3WfeNGwKzK7i_jp4AaABAg,xU35_3a-91k,Максим Кац,1,0,Spidercat,"У нас во Владивостоке уже несколько репетиций этого никому не всравшегося парада прошло. Ради этого перекрывают главную улицу, и все люди, которым в это время надо на работу, идут наxep. Зато военные показали, какая у них большая пипися.",2020-06-20T02:40:57Z,0
9,UgxG3WfeNGwKzK7i_jp4AaABAg.9A6VK22X3sb9AJqe005pd1,xU35_3a-91k,Максим Кац,0,0,Александр Скрипачев,"Вот это первые шаги: отказаться от нашей истории и пренебрежительно относится к ветеранам. Но ведь мы не только проводим парад, мы дарим цветы нашим ветеранам, мы смотрим на них с уважением, согласись что они это заслужили! Парад это символ, напоминание, о тех зверствах что творили фашисты, если мы это забудем, то это непременно снова повторится. А теперь подумай для чего он высмеивает наш парад, проводится он раз в год, это выходной день, то есть некому он мешать не должен, ""ДЛЯ ЧЕГО?!"" Не думай что я защищаю Путина и т.д, я презираю нашего президента, я защищаю не Путина, а нашу память и наших ветеранов!",2020-06-25T07:06:11Z,1
10,UgyA5vKwBp0H3AXfHyV4AaABAg,xU35_3a-91k,Максим Кац,0,0,Ilya Fursa,"Нет, в таком виде как сейчас парад победы это инструмент пропаганды и власти полностью присвоили себе заслуги миллионов людей, положивших свои жизни ради победы. Власти уничтожили святость этого праздника",2020-06-19T23:17:35Z,0
