,id,videoId,authorVideoName,totalReplyCount,likeCount,authorDisplayName,textDisplay,publishedAt,isReply
0,UgycnVxcXCiXSd7VklR4AaABAg,xYltzmQoiL4,Телеканал Дождь,0,0,Любовь Катлеренко,"Корреспондннты едут уже не по Сочи! 29 февраля 2020 года вся эта территория вместе со всеми олимпийскими обьектами была от Сочи отчуждена! Создана новая административно-территориальная единица - город Сириус! Даже многие сочинцы об этой тайной акции не знают. Живут в одном, а работают уже в другом городе!!!!!!",2020-06-30T14:42:23Z,0
1,UgwHSEBQIvnZhfCM6Hp4AaABAg,xYltzmQoiL4,Телеканал Дождь,0,0,Мозяка Мозякин,А что вы хотели? Приехать и жить за 200 рублей чтоб все включено было? В нашей стране уже давно нет таких цен! Где есть прибыль тут же появляются халявщики готовые задушить твой бизнес если не дашь на лапу! Вот и по этому цены такие у нас в стране! Вы же голосовали за такую жизнь так что не нойте!,2020-06-29T18:17:11Z,0
2,UgyYR1DEzSaMdrXFqOB4AaABAg,xYltzmQoiL4,Телеканал Дождь,0,0,Gugo Poitie,"Нет, объясните мне, если весь краснодарский край настолько заинтересован в окончании пандемии, почему все без масок? Почему все пренебрегают  санитайзерами  и социальной дистанцией? Почему такое легкомысленное отношение к пандемии? Да вы преступники по отношению к народу и к своему бизнесу!",2020-06-28T21:44:22Z,0
3,UgyYtAfxnI5cHEF6IMl4AaABAg,xYltzmQoiL4,Телеканал Дождь,0,0,Дмитрий Чалый,"А Вы Мария, как и большинстао нынешних россиян, очень  ""добродушные"", умеете ""сочувствовать""!",2020-06-28T07:35:15Z,0
4,Ugyz8zoNyLoY0zuXxDp4AaABAg,xYltzmQoiL4,Телеканал Дождь,0,0,Оля Яло,"Это ВОЙНА,  бред, бред, бред... дожили...",2020-06-28T04:03:45Z,0
5,UgwqDglmdB1uk3DmuKp4AaABAg,xYltzmQoiL4,Телеканал Дождь,0,0,Pablito,"Какая нах Красная Поляна, если рядом душевная человеческая Грузия Гудаури",2020-06-27T15:01:41Z,0
6,UgwofGYz_7DCoQ8SPth4AaABAg,xYltzmQoiL4,Телеканал Дождь,0,0,малиновый зелёный клин,"Приедут, граница на замке",2020-06-27T10:30:08Z,0
7,UgynOCWSGfEVdNMywwN4AaABAg,xYltzmQoiL4,Телеканал Дождь,0,0,Ирина Зотова,ЦЕНЫ.ЗАОБЛАЧНЫЕ А СЕРВИС НИЗКОПАШИБНЫЙ ЭТО СРЕДНИЙ КЛАСС'    ' А ЗА ГРАНИЦЕЙ УРОВЕНЬ ПРИЕМА ГОСТЕЙ НАМНОГО ВЫШЕ А ЦЕНЫ НАМНОГО НИЖЕ!!!! А НАШИМ   ВСЕ МАЛО'''    ',2020-06-27T09:55:15Z,0
8,UgxDA7KSmodSK4Z5Jzt4AaABAg,xYltzmQoiL4,Телеканал Дождь,0,1,Артем Юрьев,Летали вдвоем!Один перелет что стоит) В 2019 Москва Сочи Сочи Москва авиакомпанией победа 37т.р проживание на 14 календарных дней составило 73т.р потратили на себя 40т.р Не дешево далеко не дешево,2020-06-26T12:41:56Z,0
9,Ugyq2C202TCIJoxFaUl4AaABAg,xYltzmQoiL4,Телеканал Дождь,0,0,Алексей,Канал брехни !!!,2020-06-26T09:16:47Z,0
10,UgzJuJmMfgs9Pq66tpl4AaABAg,xYltzmQoiL4,Телеканал Дождь,0,1,Лейла Медведева,"Они цены задрали в 3 раза! Вот пусть думают, надо цены адекватные делать, что бы привлечь туристов. Пусть ждут своих иностранцев....",2020-06-26T06:54:01Z,0
11,UgyE9pOrt6XSRmEqw_h4AaABAg,xYltzmQoiL4,Телеканал Дождь,0,0,MrAmadey,А в Крыму нормалёк ;),2020-06-25T12:25:45Z,0
