,id,videoId,authorVideoName,totalReplyCount,likeCount,authorDisplayName,textDisplay,publishedAt,isReply
0,Ugz3lNZXxWrN4KwvqMV4AaABAg,yMlbVCX-Df4,Навальный LIVE,0,0,rustak rustakov,Клоун в очках,2020-06-30T21:15:49Z,0
1,Ugzh-08eOe9UElxAIZx4AaABAg,yMlbVCX-Df4,Навальный LIVE,0,0,Denia Selihov,Мусоров не жалко,2020-06-28T01:42:58Z,0
2,Ugz0z3bV2wB1FrFcMiR4AaABAg,yMlbVCX-Df4,Навальный LIVE,0,0,Григорий Котов,Наш девиз ни одного голоса в пользу обнуления Путина❌,2020-06-26T23:18:52Z,0
3,Ugy_hxkS06YD3r9c8Pp4AaABAg,yMlbVCX-Df4,Навальный LIVE,0,1,Олег Лялин,Рен-тв продажные мрази!!!,2020-06-25T16:48:47Z,0
4,UgzQbLhOmfcTbvMzCdh4AaABAg,yMlbVCX-Df4,Навальный LIVE,0,1,Олег Лялин,А ворюга-едрос Шапошников никого не интересует!!!,2020-06-25T16:47:12Z,0
5,UgwpfDjpD0AFR_-W9gl4AaABAg,yMlbVCX-Df4,Навальный LIVE,0,1,Олег Лялин,А чо колокольцев авиацию и флот не задействовал?!,2020-06-25T16:42:50Z,0
6,UgwART47BGFQ5eHjabV4AaABAg,yMlbVCX-Df4,Навальный LIVE,0,1,Олег Лялин,"Спасибо полицаям, теперь у хунты 500 000 врагов, подписчиков Воронцова!!!",2020-06-25T16:37:06Z,0
7,UgxcvxeX7fJCrv0aSKV4AaABAg,yMlbVCX-Df4,Навальный LIVE,0,0,Olya Bezkontrolya,"ППСник он и есть ППСник! Правильно закрыли, это же такая же instaняша с полицейским уклоном!",2020-06-25T16:37:04Z,0
8,UgyTp8f7U69bDhtkS3R4AaABAg,yMlbVCX-Df4,Навальный LIVE,0,1,Олег Лялин,Эскадроны смерти плешивого!!!,2020-06-25T16:27:57Z,0
9,UgyJqZbH_7jryjIaqUt4AaABAg,yMlbVCX-Df4,Навальный LIVE,0,1,Олег Лялин,Хунта моли!!!,2020-06-25T16:27:17Z,0
10,Ugw-ki1ljPgoz2U6Wnd4AaABAg,yMlbVCX-Df4,Навальный LIVE,0,1,Jack Black,Без обсценной лексики трудно комментировать происходящее в стране.,2020-06-19T20:53:50Z,0
11,UgzQD6Q6QsXdEYFNj5l4AaABAg,yMlbVCX-Df4,Навальный LIVE,0,0,Sergey K,+100500 лайков за такую инфу!!!! Сменим власть все ответят за беспредел.,2020-06-18T11:53:22Z,0
12,UgwToEGmVGpCYX0yLml4AaABAg,yMlbVCX-Df4,Навальный LIVE,0,0,Леонид,Какая же красивая грудь у Любы !,2020-06-17T16:56:17Z,0
13,Ugwqnx91bzKpDn_eG414AaABAg,yMlbVCX-Df4,Навальный LIVE,0,1,Золото Партии,у Любы там красивые тити и я почти ничего не понял из-за этого)),2020-06-11T14:50:26Z,0
14,UgwsqI1JjjeONzg4MR54AaABAg,yMlbVCX-Df4,Навальный LIVE,0,0,Стас Kont,"а правда, что А. Навальный, как фюрер????????????????????",2020-06-10T07:14:43Z,0
15,Ugyoi7NW2ppYbwHxJpt4AaABAg,yMlbVCX-Df4,Навальный LIVE,0,0,Сергей Коловрат,80%замурованых людей по сфабрикованным и раздутым уг. Делам,2020-06-09T20:36:30Z,0
16,UgyVNGzLDAy3mVxB51R4AaABAg,yMlbVCX-Df4,Навальный LIVE,0,0,Тепанов Сергей,Еьо иха жизнь развлекательная,2020-06-09T17:21:23Z,0
17,Ugwz5I7ZhKqFIQO4XFJ4AaABAg,yMlbVCX-Df4,Навальный LIVE,0,0,Тепанов Сергей,"Мутно тут ,как всегда с милиционейрами",2020-06-09T17:20:09Z,0
18,UgwBpC_2SRJWur8tiC14AaABAg,yMlbVCX-Df4,Навальный LIVE,0,0,Тепанов Сергей,То есть не понимаю,2020-06-09T17:18:03Z,0
19,UgwGdrK0pHy5-FDu3s54AaABAg,yMlbVCX-Df4,Навальный LIVE,0,0,Тепанов Сергей,"Путину тигров было жолко. Или вас используют,иль тупите, или я тупить",2020-06-09T17:17:16Z,0
20,UgwfatLfrfxj70RoHX14AaABAg,yMlbVCX-Df4,Навальный LIVE,0,0,Тепанов Сергей,Полиция работает неееее зааа идею,2020-06-09T17:06:27Z,0
21,Ugyd95mlQJuLM3eapNV4AaABAg,yMlbVCX-Df4,Навальный LIVE,0,0,Тепанов Сергей,"Не полица -это ясно.им тяжело.апролетариат? А ети обслуживающие? Люба, если про народ, то обоусех. Чей то косячихте",2020-06-09T17:04:07Z,0
22,UgxmYz76x3PrZF4jdMx4AaABAg,yMlbVCX-Df4,Навальный LIVE,0,0,Макс Саушкин,Нет жаль конечно Вовку...но он реально зажрался последние моменты,2020-06-09T12:38:49Z,0
23,Ugy058Pbh_5YRCYOjQ94AaABAg,yMlbVCX-Df4,Навальный LIVE,0,0,Тюменец,Соболь - это животное! Где же твоё видео про погромы и волнения в твоей настоящей Родине? В той стране которой вы все продались? Где гневный ролик про пьяную быдлятину? Про твоего друга Ефремова? Или на эту правду у тебя запрет?,2020-06-09T10:12:36Z,0
24,UgwBCfxH3wlK6TiIExB4AaABAg,yMlbVCX-Df4,Навальный LIVE,0,0,Vlad Kh,"А почему законнопослушный,  ничего не сделавший человек, просто дверь не открыл?",2020-06-08T21:54:37Z,0
25,UgzkVKK5EdlrdalpmHJ4AaABAg,yMlbVCX-Df4,Навальный LIVE,0,0,Al Ko,"Хорошо, что при ""штурме"" никто из спецназа с балкона не сорвался....",2020-06-08T17:03:03Z,0
26,Ugyb5Sv6d3LC9_QAMvF4AaABAg,yMlbVCX-Df4,Навальный LIVE,0,0,Di MaX,Свободу Воронцову!!! Когда же всё будет хорошо в нашей стране?,2020-06-07T23:25:39Z,0
27,UgxZKuHwzx3aNF4LpVd4AaABAg,yMlbVCX-Df4,Навальный LIVE,0,0,Большая Конференция,Хватит боятся! Терять нечего!!!,2020-06-07T16:29:40Z,0
28,UgzXvFlaxYGrtKwrqMB4AaABAg,yMlbVCX-Df4,Навальный LIVE,0,0,Андрей Шаталов,Позор,2020-06-07T11:09:11Z,0
29,UgxYNEXAKUOttUpKa5Z4AaABAg,yMlbVCX-Df4,Навальный LIVE,0,1,Поколен Борода,"Зачем помогать этому омбудсмену, если ему сама полиция не может помочь? Пусть его посадка покажет, что полиция терпилы и их можно как терпил.",2020-06-07T10:52:56Z,0
30,Ugze-m9LeQhrFYoFQYR4AaABAg,yMlbVCX-Df4,Навальный LIVE,0,0,Дмитрий Садиков,Вор должен сидеть в тюрьме!!!,2020-06-07T07:23:13Z,0
31,UgxLG8YSBQA8KMx9gh14AaABAg,yMlbVCX-Df4,Навальный LIVE,0,0,LEVEN,"Любовь, что происходит .. с голосом что или почему полушепотом😆",2020-06-07T06:50:08Z,0
32,UgzwX5vMAsEOaTjookF4AaABAg,yMlbVCX-Df4,Навальный LIVE,0,0,Король Стах,Любовь вы супер,2020-06-07T06:49:54Z,0
33,UgzhWixe7DLvRaZt1nh4AaABAg,yMlbVCX-Df4,Навальный LIVE,0,0,Кристина Крис,Про фото с секс игрушками - не поняла. Зачем он его публиковал?),2020-06-07T06:21:28Z,0
34,Ugwb9DSNhshK1GIzy6d4AaABAg,yMlbVCX-Df4,Навальный LIVE,0,0,Диман Форма,🤦‍♂️ конспирология долбанная,2020-06-07T03:01:59Z,0
35,Ugwp5-uFf6dsC2RH02x4AaABAg,yMlbVCX-Df4,Навальный LIVE,0,0,Дмитрий Бурмистров,Политрук не прав ))),2020-06-06T20:55:40Z,0
36,UgwSU1KrJ3JNCn9U5Fp4AaABAg,yMlbVCX-Df4,Навальный LIVE,0,0,Дмитрий Бурмистров,Дубина Да хорош эту хрень гнать.....,2020-06-06T20:42:20Z,0
37,Ugz_wGwRgonsccGEeg14AaABAg,yMlbVCX-Df4,Навальный LIVE,0,0,helenkurdin,"Я о своем, о девичьем. О голосовании за попровки в Конституцию. Обязательно приходить и голосовать против, раз нет порога явки. Чем больше противников изменений не придет, тем больше будет процент проголосовавших за. Если все, кто против непутевого, останутся дома, а все, кто за него, естественно, проголосуют, то одобрение будет 100%.  В СЛУЧАЕ ОТСУТСТВИЯ ПОРОГА ЯВКИ ГОЛОСОВАНИЕ ОБЯЗАТЕЛЬНО.",2020-06-06T19:45:41Z,0
