,id,videoId,authorVideoName,totalReplyCount,likeCount,authorDisplayName,textDisplay,publishedAt,isReply
0,UgybXSX30WdGfkw_3Yp4AaABAg,zs6vlEdZ1nQ,Навальный LIVE,57,407,Навальный LIVE,Полный текст выпуска читайте здесь: https://docs.google.com/document/d/1m21XI7E29EM1UyvYfEK9aRCnf-TZCWrc3pUMtdyhfko/edit,2020-05-13T20:39:51Z,0
1,Ugx_Kp1fRlvxIcAmgQZ4AaABAg,zs6vlEdZ1nQ,Навальный LIVE,0,0,Алексей Дюжев,а люба клёвая!,2020-06-24T17:46:14Z,0
2,UgwprPkgfa5YxMAsR9d4AaABAg,zs6vlEdZ1nQ,Навальный LIVE,0,0,Иван Петрович,А через СМС можно?,2020-05-30T14:03:33Z,0
3,Ugyh2Hhh-rW0hMwJRDJ4AaABAg,zs6vlEdZ1nQ,Навальный LIVE,0,0,Сергей Черкинский,"Идиоты со значками !
И они за нас решают ,как нам жить !",2020-05-27T07:58:56Z,0
4,Ugw9puhGHN28zC8k6aB4AaABAg,zs6vlEdZ1nQ,Навальный LIVE,0,0,Сергей Черкинский,"Питер не лучше Москвы .
Плодят сволоче ,как из бездонного колодца !",2020-05-27T07:57:21Z,0
5,UgyD8wpUSdSd_PhmlBJ4AaABAg,zs6vlEdZ1nQ,Навальный LIVE,0,0,Юрий Иваныч,Голосовать против??? Теперь это уже не актуально... голосуй не голосуй... ййй.,2020-05-23T17:49:15Z,0
6,UgyOyzaPDDEpWGvABgB4AaABAg,zs6vlEdZ1nQ,Навальный LIVE,0,0,Юрий Иваныч,"Главный шулер решил сам устанавливать правила игры. Раньше был хоть и дерьмовый, но президент, остался насквозь лживый узурпатор.",2020-05-23T17:43:49Z,0
7,UgzG6XPL1t-4U23Vs594AaABAg,zs6vlEdZ1nQ,Навальный LIVE,0,0,Дмитрий Магай,Могу восстановить свои паспорт ссср? Т. К. В международном и т д. Признают!,2020-05-21T20:49:04Z,0
8,UgxffbVzME5Uo8RrmIt4AaABAg,zs6vlEdZ1nQ,Навальный LIVE,0,0,Алена Петрова,"Эллочка давно продала свою душу дьяволу, а  также и души своих близких родственников.",2020-05-20T08:26:00Z,0
9,Ugx5R-kJ9PySc1kPk_h4AaABAg,zs6vlEdZ1nQ,Навальный LIVE,0,0,Максим Осипов,"Такое чувство что соболь пытается объяснить что то олигофренам, такая наигранность в голосе.
Перестань кривляться и нормально говори",2020-05-19T19:44:36Z,0
10,Ugyj5gYPEob4nDavQi54AaABAg,zs6vlEdZ1nQ,Навальный LIVE,0,0,Василий Шариков,Тем а сисек не раскрыта не интересно,2020-05-19T18:38:24Z,0
11,Ugw93j-2xbf-xiX9wgh4AaABAg,zs6vlEdZ1nQ,Навальный LIVE,0,0,Farrukh Ismoilov,"Мне кажется пора признать ОПОЗИЦИИ, что это все пустая трата времени....",2020-05-18T23:08:29Z,0
12,UgxhdByLg6dwe4lJAyh4AaABAg,zs6vlEdZ1nQ,Навальный LIVE,0,0,Romashka 4590,В России давно уже нету выборов они отсутствуют 👍🏼,2020-05-18T13:39:30Z,0
13,UgzlYch12UlguwupGqd4AaABAg,zs6vlEdZ1nQ,Навальный LIVE,0,0,Евгений Сибилев,"Если говорить о раздаче масок,то не раздают ни потому что хотят сэкономить,а потому что хотят ЗАРАБОТАТЬ,кто там у нас нынче монополист по производству масок?🤔",2020-05-18T02:56:31Z,0
14,UgxZ3MnWLuqVpmTws4d4AaABAg,zs6vlEdZ1nQ,Навальный LIVE,0,0,ivan veselovsky,"отлично. только я бы назвал программу ""по яйцам"".",2020-05-17T18:16:16Z,0
15,UgwF3mmSKhITOwNd73p4AaABAg,zs6vlEdZ1nQ,Навальный LIVE,0,0,Сергей Луговских,И всё такое шлют.,2020-05-17T13:48:29Z,0
