,id,title,publishedAt,channelTitle,viewCount,likeCount,dislikeCount,commentCount
19,ECKrG5y39n4,Новости из 2036 года - Назад в будущее. Премьера программы «Навсегда»,2020-06-25T15:43:55Z,Телеканал Дождь,731531,46006,1292,4689
20,RDl-c_6Q_NI,"По Конституции можно проголосовать дважды: сперва на участке, затем — электронно. Показываем как",2020-06-25T08:45:30Z,Телеканал Дождь,521794,30956,1320,6258
21,bW-mSkD4TiU,Чеченца подозревают в убийстве жены за покупку телевизора // Здесь и сейчас,2020-06-24T18:51:47Z,Телеканал Дождь,764907,14003,1037,9562
22,9RpzTNTnMt4,Парад Победы 2020 на Красной Площади. Москва 24 июня 2020 года.,2020-06-24T09:56:02Z,Телеканал Дождь,1288353,10114,20193,4551
23,_zHYrHjnxRc,Максим Виторган: В 2012 году был смысл идти голосовать. Зачем это делать сейчас — я не понимаю,2020-06-24T08:42:52Z,Телеканал Дождь,113631,2654,384,610
24,3Eatcl5_t9k,Нет времени на раскачку! В Москве открылись фитнес-клубы и рестораны // Здесь и сейчас,2020-06-23T19:18:39Z,Телеканал Дождь,29339,737,154,151
25,OoF0c2SQjqM,Обращение Владимира Путина 23 июня 2020. Смотрим и обсуждаем с экспертами // Дождь,2020-06-23T15:37:42Z,Телеканал Дождь,472720,5025,21163,3074
26,rHlZB_-nRWU,Второе обращение Невладимира Невладимировича Непутина к народу,2020-06-23T12:23:14Z,Телеканал Дождь,3060461,251062,14069,57128
27,BZQoLE2QrUc,"Иван Ургант про Володьку, Опру, работу на Первом канале, Андрея Малахова  и себя",2020-06-23T08:00:03Z,Телеканал Дождь,223627,4331,1596,648
28,oHHUHSDq2hQ,Шесть лет колонии для Кирилла Серебренникова запросил прокурор // Здесь и сейчас,2020-06-22T17:59:00Z,Телеканал Дождь,67301,2004,75,586
29,mXcFVlxe-jg,"Евгений Киселев о Путине-хулигане, плане Б для Украины, проекте в YouTubе и (не)возвращении в Россию",2020-06-22T16:06:29Z,Телеканал Дождь,339574,7489,826,986
30,Ccfo0UlULd4,"Парад Победы приближали, как могли. Зачем Владимир Путин переписывает историю|Мнение Михаила Фишмана",2020-06-21T08:00:02Z,Телеканал Дождь,514884,15311,1402,2528
31,5My6jw7CBhw,Москву затопило. «Нужна программа „Моя канализация“ вместо „Моей улицы“». В чем причина затоплений,2020-06-20T20:19:21Z,Телеканал Дождь,462137,12662,560,3332
32,x8eC4MkQnU8,Как любовь к Конституции объединила весь российский шоу-бизнес и Гном Гномыча // Репортаж Дождя,2020-06-19T12:12:17Z,Телеканал Дождь,596493,15988,659,2518
33,lndjonr8qJw,Как власть использует ветеранов для атаки на оппозицию. Колонка Юлии Таратуты,2020-06-19T09:02:32Z,Телеканал Дождь,116207,7485,173,1443
34,9VaKhz7561E,"Расследование Дождя: полиция приехала за журналистом Антоном Баевым, Песков и Скабеева все отрицают",2020-06-18T16:12:32Z,Телеканал Дождь,208569,10894,210,1389
35,uN3JpsRPSRI,Фейковые списки на онлайн голосовании. Продолжение расследования Дождя,2020-06-17T18:13:17Z,Телеканал Дождь,151796,8436,118,1268
36,Uk9e8iDUN9I,Дождь узнал о покупке онлайн-голосов за поправки в Конституцию. Для этого выдают десятки симкарт,2020-06-16T18:53:18Z,Телеканал Дождь,425665,23248,646,4354
37,IdDvCFtUzWA,На Навального завели уголовное дело по ч. 2 статьи 128.1 УК РФ // Здесь и сейчас,2020-06-15T17:29:44Z,Телеканал Дождь,458852,12014,1019,4654
38,EBWfg7KFUWc,"Артемий Лебедев — про обман с поправками, Путина-царя, неверие в пандемию и Навальном",2020-06-15T15:59:08Z,Телеканал Дождь,84580,2257,2744,1020
39,ENBe9fNTa-w,«Запрещается заключать более двух браков подряд». Москвичи пытаются угадать настоящие поправки,2020-06-15T08:00:05Z,Телеканал Дождь,144459,4248,286,1085
40,-zPBfB-Tneg,"""Кирзовое"" православие, казарменный гламур и шаманизм. Открытие главного храма Вооруженных сил",2020-06-14T13:58:43Z,Телеканал Дождь,417959,11842,1696,6528
41,st2mubCF4DM,Россия идёт на поправки. Путин против карантина // Мнение Михаила Фишмана,2020-06-14T08:00:12Z,Телеканал Дождь,470005,12359,901,1885
42,xYltzmQoiL4,"Курорты бедствуют, карантина нет, но работать никому нельзя. Как выжить на море? // Репортаж Дождя",2020-06-12T12:00:37Z,Телеканал Дождь,359273,7142,531,2358
43,Whe9KiBGuMs,Авария или убийство? Как ДТП с Михаилом Ефремовым разделило общество  // Колонка Юлии Таратуты,2020-06-12T08:00:10Z,Телеканал Дождь,289258,5388,862,2425
44,RqWTCn8G64A,"""Подкину наркоту и отправлю на зону"". Росгвардейцы угрожали подкинуть наркотики москвичу. Видео",2020-06-11T12:44:38Z,Телеканал Дождь,1940616,77328,2470,13798
45,4zrTEPR91pY,"Лолита Милявская о протестах в США и Европе, интервью Гордону и пародии Максима Галкина на Собянина",2020-06-11T07:57:46Z,Телеканал Дождь,116226,2091,497,559
46,X2DC7Mbe_0k,"Водитель машины, в которую врезался пьяный актер Михаил Ефремов, скончался // Здесь и сейчас",2020-06-09T12:30:00Z,Телеканал Дождь,1427474,12892,2561,11035
47,vTZ-8ltj7aM,"Отмена самоизоляции в Москве, провал ""прогулочного режима""  и график снятия ограничений",2020-06-08T18:15:24Z,Телеканал Дождь,199809,3928,207,1009
48,poRAut99bRk,"Сергей Гуриев о Russian dream, «кабмине Навального», люстрациях и дискуссии о будущем",2020-06-08T15:58:41Z,Телеканал Дождь,748459,24790,821,2187
49,7r5v-gl0xpw,Зачем Путин сталкивает Мишустина и Собянина // Колонка Михаила Фишмана,2020-06-07T08:00:03Z,Телеканал Дождь,672587,16235,964,1856
50,GfrDbGbzyFs,"Почему пиарщики поправок используют Пушкина, геев и детей, но избегают Путина // Юлия Таратута",2020-06-05T08:00:03Z,Телеканал Дождь,618480,28737,761,3498
51,7_kV-7jiZnc,"«Самое сложное начнется, когда откроемся». Интервью с Аркадием Новиковым, который смог сохранить одн",2020-06-04T14:06:26Z,Телеканал Дождь,66014,773,443,194
52,3eq5qlH7fO8,Экологическая катастрофа в Норильске: десятки тысяч тонн нефти вылились в реку // Здесь и сейчас,2020-06-03T18:33:55Z,Телеканал Дождь,329039,6538,359,2694
53,EsX8JqK5cVI,Протесты в США. Спецэфир // Дождь,2020-06-03T18:11:48Z,Телеканал Дождь,118459,1992,502,465
54,Jefquv9yiJY,"Расстрел за четыре рулона обоев: росгвардейцы убили мужчину, подозреваемого в воровстве",2020-06-02T18:46:04Z,Телеканал Дождь,2041306,65951,6023,22133
55,fs8zPuFJhSI,"«Пока наверху не прикажут, дети будут в детдомах. Так удобней всем». Как поменялось усыновление в Ро",2020-06-01T19:46:54Z,Телеканал Дождь,35195,1037,46,231
56,qUC46uz-cU8,"""Мы не герои"": приемные мамы рассказывают, как пришли к усыновлению // Специальный эфир Дождя",2020-06-01T16:00:16Z,Телеканал Дождь,14740,403,20,70
57,V8fvWZPIIo0,"""Батут работает"": Илон Маск вспомнил шутку Рогозина шестилетней давности // Здесь и сейчас",2020-05-31T15:00:11Z,Телеканал Дождь,1160950,31285,1268,5691
58,rroUrlGfY40,Минкультуры разрешило коммерческую застройку на 300 гектарах музея-усадьбы «Архангельское»,2020-05-31T10:12:32Z,Телеканал Дождь,29381,1070,25,222
59,-eTbGW3LsH0,Исторический старт NASA. Чем Дмитрий Рогозин ответит Илону Маску?,2020-05-30T12:27:35Z,Телеканал Дождь,701782,22490,1509,5396
60,3vICIYtwngw,Как медики стали инструментом Кремля в борьбе за поправки в Конституцию // Колонка Юлии Таратуты,2020-05-29T06:00:00Z,Телеканал Дождь,169446,6941,209,1028
61,qbfZE4p_7Hk,"Собянин: ""Самоизоляция продлится до изобретения вакцины"" // Здесь и сейчас",2020-05-28T18:48:58Z,Телеканал Дождь,190957,4288,760,2139
62,wfCdyiNyyu0,Экс-глава Чувашии подал иск к Путину о восстановлении в должности // Здесь и сейчас,2020-05-27T19:03:34Z,Телеканал Дождь,100364,2514,140,502
